id,title,cleaned_text,processed_text,detected_language
2,Senior Manager (Corporate Communications & PR),senior manager corporate communications and pr job description senior manager corporate communications and pr your role in summary the senior manager is a pivotal role within our team responsible for developing and executing communication strategies and action plans in this capacity you will act as the principal point of contact for our clients ensuring their satisfaction and retention through dedicated service and the application of v plus o principles and values this role requires close collaboration with the director business unit director and involves a strong focus on client advisory especially in areas of corporate communications public affairs policy research and analysis key responsibilities develop and manage corporate communication strategies and action plans under the direction of the director business unit director advise clients on public affairs and stakeholder engagement in coordination with the director business unit director build manage and nurture existing client relationships ensuring continual deepening of these relationships through client satisfaction development and retention serve as the project owner for the portfolio maintaining client kpis and reports and proposing actionable recommendations based on outcomes proactively anticipate client needs and provide relevant timely recommendations responsible for creating all copywriting materials press releases q and a documents interviews speeches in line with agreed strategy build and maintain strong relationships and networks with the media and other stakeholders per client needs oversee client s press office activities under the supervision of director business unit director organize and ensure the timely budget compliant completion of all project deliverables support crisis communications under the supervision of director business unit director conduct research on policy issues at national european and international levels and monitor legislation and regulations relevant to client s business interests undertake the people manager role managing training guiding and developing team members in accordance with company values and management processes cooperate with external providers ensuring performance and compliance with company policies manage the completion of all client related administrative tasks databases iso files etc on time and in accordance with company policies and procedures qualifications and standards education and experience essential university degree in business administration media communications public relations journalism or political science excellent written and verbal communication skills in both greek and english minimum 5 years of relevant working experience in a pr firm or in a corporate communication department desirable a master s or advanced degree in a relevant field demonstrating a higher level of expertise advanced experience in crisis communications join us for a challenging career we offer an exciting business framework for you to accelerate professionally as well as a competitive remuneration package and benefits both numerical and non numerical we work with great clients from smb to global corporations on a variety of communication challenges to create compelling and persuasive experiences through insightful planning innovative thinking and seamless execution if you want to become a member of our team please send us your cv at careers vando gr your application will be handled with the utmost confidentiality,senior manager corporate communication pr description senior manager corporate communication pr summary senior manager pivotal within team responsible develop execut communication strategy action plan capacity act principal point contact client ensur satisfaction retention dedicat service application plus principl valu requir close collaboration director business unit director involv strong focu client advisory especially area corporate communication public affair policy research analysi key responsibility develop manage corporate communication strategy action plan direction director business unit director advise client public affair stakeholder engagement coordination director business unit director build manage nurture exist client relationship ensur continual deepen relationship client satisfaction development retention serve project owner portfolio maintain client kpis report propos actionable recommendation bas outcom proactively anticipate client need provide relevant timely recommendation responsible creat copywrit material press releas document interview speech line agre strategy build maintain strong relationship network media stakeholder client need oversee client press office activity supervision director business unit director organize ensure timely budget compliant completion project deliverabl support crisi communication supervision director business unit director conduct research policy issu national european international level monitor legislation regulation relevant client business interest undertake person manager manag train guid develop team member accordance valu management process cooperate external provider ensur performance compliance policy manage completion client relat administrative task databas iso fil time accordance policy procedur qualification standard education experience essential university degree business administration media communication public relation journalism political science excellent written verbal communication skill greek english minimum year relevant work experience pr firm corporate communication department desirable master advanc degree relevant field demonstrat higher level expertise advanc experience crisi communication join us challeng career offer excit business framework accelerate professionally well competitive remuneration package benefit numerical non numerical work great client smb global corporation variety communication challeng create compel persuasive experienc insightful plan innovative think seamless execution want become member team please send us cv career vando gr application handl utmost confidentiality,english
32,FINANCIAL AND COMMERCIAL DEPARTMENT EXECUTIVE - FINANCIAL PROJECT ANALYST,financial and commercial department executive financial project analyst who we are at infoworx we focus on innovation and the quality of our services and products as a leading company in the field of electrical and electronic imports through b2b services in which we have been active since 2009 we have realized a vision by expanding into the e commerce industry in 2015 we created electroholic s store through which we offer b2c services and solutions at an affordable cost providing continuous and human centered support to our customers always putting the consumer first our goal is to provide a unique shopping experience our team consists of talented people team players with vision and appetite for work on whom we can base our future plans by investing in their continuous and continuous development role description the role of a financial analyst is of great importance for the healthy operation of the business as it guides and manages all the financial processes that lead to its growth and stability job description cooperation with the accounting offices of the group companies for the preparation of management reports monthly checks of income expenditure cash accounts analysis of business performance results with an emphasis on finance required qualifications university tei degree in economics at least 5 years of experience in a similar role in financial management excellent knowledge of ms office programs excel etc good knowledge of accounting administrative communication and negotiation skills organizational skills and problem solving ability,financial commercial department executive financial project analyst who infoworx focu innovation quality servic product lead field electrical electronic import b2b servic which active since 2009 realiz vision expand commerce industry 2015 creat electroholic store which offer b2c servic solution affordable cost provid continuou human center support customer alway put consumer first goal provide unique shop experience team consist talent person team player vision appetite work whom base future plan invest continuou continuou development description financial analyst great importance healthy operation business guid manag financial process lead growth stability description cooperation account offic group company preparation management report monthly check income expenditure cash account analysi business performance result emphasi finance requir qualification university tei degree economic least year experience similar financial management excellent knowledge ms office program excel good knowledge account administrative communication negotiation skill organizational skill problem solv ability,english
55,Executive Assistant,executive assistant sabo is a greek manufacturing company based in vassiliko evia greece with subsidiaries in brazil romania and italy and we operate in more than 50 countries for 40 years we have supported our customers growth by providing turnkey and integrated solutions in the fields of heavy clay industrial solutions solid waste management power and automation heavy industry and shipping our successful operation is based on the technical know how innovative mindset and collaboration spirit of our team who is committed to making a global impact this highly motivated team needs to be strengthened by an executive assistant your role in more detail as executive assistant you will coordinate and manage our ceos personal calendar including scheduling appointments events and personal commitments managing shared folders and sending invitations perform general administrative tasks e g taking detailed notes preparing meeting materials preparing and submitting expense reports and special projects arrange travel accommodations transportation and itineraries for trips prepare and modify documents including correspondence reports presentations spreadsheets memos and emails act as the point of contact among executives employees clients and other external partners collaborate with other departments to follow up and facilitate cross functional projects and decisions oversee general office operations to ensure a well maintained and efficient working environment your qualifications bsc in business administration communications social sciences or related field more than 3 years of working experience as an executive assistant or in a similar administrative role ideally within an industrial environment familiarity with calendar management and travel coordination for executives very good knowledge of ms office especially excel and powerpoint fluency in both english and greek oral and written at professional corporate level proven ability to handle confidential information with discretion strong organizational and time management skills ability to adapt quickly to changing priorities and situations your benefits the opportunity to gain global experience and work with a highly motivated team a motivating and engaging work environment continuous learning and career development opportunities competitive compensation package private life and health insurance with dei in mind diversity equity and inclusion are a priority for us sabo ensures a safe and balanced working environment based on respect by providing an equal number of opportunities to every employee who meets the necessary requirements here sabo we care for your privacy the security of your data is one of our greatest concerns all information is strictly confidential and in accordance with gdpr rules meet our hiring team and apply now,executive assistant sabo greek manufactur bas vassiliko evia greece subsidiary brazil romania italy operate 50 country 40 year support customer growth provid turnkey integrat solution field heavy clay industrial solution solid waste management power automation heavy industry ship successful operation bas technical know innovative mindset collaboration spirit team who commit mak global impact highly motivat team need strengthen executive assistant detail executive assistant coordinate manage ceos personal calendar includ schedul appointment event personal commitment manag shar folder send invitation perform general administrative task tak detail not prepar meet material prepar submit expense report special project arrange travel accommodation transportation itinerary trip prepare modify document includ correspondence report presentation spreadsheet memo email act point contact among executiv employe client external partner collaborate department follow facilitate cross functional project decision oversee general office operation ensure well maintain efficient work environment qualification bsc business administration communication social scienc relat field year work experience executive assistant similar administrative ideally within industrial environment familiarity calendar management travel coordination executiv good knowledge ms office especially excel powerpoint fluency english greek oral written professional corporate level proven ability handle confidential information discretion strong organizational time management skill ability adapt quickly chang priority situation benefit opportunity gain global experience work highly motivat team motivat engag work environment continuou learn career development opportunity competitive compensation package private life health insurance dei mind diversity equity inclusion priority us sabo ensur safe balanc work environment bas respect provid equal number opportunity every employee who meet necessary requirement sabo care privacy security data one greatest concern information strictly confidential accordance gdpr rul meet hir team apply,english
99,Representative of the recruiting company on the Greek market,representative of the recruiting company on the greek market duties of the candidate making outgoing calls to employers in greece and offering our services remote work communicating with potential current clients from greece preparation of work contracts administrative tasks assisting potential employers with obtaining work permits temporaryresidence permits for workers a trip to a business trip all over greece for a personal presentation of thecompany and conclusion of contracts requirements advanced english skills experience in the sales work experience and understanding of the field of recruiting availability every day during business hours except for weekends familiarity with the market of foreign workers in greece willingness to work and openness when communicating with people having a car for trips will be an important advantage experience in business processes or a feeling that you can handle it please also send information about your experience in the text and why youwould like to do this activity this is much more important than a cv what we offer we offer a calculation system as follows fixed rate per hour plus high bonuses fora closed client for outgoing calls the cost of all business trips will be fullycovered fuel hotel food the average earning will reach 1500 3500 euros permonth payment once a month or once every 2 weeks at the request of thecandidate we offer good conditions the ability to adjust working hours to suit yourself afixed hourly salary plus from new clients who will come from outgoing calls whichwill guarantee a high monthly income our contact details plus 48 690 548 543 viber whatsapp contact hrbridge eu,representative recruit greek market duty candidate mak outgo call employer greece offer servic remote work communicat potential current client greece preparation work contract administrative task assist potential employer obtain work permit temporaryresidence permit worker trip business trip greece personal presentation thecompany conclusion contract requirement advanc english skill experience sal work experience understand field recruit availability every day business hour except weekend familiarity market foreign worker greece willingness work openness communicat person hav car trip important advantage experience business process feel handle please also send information experience text youwould like activity much important cv what offer offer calculation system follow fix rate hour plus high bonus fora clos client outgo call cost business trip fullycover fuel hotel food average earn reach 1500 3500 euro permonth payment month every week request thecandidate offer good condition ability adjust work hour suit yourself afix hourly salary plus new client who come outgo call whichwill guarantee high monthly income contact detail plus 48 690 548 543 viber whatsapp contact hrbridge eu,english
100,Administrative Services Staff Member,administrative services staff member job title administrative services staff membercompany qls quality language schools location athens greece description qls a network of quality foreign language schools throughout greece is seeking a dynamic and highly organized individual to join our team as an office administrator responsibilities managing phone calls organizing workspace file management data recording and updating electronic filing systems assisting in monitoring financial activities and preparing reports performing general administrative tasks coordinating events requirements the successful candidate is expected to have strong organizational and prioritization skills public relations skills excellent command of greek and english both oral and written it and social media skills willingness to work in an environment where multitasking is required and highly valued good work ethic and a team spirit approach willingness to take initiative preferred skills project and event management skills understanding of platforms includingcoordination of online presentations and webinars what we offer competitive salarya very pleasant working environment friendly and supportive atmosphere convenient location close to a metro station if you meet the above requirements and areinterested in this position please submit your resume with a photograph by 16 september2024,administrative servic staff member title administrative servic staff membercompany qls quality language school location athen greece description qls network quality foreign language school throughout greece seek dynamic highly organiz individual join team office administrator responsibility manag phone call organiz workspace file management data record updat electronic fil system assist monitor financial activity prepar report perform general administrative task coordinat event requirement successful candidate expect strong organizational prioritization skill public relation skill excellent command greek english oral written social media skill willingness work environment multitask requir highly valu good work ethic team spirit approach willingness take initiative prefer skill project event management skill understand platform includingcoordination online presentation webinar what offer competitive salarya pleasant work environment friendly supportive atmosphere convenient location close metro station meet requirement areinterest please submit resume photograph 16 september2024,english
104,Project Manager – EU Projects,project manager eu projects would you like to become part of a team of young professionals who are working in a vivid environment in the heart of athens implementing eu projects that matter akmi international part of alphabet education offers high quality customized project implementation services turning innovative ideas into funded projects this ranges from eu grants to private investments identification including consortium building application writing selection of experts negotiation budgeting quality control and evaluation of projects currently we are seeking a dynamic and self motivated project manager for eu projects erasmus plus rec amif etc to become part of our dynamic team in athens responsibilities manage project implementation including coordination of current partnerships follow and manage project timetables identifying implementation risks working on solutions prepare and submit monitoring reports to responsible managing authorities manage communication to third parties and stakeholders during project implementation draft deliverables or supervise their quality draft applications and technical proposals indicatively under erasmus plus cerv amif etc participate in the formulation of vivid partnerships job requirements academic background with a bachelor or and a master s degree preferably in social sciences excellent english knowledge both written and oral at least 1 yearof project management experience in eu projects responsibility consistency and adherence to strict deadlines travel availability schengen and non schengen excellent command of ms office administrative organizational and communication skills knowledge of a second language will be considered a strong asset,project manager eu project would like become part team young professional who work vivid environment heart athen implement eu project matter akmi international part alphabet education offer high quality customiz project implementation servic turn innovative idea fund project rang eu grant private investment identification includ consortium build application writ selection expert negotiation budget quality control evaluation project currently seek dynamic self motivat project manager eu project erasmu plus rec amif become part dynamic team athen responsibility manage project implementation includ coordination current partnership follow manage project timetabl identify implementation risk work solution prepare submit monitor report responsible manag authority manage communication third party stakeholder project implementation draft deliverabl supervise quality draft application technical proposal indicatively erasmu plus cerv amif participate formulation vivid partnership requirement academic background bachelor master degree preferably social scienc excellent english knowledge written oral least yearof project management experience eu project responsibility consistency adherence strict deadlin travel availability schengen non schengen excellent command ms office administrative organizational communication skill knowledge second language consider strong asset,english
106,Accounting/Administrative Assistant,accounting administrative assistant iland a company operating in the fields of construction and hospitality services based in alimos athens is seeking to employ a motivated person to work as an accounting and administrative assistant you are expected to work closely with our management team on miscellaneous financial matters regarding the company and its clients as well as collaborate with our outsource accounting partners on a regular basis to make sure all corporate financial data are updated and handled responsibilities of the position include reconciling invoices and identifying discrepancies communicating with vendors and partners about invoices and payments creating and updating expense reports issuing invoices to customers handling various accounting related inquiries for the management team e g update on regulations advising on financial procedures assisting with tax return resolving issues by visiting public organizations if required etc checking spreadsheets for accuracy establishing and maintaining digital and physical financial records collaborating with property management dpt regarding monthly bills payments for clients assisting with payroll verifying timesheets calculating vacation sick days assuring proper procedures are followed etc running various routine administrative clerical duties as required required skills bsc ba in accounting finance or relevant field work experience as an accounting assistant or accounting clerk very good knowledge of the greek and the english language verbal and written hands on experience with accounting software softone excellent knowledge of basic bookkeeping procedures and familiarity with finance regulations especially regarding corporate accounting meticulous with great attention to details and accuracy microsoft office literacy mostly excel word power point ability to handle sensitive confidential information highly motivated and able to prioritize efficiently when needed excellent communication and organization skills strong can do mentality and punctuality professional manners and elegant appearance experience in crm solutions will be considered an asset do you want to work in a prestigious multinational company as a vital member of the office team are you searching for a demanding yet respectful and rewarding job environment that will help you bring out and enhance your diligence wittiness and professional skills are you looking for an opportunity to further develop and grow with the company that you will be working for apply here now the company offers attractive remuneration package public insurance private insurance package friendly multinational working environment development opportunities,account administrative assistant iland operat field construction hospitality servic bas alimo athen seek employ motivat person work account administrative assistant expect work closely management team miscellaneou financial matter regard client well collaborate outsource account partner regular basi make sure corporate financial data updat handl responsibility include reconcil invoic identify discrepancy communicat vendor partner invoic payment creat updat expense report issu invoic customer handl variou account relat inquiry management team update regulation advis financial procedur assist tax return resolv issu visit public organization requir check spreadsheet accuracy establish maintain digital physical financial record collaborat property management dpt regard monthly bill payment client assist payroll verify timesheet calculat vacation sick days assur proper procedur follow run variou routine administrative clerical duty requir requir skill bsc ba account finance relevant field work experience account assistant account clerk good knowledge greek english language verbal written hand experience account software softone excellent knowledge basic bookkeep procedur familiarity finance regulation especially regard corporate account meticulou great attention detail accuracy microsoft office literacy mostly excel word power point ability handle sensitive confidential information highly motivat able prioritize efficiently need excellent communication organization skill strong mentality punctuality professional manner elegant appearance experience crm solution consider asset want work prestigiou multinational vital member office team search demand yet respectful reward environment help bring enhance diligence wittiness professional skill look opportunity develop grow work apply offer attractive remuneration package public insurance private insurance package friendly multinational work environment development opportunity,english
148,Administration and Front Office Assistant,administration and front office assistant icap recruitment solutions is one of the premium consultancies and part of icap people and employment solutions the largest hr services provider in greece and cyprus with more than 50 years of experience we specialize in assessing and recruiting graduates to mid level level professionals for both local and multinational companies across all sectors icap recruitment solutions on behalf of its client a pioneer in providing comprehensive solutions and continuous technical support to healthcare professionals and patients is seeking candidates for the following position administration and front office assistant ref 5680 afoa rs gr the role is responsible for being the first point of contact for clients and visitors while playing a crucial role in ensuring the smooth operation of the office and maintaining a warm and welcoming atmosphere key responsibilities greet and assist visitors and clients in a friendly and professional manner answer and direct incoming phone calls taking messages when needed manage daily office operations including mail handling filing and ordering office supplies provide administrative support to various departments including data entry scheduling meetings and preparing documents assist in organizing company events meetings and other activities maintain a clean and organized front office area support the management team with additional tasks as required qualifications prior experience in an administrative or front office role is a must fluency in english both written and spoken proficiency in microsoft office suite excellent communication and interpersonal skills strong organizational skills with the ability to multitask effectively attention to detail and a proactive approach to problem solving ability to work independently as well as part of a team the company offers attractive salary dynamic professional and pleasant work environment excellent opportunity for personal and professional development all information received will be treated with strict confidentiality,administration front office assistant icap recruitment solution one premium consultancy part icap person employment solution largest hr servic provider greece cypru 50 year experience specialize asses recruit graduat mid level level professional local multinational company across sector icap recruitment solution behalf client pioneer provid comprehensive solution continuou technical support healthcare professional patient seek candidat follow administration front office assistant ref 5680 afoa rs gr responsible first point contact client visitor play crucial ensur smooth operation office maintain warm welcom atmosphere key responsibility greet assist visitor client friendly professional manner answer direct incom phone call tak messag need manage daily office operation includ mail handl fil order office supply provide administrative support variou department includ data entry schedul meeting prepar document assist organiz event meeting activity maintain clean organiz front office area support management team additional task requir qualification prior experience administrative front office must fluency english written spoken proficiency microsoft office suite excellent communication interpersonal skill strong organizational skill ability multitask effectively attention detail proactive approach problem solv ability work independently well part team offer attractive salary dynamic professional pleasant work environment excellent opportunity personal professional development information receiv treat strict confidentiality,english
150,Accounting & Admin Assistant,accounting and admin assistant in the team kariera gr mass recruitment we don t just offer a job we offer you the opportunity to become part of a constantly changing work environment with years of expertise in mass recruitment services we bring together outstanding candidate talent with dynamic companies in the team of kariera gr mass recruitment your every professional move is a step towards excellence start a career with us where your skills meet unparalleled opportunities the kariera gr mass recruitment team is looking for an accounting and admin assistant on behalf of combatt a non profit company specializing in the alternative management of waste accumulators batteries from vehicles and industries in the athens area key responsibilities accounting entries reporting monitoring key financial indicators administrative support required qualifications degree in economics administration previous experience in a similar role is desirable knowledge of english level b2 plus excellent knowledge of pc and office applications the company offers competitive remuneration package bonus scheme medical care hiringsolutionsisrecruiting,account admin assistant team kariera gr mass recruitment don offer offer opportunity become part constantly chang work environment year expertise mass recruitment servic bring together outstand candidate talent dynamic company team kariera gr mass recruitment every professional move step toward excellence start career us skill meet unparallel opportunity kariera gr mass recruitment team look account admin assistant behalf combatt non profit specializ alternative management waste accumulator battery vehicl industry athen area key responsibility account entry report monitor key financial indicator administrative support requir qualification degree economic administration previou experience similar desirable knowledge english level b2 plus excellent knowledge pc office application offer competitive remuneration package bonu scheme medical care hiringsolutionsisrecruit,english
177,QUALITY CONTROL SHIFT CHECKER,quality control shift checker the company rivulis a v e g e one of the world s leading micro irrigation systems manufacturing group operating in greece for over 40 years is looking to hire a quality control shift controller for its factory in inofyta the position holder will report to the head of the company s quality control department main responsibilities execution of the regular quality checks provided by the quality control guidelines and responsibility for their faithful application maintaining quality control records track his authority statistics participate in solving quality problems responsibility for the execution of extraordinary quality controls according to the needs of the company collaborate with the department head in all department functions troubleshooting calibration filing of quality records statistics etc qualifications required tei iek epa l study title of technological direction or technical school 2 year working experience in a similar position ideally in an industrial environment will be considered an additional qualification administrative and organizational skills team working problem solving basic computer knowledge ms office basic knowledge of english completed military obligations the company offers competitive remuneration package transportation to and from work private hospital and medical coverage program meal plans and gift vouchers for employees children additional benefits interested parties are requested to send a cv to the email ioanna gkatzia rivulis com,quality control shift checker rivuli one world lead micro irrigation system manufactur group operat greece 40 year look hire quality control shift controller factory inofyta holder report head quality control department main responsibility execution regular quality check provid quality control guidelin responsibility faithful application maintain quality control record track authority statistic participate solv quality problem responsibility execution extraordinary quality control accord need collaborate department head department function troubleshoot calibration fil quality record statistic qualification requir tei iek epa study title technological direction technical school year work experience similar ideally industrial environment consider additional qualification administrative organizational skill team work problem solv basic computer knowledge ms office basic knowledge english complet military obligation offer competitive remuneration package transportation work private hospital medical coverage program meal plan gift voucher employe child additional benefit interest party request send cv email ioanna gkatzia rivuli com,english
