organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id,source_file
,"['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/25a7fc25-f2fc-4bfd-9999-943c03d53372', 'http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b', 'http://data.europa.eu/esco/skill/3c834f6e-523a-49ee-8ed1-e073e28ae6fe', 'http://data.europa.eu/esco/skill/3c8c9fe5-bbc6-4a0b-8cf2-a839aeef585c', 'http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/5330b70e-16f5-43a7-a6de-18fd6a4bd063', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/8c4b7305-4b83-4586-9d42-2817f96c60ea', 'http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31', 'http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282', 'http://data.europa.eu/esco/skill/b1ef509e-f191-405a-8419-51663b08922e', 'http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458', 'http://data.europa.eu/esco/skill/c5449667-9b40-4114-8d74-f51177669984', 'http://data.europa.eu/esco/skill/d39022ab-d102-4720-b689-540d6f056b17']","['http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2', 'http://data.europa.eu/esco/occupation/b55718eb-e8ff-4485-8ad0-bbac32cbd77b', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc', 'http://data.europa.eu/esco/isco/C2432', 'http://data.europa.eu/esco/isco/C2642']","['Research and experimental development on social sciences and humanities', 'Accommodation', 'Activities of head offices', 'Market research and public opinion polling', 'Business and other management consultancy activities', 'Public relations and communication activities', 'Activities of advertising agencies', 'Administration of the State and the economic, social and environmental policies of the community', 'Provision of services to the community as a whole', 'Computing infrastructure, data processing, hosting and other information service activities']",2,Senior Manager (Corporate Communications & PR),"Job description


Senior Manager (Corporate Communications & PR)
 
Your role in summary
The Senior Manager is a pivotal role within our team, responsible for developing and executing communication strategies and action plans. In this capacity, you will act as the principal point of contact for our clients, ensuring their satisfaction and retention through dedicated service and the application of V+O principles and values. This role requires close collaboration with the Director/ Business Unit Director, and involves a strong focus on client advisory, especially in areas of corporate communications, public affairs, policy research and analysis.
Key Responsibilities:

Develop and manage corporate communication strategies and action plans under the direction of the Director/ Business Unit Director.
Advise clients on public affairs and stakeholder engagement in coordination with the Director/ Business Unit Director.
Build, manage, and nurture existing client relationships, ensuring continual deepening of these relationships through client satisfaction, development, and retention.
Serve as the project owner for the portfolio, maintaining client KPIs and reports, and proposing actionable recommendations based on outcomes.
Proactively anticipate client needs and provide relevant, timely recommendations.
Responsible for creating all copywriting materials (Press Releases, Q&A documents, interviews, speeches) in line with agreed strategy.
Build and maintain strong relationships and networks with the media and other stakeholders per client needs.
Oversee client’s press office activities under the supervision of Director/ Business Unit Director.
Organize and ensure the timely, budget-compliant completion of all project deliverables.
Support crisis communications under the supervision of Director/ Business Unit Director.
Conduct research on policy issues at national, European, and international levels, and monitor legislation and regulations relevant to client’s business interests.
Undertake the people manager role, managing, training, guiding, and developing team members in accordance with company values and management processes.
Cooperate with external providers, ensuring performance and compliance with company policies.
Manage the completion of all client-related administrative tasks (databases, ISO files, etc.) on time and in accordance with company policies and procedures.

QUALIFICATIONS AND STANDARDS: 
Education & Experience 
 
Essential
- University degree in Business Administration, Media Communications, Public Relations, Journalism, or Political Science
- Excellent written and verbal communication skills in both Greek and English
- Minimum 5 years of relevant working experience in a PR firm or in a Corporate Communication Department
Desirable 
- A master's or advanced degree in a relevant field, demonstrating a higher level of expertise.
- Advanced experience in crisis communications
Join us for a challenging career! 
We offer an exciting business framework for you to accelerate professionally as well as a competitive remuneration package and benefits both numerical and non-numerical. We work with great clients, from SMB to global corporations, on a variety of communication challenges, to create compelling and persuasive experiences through insightful planning, innovative thinking, and seamless execution.
If you want to become a member of our team, please send us your CV at careers@vando.gr 
 
Your application will be handled with the utmost confidentiality!",Senior,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168914,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fa6acfc3-0a4f-4192-b77d-80e94d0faf2a']","['http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f', 'http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c', 'http://data.europa.eu/esco/isco/C241']","['Activities of head offices', 'Business and other management consultancy activities', 'Other activities auxiliary to financial services, except insurance and pension funding', 'Research and experimental development on social sciences and humanities', 'FINANCIAL AND INSURANCE ACTIVITIES', 'Activities of extraterritorial organisations and bodies']",32,FINANCIAL AND COMMERCIAL DEPARTMENT EXECUTIVE - FINANCIAL PROJECT ANALYST,"Who We Are
At Infoworx, we focus on innovation and the quality of our services and products.
As a leading company in the field of electrical and electronic imports through B2B services, in which we have been active since 2009, we have realized a vision by expanding into the e-commerce industry. In 2015, we created Electroholic's store, through which we offer B2C services and solutions at an affordable cost, providing continuous and human-centered support to our customers.
Always putting the consumer first, our goal is to provide a unique shopping experience.
Our team consists of talented people, team players with vision and appetite for work, on whom we can base our future plans by investing in their continuous and continuous development.
 
Role Description
The role of a financial analyst is of great importance for the healthy operation of the business, as it guides and manages all the financial processes that lead to its growth and stability.
 
Job Description:

Cooperation with the accounting offices of the group companies for the preparation of management reports.
Monthly checks of income - expenditure - cash accounts
Analysis of business performance / results, with an emphasis on Finance.

Required Qualifications:

University / TEI degree in economics.
At least 5 years of experience in a similar role in Financial Management
Excellent knowledge of Ms Office programs (excel etc).
Good knowledge of accounting.
Administrative, communication and negotiation skills.
Organizational skills and problem solving ability",Mid-level,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168874,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/048f04c9-83b1-48cd-9ac9-16a433695a61', 'http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/382ed835-8958-4d86-8471-cff55c6df3e7', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/4e097377-7950-4993-9e22-a61b067b5c00', 'http://data.europa.eu/esco/skill/5dcd44e3-0d01-43af-8c6f-3d19f99d50a7', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458', 'http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47', 'http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507', 'http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/139fba7b-6c1f-40ee-8acf-78f97e57c905', 'http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f', 'http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44', 'http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C121', 'http://data.europa.eu/esco/isco/C334']","['Remediation activities and other waste management service activities', 'Manufacture of footwear', 'Office administrative and support activities', 'Activities of head offices', 'Research and experimental development on social sciences and humanities']",55,Executive Assistant,"SABO is a Greek manufacturing company, based in Vassiliko, Evia, Greece, with subsidiaries in Brazil, Romania and Italy and we operate in more than 50 countries. For 40 years we have supported our customers’ growth by providing turnkey and integrated solutions in the fields of heavy clay, industrial solutions, solid waste management, power and automation, heavy industry and shipping.
Our successful operation is based on the technical know-how, innovative mindset and collaboration spirit of our team who is committed to making a global impact.
This highly motivated team needs to be strengthened by an Executive Assistant.
Your role in more detail:
As Executive Assistant, you will:

Coordinate and manage our CEOs’ personal calendar, including scheduling appointments, events, and personal commitments, managing shared folders and sending invitations
Perform general administrative tasks (e.g., taking detailed notes, preparing meeting materials, preparing, and submitting expense reports) and special projects
Arrange travel accommodations, transportation, and itineraries for trips
Prepare and modify documents, including correspondence, reports, presentations, spreadsheets, memos and emails
Act as the point of contact among executives, employees, clients and other external partners
Collaborate with other departments to follow up and facilitate cross-functional projects and decisions
Oversee general office operations to ensure a well-maintained and efficient working environment

Your Qualifications:

BSc in Business Administration, Communications, Social Sciences, or related field
More than 3 years of working experience as an Executive Assistant or in a similar administrative role, ideally within an industrial environment
Familiarity with calendar management and travel coordination for executives
Very good knowledge of MS Office, especially Excel and PowerPoint
Fluency in both English and Greek (oral and written at professional corporate level)
Proven ability to handle confidential information with discretion
Strong organizational and time management skills
Ability to adapt quickly to changing priorities and situations

Your Benefits:

The opportunity to gain global experience and work with a highly motivated team
A motivating and engaging work environment
Continuous learning and career development opportunities
Competitive compensation package
Private life & health insurance

 
With DEI in mind
Diversity, equity, and inclusion are a priority for us! SABO ensures a safe and balanced working environment, based on respect by providing an equal number of opportunities to every employee who meets the necessary requirements.
 
Here @SABO, we care for your privacy. The security of your data is one of our greatest concerns. All information is strictly confidential and in accordance with GDPR rules.
 
 
Meet our hiring team…and APPLY NOW 😊",Mid-level,Full-time,"Lilantioi, Greece",EL,,,,2024-09-09,kariera.gr,168849,jobs_administrator_bilingual_el.csv
,['http://data.europa.eu/esco/skill/5a0bffcf-4ff6-49cf-a7db-4142e63f5f04'],['http://data.europa.eu/esco/isco/C3343'],[],99,Representative of the recruiting company on the Greek market,"Duties of the candidate:- making outgoing calls to employers in Greece and offering our services(remote work)- communicating with potential/current clients from Greece- preparation of work contracts, administrative tasks- assisting potential employers with obtaining work permits/temporaryresidence permits for workers- a trip to a business trip all over Greece for a personal presentation of thecompany and conclusion of contracts
Requirements:- advanced English skills- experience in the sales- work experience and understanding of the field of recruiting- availability every day during business hours, except for weekends- familiarity with the market of foreign workers in Greece- willingness to work and openness when communicating with people- having a car for trips will be an important advantage- experience in business processes or a feeling that you can handle it
Please also send information about your experience in the text and why youwould like to do this activity. This is much more important than a CV.What we offer:We offer a calculation system as follows: Fixed rate per hour + high bonuses fora closed client for outgoing calls. The cost of all business trips will be fullycovered (fuel, hotel, food). The average earning will reach: 1500-3500 euros permonth. Payment once a month or once every 2 weeks at the request of thecandidate.
We offer good conditions, the ability to adjust working hours to suit yourself, afixed hourly salary + % from new clients who will come from outgoing calls, whichwill guarantee a high monthly income.
Our contact details:+48 690 548 543 (VIber/WhatsApp)contact@hrbridge.eu",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168794,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8', 'http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/7edc05fe-378b-4c9e-bbb2-e5a29c5a845f', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/b478d218-21df-447f-9eba-6fb11f94b071', 'http://data.europa.eu/esco/skill/b769f524-0f25-44d7-8538-5c46710a040e', 'http://data.europa.eu/esco/skill/c55caed2-de9e-4a25-819e-a0b0e83fba1b']","['http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79', 'http://data.europa.eu/esco/isco/C2432', 'http://data.europa.eu/esco/isco/C4223']",['Organisation of conventions and trade shows'],100,Administrative Services Staff Member,"Job Title: Administrative Services Staff MemberCompany: QLS (Quality Language Schools)Location:  Athens Greece
Description:QLS, a network of quality foreign language schools throughout Greece, is seeking a dynamic and highly organized individual to join our team as an Office Administrator.
Responsibilities:Managing phone calls.Organizing workspace.File management, data recording, and updating electronic filing systems.Assisting in monitoring financial activities and preparing reports.Performing general administrative tasks.Coordinating events.
Requirements:The successful candidate is expected to have:Strong organizational and prioritization skills.Public relations skills.Excellent command of Greek and English, both oral and written.IT and social media skills.Willingness to work in an environment where multitasking is required and highly valued.Good work ethic and a team spirit approach.Willingness to take initiative.
Preferred Skills:Project and event management skills.Understanding of platforms, includingcoordination of online presentations and webinars.
What We Offer:Competitive salaryA very pleasant working environment.Friendly and supportive atmosphere.Convenient location close to a metro station.
If you meet the above requirements and areinterested in this position, please submit your resume with a photograph by 16 September2024",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168766,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d', 'http://data.europa.eu/esco/skill/8c6feedd-339f-4dba-b28a-dae84c759853', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31', 'http://data.europa.eu/esco/skill/c68af615-b24c-4719-a199-c4141e08f2bd', 'http://data.europa.eu/esco/skill/e2fea4d5-f1f4-4dea-89bb-43b1d07658af']","['http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e', 'http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663', 'http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5', 'http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b']","['Manufacture of leather and related products of other materials', 'Technical testing and analysis', 'Other activities auxiliary to financial services, except insurance and pension funding', 'Research and experimental development on social sciences and humanities', 'Activities of head offices', 'Business and other management consultancy activities', 'Public relations and communication activities']",104,Project Manager – EU Projects,"Would you like to become part of a team of young professionals who are working in a vivid environment in the heart of Athens, implementing EU projects that matter?
AKMI International, part of Alphabet Education, offers high-quality, customized project implementation services turning innovative ideas into funded projects. This ranges from EU grants to private investments identification, including consortium building, application writing, selection of experts, negotiation, budgeting, quality control, and evaluation of projects.
Currently, we are seeking a dynamic and self-motivated Project Manager for EU Projects (Erasmus+, REC, AMIF, etc) to become part of our dynamic team in Athens.
Responsibilities:

Manage Project implementation, including coordination of current partnerships
Follow and manage project timetables, identifying implementation risks, working on solutions
Prepare and submit Monitoring reports to responsible Managing Authorities
Manage communication to third parties and stakeholders during project implementation
Draft deliverables or supervise their quality
Draft Applications and Technical Proposals indicatively under Erasmus+, CERV, AMIF, etc.
Participate in the formulation of vivid partnerships.

Job Requirements:

Academic background with a Bachelor or/and a Master’s degree, preferably in Social Sciences
Excellent English Knowledge (both written and oral).
At least 1 yearof project management experience in EU Projects
Responsibility, consistency, and adherence to strict deadlines
Travel availability (Schengen and non-Schengen)
Excellent command of MS Office
Administrative, organizational, and communication skills
Knowledge of a second language will be considered a strong asset.",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168792,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/16f61a5b-23ba-4268-8517-82c77c4041a1', 'http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7', 'http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23', 'http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fe77f9ca-7bd2-4a68-98f4-8463a4fb8301']","['http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652', 'http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d', 'http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42', 'http://data.europa.eu/esco/isco/C141', 'http://data.europa.eu/esco/isco/C2411', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C334', 'http://data.europa.eu/esco/isco/C3343', 'http://data.europa.eu/esco/isco/C4311', 'http://data.europa.eu/esco/isco/C4313']","['Office administrative and support activities', 'Other monetary intermediation', 'Other activities auxiliary to financial services, except insurance and pension funding', 'Accounting, bookkeeping and auditing activities; tax consultancy']",106,Accounting/Administrative Assistant,"iLand, a company operating in the fields of construction and hospitality services, based in Alimos, Athens, is seeking to employ a motivated person to work as an accounting and administrative assistant.
You are expected to work closely with our Management Team on miscellaneous financial matters regarding the company and its clients, as well as collaborate with our outsource Accounting Partners on a regular basis to make sure all corporate financial data are updated and handled.
Responsibilities of the position include:

Reconciling invoices and identifying discrepancies
Communicating with vendors and partners about invoices and payments
Creating and updating expense reports
Issuing invoices to customers
Handling various accounting related inquiries for the Management Team (e.g. update on regulations, advising on financial procedures, assisting with tax return, resolving issues by visiting public organizations if required etc.)
Checking spreadsheets for accuracy
Establishing and maintaining digital and physical financial records
Collaborating with Property Management dpt regarding monthly bills payments for clients
Assisting with payroll (verifying timesheets, calculating vacation/sick days, assuring proper procedures are followed etc.)
Running various routine administrative/clerical duties, as required

Required skills:

BSc/BA in Accounting, Finance or relevant field
Work experience as an Accounting Assistant or Accounting Clerk
Very good knowledge of the Greek and the English language (verbal and written)
Hands-on experience with accounting software (SoftOne)
Excellent knowledge of basic bookkeeping procedures and familiarity with finance regulations, especially regarding corporate accounting
Meticulous with great attention to details and accuracy
Microsoft office literacy (mostly excel, word, power-point)
Ability to handle sensitive, confidential information
Highly motivated and able to prioritize efficiently when needed
Excellent communication and organization skills
Strong “can-do” mentality and punctuality
Professional manners and elegant appearance
Experience in CRM solutions will be considered an asset

Do you want to work in a prestigious multinational company as a vital member of the office team? Are you searching for a demanding, yet respectful and rewarding job environment that will help you bring out and enhance your diligence, wittiness and professional skills? Are you looking for an opportunity to further develop and grow with the company that you will be working for? Apply here now!
The Company offers:

Attractive Remuneration Package
Public Insurance
Private Insurance package
Friendly multinational working environment
Development opportunities",Entry / Junior,Full-time,"Alimos, Greece",EL,,,,2024-09-09,kariera.gr,168786,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/094e594d-83cc-4480-bad8-fae0ec2ed8ab', 'http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2', 'http://data.europa.eu/esco/skill/7c3865d1-e5a9-4043-a7a4-2e9e30468c0b', 'http://data.europa.eu/esco/skill/80274731-15ce-490a-8d5b-f55a36b976b0', 'http://data.europa.eu/esco/skill/85ac537a-9233-42cc-a6e8-73851e77d214', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C242']",['Organisation of conventions and trade shows'],148,Administration and Front Office Assistant,"ICAP Recruitment Solutions is one of the premium consultancies and part of ICAP People & Employment Solutions, the largest HR Services Provider in Greece and Cyprus. With more than 50 years of experience, we specialize in assessing and recruiting graduates to mid-level level professionals for both local and multinational companies across all sectors.ICAP Recruitment Solutions, on behalf of its client, a pioneer in providing comprehensive solutions and continuous technical support to healthcare professionals and patients, is seeking candidates for the following position.
Administration and Front Office Assistant (Ref. 5680/AFOA/RS/GR)
The role is responsible for being the first point of contact for clients and visitors while playing a crucial role in ensuring the smooth operation of the office and maintaining a warm and welcoming atmosphere.Key Responsibilities:

Greet and assist visitors and clients in a friendly and professional manner.
Answer and direct incoming phone calls, taking messages when needed.
Manage daily office operations, including mail handling, filing and ordering office supplies.
Provide administrative support to various departments, including data entry, scheduling meetings and preparing documents.
Assist in organizing company events, meetings, and other activities.
Maintain a clean and organized front office area.
Support the management team with additional tasks as required.

Qualifications:

Prior experience in an administrative or front office role is a must.
Fluency in English, both written and spoken.
Proficiency in Microsoft Office Suite.
Excellent communication and interpersonal skills.
Strong organizational skills with the ability to multitask effectively.
Attention to detail and a proactive approach to problem-solving.
Ability to work independently as well as part of a team.

The Company Offers:

Attractive Salary.
Dynamic, professional, and pleasant work environment
Excellent opportunity for personal and professional development.

All information received will be treated with strict confidentiality.",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168728,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']","['http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/isco/C221', 'http://data.europa.eu/esco/isco/C3313']","['Accounting, bookkeeping and auditing activities; tax consultancy']",150,Accounting & Admin Assistant,"In the team kariera.gr | Mass Recruitment, we don't just offer a job, we offer you the opportunity to become part of a constantly changing work environment. With years of expertise in mass recruitment services, we bring together outstanding candidate talent with dynamic companies.
In the team of kariera.gr | Mass Recruitment your every professional move is a step towards excellence. Start a career with us where your skills meet unparalleled opportunities.
The Kariera.gr Mass Recruitment team is looking for an Accounting & Admin Assistant on behalf of Combatt, a non-profit company specializing in the alternative management of waste accumulators (batteries) from vehicles and industries, in the Athens area.
Key Responsibilities: 

Accounting entries
Reporting
Monitoring key financial indicators
Administrative support

Required Qualifications: 

Degree in Economics / Administration
Previous experience in a similar role is desirable
Knowledge of English (level B2+)
Excellent knowledge of PC and office applications

The company offers: 

Competitive remuneration package
Bonus scheme
Medical care

#hiringsolutionsisrecruiting",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168730,jobs_administrator_bilingual_el.csv
,"['http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/8867088a-e54d-41bc-81e8-a21ff98e81d3', 'http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a', 'http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9', 'http://data.europa.eu/esco/isco/C531']","['Other activities auxiliary to financial services, except insurance and pension funding', 'MANUFACTURING', 'Technical testing and analysis']",177,QUALITY CONTROL SHIFT CHECKER,"The company RIVULIS A.V.E.G.E. one of the world's leading micro-irrigation systems manufacturing group, operating in Greece for over 40 years, is looking to hire a QUALITY CONTROL SHIFT CONTROLLER for its factory in Inofyta.
The position holder will report to the Head of the company's Quality Control department.
 
Main responsibilities 

Execution of the regular quality checks provided by the Quality Control Guidelines and  responsibility for their faithful application.
Maintaining quality control records.
Track his authority statistics.
Participate in solving quality problems.
Responsibility for the execution of extraordinary quality controls, according to the needs of the company.
Collaborate with the Department Head in all department functions (troubleshooting, calibration, filing of Quality Records, Statistics, etc.).

 
Qualifications required 

TEI, IEK, EPA.L study title of technological direction, or technical school.
2-year working experience in a similar position (ideally in an industrial environment), will be considered an additional qualification.
Administrative and organizational skills (team working, problem solving)
Basic computer knowledge (Ms Office)
Basic knowledge of English
Completed military obligations

 
The company offers:

Competitive remuneration package
Transportation to and from work
Private hospital and medical coverage program
Meal plans and gift vouchers for employees' children
Additional benefits

 
Interested parties are requested to send a CV to the email:
Ioanna.gkatzia@rivulis.com",Mid-level,Full-time,"Oinofyta, Greece",EL,,,,2024-09-09,kariera.gr,168700,jobs_administrator_bilingual_el.csv
