id,title,detected_microskills,detected_categories,detected_evidence,detected_microskills_count
2,Senior Manager (Corporate Communications & PR),"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + client"", ""communication + stakeholder""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",2
32,FINANCIAL AND COMMERCIAL DEPARTMENT EXECUTIVE - FINANCIAL PROJECT ANALYST,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
55,Executive Assistant,"[""Ανάλυση και αξιολόγηση ημερολογίων εργασίας"", ""Οργάνωση και διαχείριση ημερολογίων εργασίας"", ""Παρακολούθηση και έλεγχος ημερολογίων εργασίας"", ""Τεκμηρίωση και βελτίωση ημερολογίων εργασίας"", ""Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας"", ""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Ανάλυση και αξιολόγηση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Οργάνωση και διαχείριση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Τεκμηρίωση και βελτίωση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας"": {""score"": 2, ""keywords"": [""calendar management""], ""semantic_groups"": []}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}}",6
99,Representative of the recruiting company on the Greek market,[],[],{},0
100,Administrative Services Staff Member,"[""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου""]","[""Διαχείριση Δεδομένων και Πληροφορίας"", ""Προσωπική Διαχείριση""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 6, ""keywords"": [""file management"", ""electronic fil"", ""data record""], ""semantic_groups"": []}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [""prioritization""], ""semantic_groups"": []}}",2
104,Project Manager – EU Projects,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + stakeholder""]}}",1
106,Accounting/Administrative Assistant,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Επιβεβαίωση οδηγιών και απαιτήσεων""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 4, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail"", ""data + accuracy""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""update + record""]}, ""Επιβεβαίωση οδηγιών και απαιτήσεων"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""verify + detail""]}}",5
148,Administration and Front Office Assistant,"[""Οργάνωση ψηφιακού χώρου εργασίας"", ""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Διαχείριση Δεδομένων και Πληροφορίας"", ""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 4, ""keywords"": [""data entry""], ""semantic_groups"": [""document + management"", ""data + entry""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",3
150,Accounting & Admin Assistant,[],[],{},0
177,QUALITY CONTROL SHIFT CHECKER,[],[],{},0
