microskill,frequency
Σαφής και συνοπτική επικοινωνία,521
Ενεργητική ακρόαση,272
Διαχείριση χρόνου,205
Διαχείριση προσοχής και συγκέντρωσης,201
Οργάνωση ψηφιακού χώρου εργασίας,197
Σύνταξη επαγγελματικών email,66
Αυτοματοποίηση επαναλαμβανόμενων εργασιών,57
Επιβεβαίωση οδηγιών και απαιτήσεων,44
Αποτελεσματική αναζήτηση στο διαδίκτυο,14
Αποτελεσματική χρήση GPT,8
Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,7
Οργάνωση και διαχείριση ροών εργασίας,7
Συντονισμός και προτεραιοποίηση ροών εργασίας,6
Τεκμηρίωση και βελτίωση ροών εργασίας,6
Ανάλυση και αξιολόγηση ροών εργασίας,6
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,6
Παρακολούθηση και έλεγχος ροών εργασίας,6
Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών,5
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,4
Παρακολούθηση και έλεγχος αναφορών προόδου,4
Παρακολούθηση και έλεγχος εργασιακών διαδικασιών,4
Ανάλυση και αξιολόγηση δεδομένων αγοράς,4
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,4
Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,4
Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,3
Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,3
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,3
Οργάνωση και διαχείριση ημερολογίων εργασίας,3
Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών,3
Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,3
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,2
Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,2
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,2
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,2
Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2
Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,2
Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2
Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2
Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,2
Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2
Οργάνωση και διαχείριση εργασιακών διαδικασιών,2
Ανάλυση και αξιολόγηση αναφορών προόδου,2
Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2
Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,2
Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1
Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1
Ανάλυση και αξιολόγηση παρουσιάσεων,1
Τεκμηρίωση και βελτίωση παρουσιάσεων,1
Οργάνωση και διαχείριση παρουσιάσεων,1
Παρακολούθηση και έλεγχος παρουσιάσεων,1
Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,1
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,1
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,1
Παρακολούθηση και έλεγχος ανατροφοδότησης ομάδας,1
Ανάλυση και αξιολόγηση δεικτών απόδοσης,1
Παρακολούθηση και έλεγχος δεικτών απόδοσης,1
