organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/25a7fc25-f2fc-4bfd-9999-943c03d53372', 'http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b', 'http://data.europa.eu/esco/skill/3c834f6e-523a-49ee-8ed1-e073e28ae6fe', 'http://data.europa.eu/esco/skill/3c8c9fe5-bbc6-4a0b-8cf2-a839aeef585c', 'http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/5330b70e-16f5-43a7-a6de-18fd6a4bd063', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/8c4b7305-4b83-4586-9d42-2817f96c60ea', 'http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31', 'http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282', 'http://data.europa.eu/esco/skill/b1ef509e-f191-405a-8419-51663b08922e', 'http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458', 'http://data.europa.eu/esco/skill/c5449667-9b40-4114-8d74-f51177669984', 'http://data.europa.eu/esco/skill/d39022ab-d102-4720-b689-540d6f056b17']","['http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2', 'http://data.europa.eu/esco/occupation/b55718eb-e8ff-4485-8ad0-bbac32cbd77b', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc', 'http://data.europa.eu/esco/isco/C2432', 'http://data.europa.eu/esco/isco/C2642']","['Research and experimental development on social sciences and humanities', 'Accommodation', 'Activities of head offices', 'Market research and public opinion polling', 'Business and other management consultancy activities', 'Public relations and communication activities', 'Activities of advertising agencies', 'Administration of the State and the economic, social and environmental policies of the community', 'Provision of services to the community as a whole', 'Computing infrastructure, data processing, hosting and other information service activities']",2,Senior Manager (Corporate Communications & PR),"Job description


Senior Manager (Corporate Communications & PR)
 
Your role in summary
The Senior Manager is a pivotal role within our team, responsible for developing and executing communication strategies and action plans. In this capacity, you will act as the principal point of contact for our clients, ensuring their satisfaction and retention through dedicated service and the application of V+O principles and values. This role requires close collaboration with the Director/ Business Unit Director, and involves a strong focus on client advisory, especially in areas of corporate communications, public affairs, policy research and analysis.
Key Responsibilities:

Develop and manage corporate communication strategies and action plans under the direction of the Director/ Business Unit Director.
Advise clients on public affairs and stakeholder engagement in coordination with the Director/ Business Unit Director.
Build, manage, and nurture existing client relationships, ensuring continual deepening of these relationships through client satisfaction, development, and retention.
Serve as the project owner for the portfolio, maintaining client KPIs and reports, and proposing actionable recommendations based on outcomes.
Proactively anticipate client needs and provide relevant, timely recommendations.
Responsible for creating all copywriting materials (Press Releases, Q&A documents, interviews, speeches) in line with agreed strategy.
Build and maintain strong relationships and networks with the media and other stakeholders per client needs.
Oversee client’s press office activities under the supervision of Director/ Business Unit Director.
Organize and ensure the timely, budget-compliant completion of all project deliverables.
Support crisis communications under the supervision of Director/ Business Unit Director.
Conduct research on policy issues at national, European, and international levels, and monitor legislation and regulations relevant to client’s business interests.
Undertake the people manager role, managing, training, guiding, and developing team members in accordance with company values and management processes.
Cooperate with external providers, ensuring performance and compliance with company policies.
Manage the completion of all client-related administrative tasks (databases, ISO files, etc.) on time and in accordance with company policies and procedures.

QUALIFICATIONS AND STANDARDS: 
Education & Experience 
 
Essential
- University degree in Business Administration, Media Communications, Public Relations, Journalism, or Political Science
- Excellent written and verbal communication skills in both Greek and English
- Minimum 5 years of relevant working experience in a PR firm or in a Corporate Communication Department
Desirable 
- A master's or advanced degree in a relevant field, demonstrating a higher level of expertise.
- Advanced experience in crisis communications
Join us for a challenging career! 
We offer an exciting business framework for you to accelerate professionally as well as a competitive remuneration package and benefits both numerical and non-numerical. We work with great clients, from SMB to global corporations, on a variety of communication challenges, to create compelling and persuasive experiences through insightful planning, innovative thinking, and seamless execution.
If you want to become a member of our team, please send us your CV at careers@vando.gr 
 
Your application will be handled with the utmost confidentiality!",Senior,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168914
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/1a6c7e0d-fc13-41d7-a5c0-8ca00606de89', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/f642d7ed-e8d7-4355-a747-b85094d4e2e3']","['http://data.europa.eu/esco/occupation/4c6b3657-316e-43b5-872a-ea763411190d', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d', 'http://data.europa.eu/esco/isco/C243', 'http://data.europa.eu/esco/isco/C44']","['Activities of brokers and agents for electric power and natural gas', 'Research and experimental development on social sciences and humanities', 'Regulation of and contribution to more efficient operation of businesses']",4,PPC Energy Consultant new Franchise store in N. Eritrea,"Nea Erythraia branch
The world of energy is constantly growing and evolving. PPC is looking for its franchise store in N. Eritrea, people with appetite and positive energy, who wish to take their career forward. With team spirit, trust and empathy, we take care of creating a workplace with equal opportunities and respect for everyone. Although you are interested in your personal and professional development in a modern environment with a pleasant climate and favorable benefits, we invite you to apply for the position of Sales Consultant in an energy store in the Nea Erythraia area
Role Responsibilities:

Reception and investigation of customer needs.
Promotion of energy products and services that are part of the company's commercial activity
Providing advice on energy solutions
Management of requests, in the context of excellent customer service
Maintaining the correct image of the store area

Candidate Requirements:

High school diploma or higher
Knowledge of the English language
Familiarity with Microsoft Office programs (excel, word, powerpoint) and

Employee Skills:

Communication skills
Customer-centric concept
Passion and self-motivation
Team spirit of cooperation
Initiative and problem solving
Adaptability
Responsibility and result orientation

Employer Benefits:

Competitive remuneration package
Continuous education
Flexible working hours
Pleasant working environment.
Bonus performance based on target setting plan

Find your position in the most dynamically developing energy sector and send your CV.  
Your future is here!",Entry / Junior,Full-time / Part-time,"Nea Erythraia, Greece",EL,,,,2024-09-09,kariera.gr,168912
,"['http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d', 'http://data.europa.eu/esco/skill/7e251454-2496-4f09-99fe-3da59bc4c10a', 'http://data.europa.eu/esco/skill/9f10e94b-a43d-4772-9f60-24e9bbbdedb7', 'http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']","['http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d', 'http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C2433']","['Business and other management consultancy activities', 'Activities of head offices', 'Activities of advertising agencies', 'Research and experimental development on social sciences and humanities']",5,KEY ACCOUNT MANAGER THESSALONIKI,"The company MICROLINK TECHNOLOGY & SECURITY was founded in 2000 and successfully operates in the field of import and wholesale trade of security systems as well as in the field of advanced technology products. It soon established itself as one of the leading companies in the Security Systems industry. 
It is looking for a Key Account manager to staff the sales department.
Duties and Responsibilities
Increase existing sales and search for new customers. Commercial customer evaluation. Creation and maintenance of good relations with old and new customers. Study of the competition and market trends, in order to evaluate the company's position commercially.
Candidate Profile
Previous experience of at least  (2) years in a corresponding position of sales of technology products. Very good knowledge of handling MS Office applications, ERP systems and e-commerce environment. Excellent knowledge of English. Communication skills. Experience in issuing relevant reports (reporting). Orientation towards achieving goals. Ability to travel.
Company Benefits
Excellent working conditions in a modern and pleasant environment. Development prospects in a steadily growing company. Attractive salary package Bonus Consistency in payroll Mobile Company car",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-09,kariera.gr,168911
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/b0288eea-74b3-460a-8ac5-edc4ba70b75c']","['http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224', 'http://data.europa.eu/esco/occupation/c66b4569-09aa-4d8d-93d9-ac9b9176655d', 'http://data.europa.eu/esco/occupation/d84bf1d7-ef99-40c4-a407-3791d6531b44', 'http://data.europa.eu/esco/isco/C334']","['Manufacture of electronic components and boards', 'Manufacture of computers and peripheral equipment', 'Manufacture of communication equipment', 'Manufacture of consumer electronics', 'Manufacture of instruments and appliances for measuring, testing and navigation', 'Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus', 'Manufacture of wiring devices', 'Manufacture of other electrical equipment', 'Manufacture of electrical and electronic equipment for motor vehicles', 'Manufacture of railway locomotives and rolling stock', 'Engineering activities and related technical consultancy', 'Technical testing and analysis', 'Investigation and private security activities', 'Other telecommunication activities', 'Computer programming, consultancy and related activities']",6,Installer of security systems,"COMPANY importing technological equipment and security systems with a leading position in the Greek market is looking for an experienced Security Systems Installer Technician with a central role in the telephone technical support of its clientele internally. Position Duties:
The suitable candidate will further strengthen the professional installers of our clientele in matters of technical consulting and at the same time will inform about the points of excellence of the company's products.
 
Necessary qualifications:
Studies in Electronics fields
5 years professional experience in security systems, CCTV, fire detection.
Experience in organization and continuous communication support
Knowledge of PC and English is desirable
Passenger car driver's license
Positive and pleasant personality
Responsibility and consistency
Six days.
Amenities:
Competitive remuneration package
Development prospects
Excellent and constantly evolving work environment
Continuous education.
, fee 1,600€ NET
 
, IEK Degree, minimum work experience: 36 months, full time, in the workplace",Senior,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168910
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/1854ad4a-9789-4596-9a9e-fed7b8a29c50', 'http://data.europa.eu/esco/skill/6dd4ce8c-1813-429d-9f06-3382c4833ca3', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d', 'http://data.europa.eu/esco/skill/855dceb9-78cf-448b-8113-33f59f281117', 'http://data.europa.eu/esco/skill/8770350e-746f-4adb-9556-18ca68104be6']","['http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890']","['Market research and public opinion polling', 'Research and experimental development on social sciences and humanities', 'Business and other management consultancy activities']",7,PRODUCT MANAGER,"The company MICROLINK TECHNOLOGY & SECURITY was founded in 2000 and is successfully active in the field of import and wholesale trade of security systems as well as in the field of advanced technology products. It soon established itself as one of the leading companies in the Security Systems industry. 
Looking for a Product manager
Duties and Responsibilities

Communication with suppliers, budgeting, market research and ensuring competitive prices.
Monitoring inventory level and determining purchasing needs.
Track orders and ensure timely delivery.
Monitor product performance.
Evaluation of competitors' products and the ability to differentiate.
Finding innovative new items overseas.

Candidate Profile

Experience of at least (2) years in a similar position.
University/Tei Degree in Business Administration or Finance
Excellent knowledge of English and MS Office computer information systems.
Experience in issuing relevant reports (reporting).
Organization, consistency, communication and negotiation skills.

Company benefits

Excellent working conditions in a modern and pleasant environment.
Development prospects in a steadily growing company.
Attractive salary package.
Payroll consequence.
Mobile",Mid-level,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168909
,"['http://data.europa.eu/esco/skill/de2f0ce8-f8d6-48c5-a213-4d065251cecf', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/ec0bbf39-0edd-4015-a2c3-82ad563ce3a8', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b']","['Accommodation', 'Activities of head offices', 'Office administrative and support activities']",8,BILLING / ACCOUNTING OFFICER,"The company MICROLINK, active in the supply of security systems, is looking to hire a person to staff the accounting-invoicing department.
Key Responsibilities:

Receiving, managing and routing customer phone calls 
Pricing - intensive retail - cashier - wholesale
Telephone communication with customers 
Management and writing of e-mail and letters
Registration of customer request details in the company's databases

 
Required Qualifications:

Excellent knowledge of the English language
Knowledge - experience ERP, SOFTONE 3 years of continuous invoicing. 
Excellent knowledge and experience using MS Office
 

Personal Characteristics:

Integrity
Confidentiality
Teamwork
Good company 

Salaries and benefits:
Competitive salary package depending on qualifications and experience, 6 DAYS, 1400 NET
 
Interested parties are requested to send their CV by pressing the Send CV button.",Senior,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168908
,"['http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d', 'http://data.europa.eu/esco/skill/7e251454-2496-4f09-99fe-3da59bc4c10a', 'http://data.europa.eu/esco/skill/9f10e94b-a43d-4772-9f60-24e9bbbdedb7', 'http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']","['http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d', 'http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C2433']","['Business and other management consultancy activities', 'Activities of head offices', 'Activities of advertising agencies', 'Research and experimental development on social sciences and humanities']",9,KEY ACCOUNT MANAGER ATHENS THESSALONIKI,"The company MICROLINK TECHNOLOGY & SECURITY was founded in 2000 and successfully operates in the field of import and wholesale trade of security systems as well as in the field of advanced technology products. It soon established itself as one of the leading companies in the Security Systems industry. 
It is looking for a Key Account manager to staff the sales department.
Duties and Responsibilities
Increase existing sales and search for new customers. Commercial customer evaluation. Creation and maintenance of good relations with old and new customers. Study of the competition and market trends, in order to evaluate the company's position commercially.
Candidate Profile
Previous experience of at least  (2) years in a corresponding position of sales of technology products. Very good knowledge of handling MS Office applications, ERP systems and e-commerce environment. Excellent knowledge of English. Communication skills. Experience in issuing relevant reports (reporting). Orientation towards achieving goals. Ability to travel.
Company Benefits
Excellent working conditions in a modern and pleasant environment. Development prospects in a steadily growing company. Attractive salary package Bonus Consistency in payroll Mobile Company car",Mid-level,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168906
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/aafb8d62-1592-4488-bd40-7bdfb751ff98', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/ec66b111-d8d0-4516-88ba-ee0b6fe6f695', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C7222']","['Educational support activities n.e.c.', 'Market research and public opinion polling', 'Activities of head offices', 'Business and other management consultancy activities']",13,Logistics Coordinator,"FOURNARAKIS SA  
 
Do you want to work in one of the most dynamic companies in Greece?  
At FOURNARAKIS S.A. we develop, market and distribute the strongest brands of industrial tools and machinery. For the last 40 years we have held a leading position in the Greek market, being among the 17 most dynamic companies in Greece (GrowthAwards 2021). At the same time, we have a rapidly growing sales network throughout Europe, aiming to become one of the protagonists in the European market as well. For this reason, we constantly invest in the recruitment and development of new executives. In recent years, our human resources in all Departments and levels of the company have been increasing by 20% annually. As part of our continuous development, we are looking for the right candidate for the position: 
Logistics Coordinator
(Position Code: LoC)
Responsibilities:

Organizing and processing customer orders
Check and update product availability
Issue of documents
Communication with customers-suppliers for product deliveries
Track and manage loads
Returns management & supervision
Track transportation and delivery of orders

 
Necessary qualifications:

Higher or higher education degree, preferably in Logistics, Business Administration or Accounting
Experience of at least 6 years in a large company in a similar position
Very good knowledge of ERP software (Entersoft will be an added advantage) and WMS software
Good knowledge of MS Office (especially Excel)
Excellent knowledge of the English language
Excellent communication skills
Willingness and willingness to work in a demanding environment
Organizational spirit and cooperation within a team

Amenities:

Competitive remuneration package
Cooperation with professional development prospects in a large company with a leading position in its field, which is growing steadily and quickly
Excellent work environment, meritocracy where all outstanding executives are valued and rewarded
Continuous education and training",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168900
,[],"['http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e', 'http://data.europa.eu/esco/isco/C3322']","['Retail sale of food, beverages and tobacco', 'Retail sale of automotive fuel', 'Retail sale of information and communication equipment', 'Retail sale of other household equipment', 'Retail sale of cultural and recreational goods', 'Retail sale of other goods, except motor vehicles and motorcycles', 'Retail sale of motor vehicles']",15,Salesmen/Saleswomen (No previous experience necessary),"We are looking for ambitious and dynamic salespeople to join our team!
What We Offer:

Specialized training - Develop your sales skills.
Flexible hours - Ability to adapt to your schedule.
Professional environment - Work in a dynamic team.

Required Qualifications:

Previous experience in sales is not necessary.
Excellent communication skills.
Determination and persistence in achieving goals.

Come help grow a successful sales company! Evaluations start 9/16",No experience / No degree,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168898
,"['http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec', 'http://data.europa.eu/esco/skill/714eebcb-569a-4f1b-b592-28f70b59a9ba', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ac802765-4098-4466-ac1e-4791f192c667', 'http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b', 'http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/d00b4607-c4fe-4f3e-8974-29401e23223c', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['Accounting, bookkeeping and auditing activities; tax consultancy', 'Business and other management consultancy activities', 'Employment activities', 'Manufacture of luggage, handbags, saddlery and harness of any material', 'Accommodation', 'Activities of head offices', 'Research and experimental development on social sciences and humanities', 'Compulsory social security activities']",16,HR Manager,"The Role:
We are seeking a talented and experienced HR Manager to join our team and contribute to our commitment to excellence in hospitality. As the HR Manager, you will play a crucial role in the success of our organisation by overseeing and managing various human resources functions. You will be responsible for implementing HR policies and procedures, fostering a positive workplace culture, and ensuring compliance with employment laws and regulations. 
 
Responsibilities:

Develop and implement HR strategies and policies that align with the hotel's goals and objectives.
Manage the entire recruitment process, from sourcing and interviewing to onboarding new employees.
Support the successful implementation of the Performance Management process and provide guidance on performance improvement.
Manage learning and development initiatives to enhance employee skills and competencies.
Manage and resolve employee relations issues, including disciplinary action and conflict resolution as per relevant employment laws and regulations.
Administer employee benefits programs and manage compensation structures.
Ensure compliance with labor laws and regulations, including health and safety standards.
Maintain accurate and up-to-date employee records and time keeping systems.
Support the administration of payroll in cooperation with the accounting department. 
Provide support and advice to managers and employees on HR matters.
Coaching support of Managers on employee relation matters
Foster a positive and inclusive workplace culture that aligns with the hotel's commitment to excellence.
Stay up to date with industry trends and best practices in HR management.

 
Requirements:

Degree in Human Resources, Business Administration, or related field.
At least 3 years experience in a similar role. 
In-depth knowledge of Greek employment laws and regulations.
Strong interpersonal and communication skills.
Excellent organizational and time-management abilities.
Ability to handle confidential information with discretion.
A passion for fostering a positive work environment and delivering exceptional guest experiences.
Excellent verbal and written communication skills in Greek and English.
Working knowledge of an HRM Software.
Very good knowledge of MS Office Suite.
Outstanding problem-solving and conflict resolution skills.

 
Type of employment: Full time, permanent
Location: Athens, Greece
Submit your application at work@gatsbyathens.com 
All applications will be treated with strict confidentiality!",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168897
