skills,occupations,id,organization,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/aafb8d62-1592-4488-bd40-7bdfb751ff98', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/ec66b111-d8d0-4516-88ba-ee0b6fe6f695', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C7222']",13,,Logistics Coordinator,"FOURNARAKIS SA  
 
Do you want to work in one of the most dynamic companies in Greece?  
At FOURNARAKIS S.A. we develop, market and distribute the strongest brands of industrial tools and machinery. For the last 40 years we have held a leading position in the Greek market, being among the 17 most dynamic companies in Greece (GrowthAwards 2021). At the same time, we have a rapidly growing sales network throughout Europe, aiming to become one of the protagonists in the European market as well. For this reason, we constantly invest in the recruitment and development of new executives. In recent years, our human resources in all Departments and levels of the company have been increasing by 20% annually. As part of our continuous development, we are looking for the right candidate for the position: 
Logistics Coordinator
(Position Code: LoC)
Responsibilities:

Organizing and processing customer orders
Check and update product availability
Issue of documents
Communication with customers-suppliers for product deliveries
Track and manage loads
Returns management & supervision
Track transportation and delivery of orders

 
Necessary qualifications:

Higher or higher education degree, preferably in Logistics, Business Administration or Accounting
Experience of at least 6 years in a large company in a similar position
Very good knowledge of ERP software (Entersoft will be an added advantage) and WMS software
Good knowledge of MS Office (especially Excel)
Excellent knowledge of the English language
Excellent communication skills
Willingness and willingness to work in a demanding environment
Organizational spirit and cooperation within a team

Amenities:

Competitive remuneration package
Cooperation with professional development prospects in a large company with a leading position in its field, which is growing steadily and quickly
Excellent work environment, meritocracy where all outstanding executives are valued and rewarded
Continuous education and training",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168900
"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']",['http://data.europa.eu/esco/isco/C251'],25,,Office Coordinator – Code Position R2024,"You will deal with:

Management of electronic learning platform (LMS) and its users
Organization, preparation and coordination of educational programs
Data entry in the company's CRM & reporting
Technical support of virtual trainings 

Necessary qualifications

Degree of HEI-TEI
1-3  years of experience in secretarial support
Excellent computer skills (MS Office) and especially the use of spreadsheets (Excel) and professional presentations (Power point)
Familiarity with online collaboration platforms (MS Teams, Webex) is desirable
Excellent knowledge and use of the Greek and English languages ​​(written and spoken)
Knowledge of CRM management (Salesforce) desired

We expect you to show through your work:

Customer-centric behavior aimed at providing quality services
Ability to meet schedules with quality and reliable output
Focus and initiative in managing problems or changes in a timely manner
Mood for cooperation and teamwork

We offer you:

competitive salary, depending on your experience and qualifications
productivity bonus
medical care etc.

You can send your CV to jobs@response.gr by writing in the Subject: R2024
Our team looks forward to meeting you!",Entry / Junior,Full-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168887
"['http://data.europa.eu/esco/skill/048f04c9-83b1-48cd-9ac9-16a433695a61', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/fb39389b-07d5-439f-948b-6c6e58c0384f']","['http://data.europa.eu/esco/occupation/2f5de1ab-eddf-4715-8193-e994912c22ea', 'http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2']",81,,Logistics Coordinator - Traffic Office Clerk - Inofyta,"Attiki Movement Logistics wishes to hire a Supply Chain Coordinator - Movement Office Clerk for the installation of Oinophyta with the following indicative duties:
Traffic Office Clerk
Imports / Stock Orders
Set Up Cash On Delivery
Settlement of Returns
Contact with Depositors
Contact with drivers
Shipping Notes
Routing states - Routing
Stock Control
Required Qualifications
IEK / TEI / HEI degree
Computer skills – Familiarity with WMS system
Knowledge of English
Prior experience in a similar position will be considered
Means of Transport
 
The Supply Chain Coordinator should have team spirit and good communication skills as well as be able to cope under pressure.  Reports to the Warehouse Manager of the Logistics Center.",Mid-level,Full-time,"Oinofyta, Greece",EL,,,,2024-09-09,kariera.gr,168825
"['http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2', 'http://data.europa.eu/esco/skill/04a97507-f019-4b5c-ae52-46224922ce25', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/dcace5e5-9b8d-4fac-9017-6dcd7ff8cd0e', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca', 'http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d', 'http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b']",107,,Imports & Transportation Coordinator,"Main Responsibilities:

Partner pool management for international and special domestic transport
Management of customs documents and procedures
Monitoring the progress of imports and informing the respective departments
Invoicing transport work at the end of each month and apportioning it to the appropriate Cost Centers
Manage claims and resolve issues that arise during transportation
Communication with 3rd PL companies for stock issues - replenishments - shipments - disputes
Check freight company and Courier invoices
Monitoring delivery times to customers and returns from regional stores.

Necessary Qualifications:

Degree in Supply Chain, Business Administration or related subject
Experience of at least 2 years in a similar position
High oral and written communication skills in Greek and English
Very good knowledge of MS Office
Ability to coordinate and control freight transfer procedures

We offer:

Competitive salary and benefits package
Group insurance
Work in a modern, dynamic & multi-awarded environment (awarded for the 10th time in the Best Workplace institution)
Opportunities & prospects for learning & development",Entry / Junior,Full-time,"Aspropyrgos, Greece",EL,,,,2024-09-09,kariera.gr,168787
"['http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/a3ef0728-7540-4676-ad18-cf0a7913b3ce', 'http://data.europa.eu/esco/isco/C9621']",112,,Procurement Coordinator,"Kordelos Bros SA, a steel stockholding -processing and trading company, listed in the Athens Stock Exchange since 2000, is seeking to recruit for its head office in the Industrial Area of Mandra Attica:
Procurement Coordinator
Job description

Maintain records of purchase orders and monitor deliveries.
Collect and check invoices and import documents.
Communicate with vendors, freight forwarders and customs brokers to track and resolve any problems on the shipments.

Requirements

Excellent knowledge of English.
Strong knowledge of MS Office, especially Excel.
Team player, positive, reliable, with strong communication skills.
Experience in a similar position will be considered an asset.

The Company Offers competitive remuneration package and opportunities for further development.
All applications are considered as strictly confidential.",Mid-level,Full-time,"Mandra, Greece",EL,,,,2024-09-09,kariera.gr,168774
"['http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681', 'http://data.europa.eu/esco/skill/1df1eb9e-f5d7-4469-a7df-8ba55bac2407', 'http://data.europa.eu/esco/skill/7546bf61-91c0-4715-8024-9ee276563cc4', 'http://data.europa.eu/esco/skill/8d10ae08-3b0d-4bbb-86c5-25dd2c6858cd']","['http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7', 'http://data.europa.eu/esco/occupation/0b5dfc02-b825-4445-811d-d39ed442657e', 'http://data.europa.eu/esco/occupation/e93b3b49-12e1-4b47-991c-dd4b0aec17d8', 'http://data.europa.eu/esco/isco/C42', 'http://data.europa.eu/esco/isco/C5151']",146,,Rooms Division Manager,"Job Overview
Is responsible for the management and coordination of Front Office, Housekeeping and Spa. Plans, develops, implements and evaluates the quality of property's guest rooms. Strives to continually improve guest and employee satisfaction and maximize the financial performance of the department. 
 
Responsibilities (among others):

Monitors and promotes room rates, specials, and promotions at the resort.
Coordinates and makes preparations for group activities jointly with Sales coordinator.
Reviews and audits expenses/sales performance against budget.
Reviews guest feedback and responds to and handles guest problems and complaints_ guestflip software.
Sets goals and expectations for direct reports using the performance review process and holds staff accountable for successful performance/ Identifies training needs.
Conducts annual performance appraisal with direct reports according to Standard Operating Procedures.
Ensures that emergency procedures are practiced and enforced to provide for the security and safety of guests and employees.

 
Desirable skills and experience:

Bachelor’s degree from college or university and/or a minimum of 5 years’ experience as a Front Desk Manager in a 5-star Hotel or 2 years’ experience in the same position.
Strong knowledge of MS Office 365, including Word, Excel, PowerPoint, and Outlook.
Strong knowledge on OPERA
Excellent organizational, supervisory, and customer service skills.
Must be able to work well under stressful situations and handle challenges in a professional manner.
Exceptional guest recovery skills.
Enjoy interacting with people in a fast-paced environment.

 
Are you ready to show us your passion and dedication to provide a quality service and offer to our guests a unique experience!? If YES! apply now! Our hotel NOŪS on the island of Santorini is looking for YOU!",Senior,Full-time,"Thira, Greece",EL,,,,2024-09-09,kariera.gr,168735
"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2', 'http://data.europa.eu/esco/skill/95bff246-c3ce-4181-a11b-e4363453c2f8', 'http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5', 'http://data.europa.eu/esco/skill/e24377fb-020b-4430-8bed-86dd539bbf3a', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7']","['http://data.europa.eu/esco/occupation/8a0c1556-f616-4d41-a03c-8a093a644807', 'http://data.europa.eu/esco/occupation/d18a8976-a283-42ad-9541-75c49396dbd7', 'http://data.europa.eu/esco/isco/C2433']",249,,Information Security and  Privacy  Coordinator,"To meet our current corporate needs, we would like to bring to our team an Information Security and Privacy Coordinator\n\nAs our new Information Security and Privacy Coordinator you will support the team in a wide variety of tasks, including but not limited to:\n\n Information Security requirements' alignment in day-to- day activities\n Information Security compliance assessments\n Information Security and Data Privacy Risk identification and monitoring activities including aspects in products (Security and Privacy by Design) and services offered to clients.\n Policies and procedures maintenance, to comply with the requirements of the adopted standards and Privacy Frameworks (ISO 27001, ISO 20000, ISO 9001, ISO 14001, ISO 37001, GDPR etc.)\n Third Party Audits/ Assurance Engagements conducted by third parties in all jurisdictions where we operate.\n\n\nTo be a successful candidate, your professional profile should match the following criteria:\n\n University or College Degree in Computer Science, Information Security or relevant technology-related field\n Proven working experience between 1-3 years in the information security domain, preferably in a Big Four company.\n Relevant experience in the Data Privacy domain\n Ability to translate Standards and Frameworks -including but not limited to Information Security, Data Privacy and Quality- into technical or business requirements.\n Ability to work flexible hours, especially during critical project schedules.\n Ability to travel abroad\n Experience in working with internal/ external auditors in the context of Assurance/ Compliance engagements will be considered a plus\n Professional certifications, such as CISM, CISA, ISO27001 Lead Auditor, CIPP, CDPO will be considered a plus\n Excellent command of the Greek & English languages, both written and spoken\n\nOn a personal side:\n\n You are described as a highly analytical, detail-oriented professional, with a good business sense\n A quick and continuous learner\n Above all, it is very important to have a team player attitude, as we work, above everything else, as a TEAM!\n\n\nAbout Us: INTRALOT, a publicly listed company established in 1992, is a leading gaming solutions supplier and operator active in 39 regulated jurisdictions worldwide. With a global workforce of approximately 1,700 employees, INTRALOT is committed to redefine innovation and quality of services in the lottery and gaming sector, while supporting operators in raising funds for good causes. In 2023, INTRALOT was distinguished as a top ten most attractive employer brands in Greece.\nINTRALOT has been awarded the prestigious WLA Responsible Gaming Framework Certification by the World Lottery Association. We always act with integrity and enjoy what we do.\n\nWhy Join Us:\n A competitive compensation package combined with additional benefits.\n Hybrid working model.\n Private Insurance for you and your family.\n Modern facilities, parking inside, enticing restaurant and corporate bus.\n An extensive training program upon induction and throughout employment.\n Exceptional opportunities to learn and develop in a multinational environment.\n Prospects for professional growth both locally and globally.\n\nWe are an Equal Opportunity Employer. We do not discriminate in any employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital status, medical condition or disability, or any other legally protected status. Our premises at Paiania, Attica, have been designed to provide easy access to people with disabilities\n",,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,109254
"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9', 'http://data.europa.eu/esco/skill/559106f8-b7bb-4b56-80a7-16c9c1cdf830', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/b1272de4-1f5f-408b-8b26-061f2550fc72', 'http://data.europa.eu/esco/skill/b30b6e13-6688-4035-b99b-fb3a1def0833', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/e13b734a-218c-434a-a7cc-febac6d24ef3', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce', 'http://data.europa.eu/esco/skill/f8f1f725-0105-41fa-9887-4df9e7a7af1e']","['http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/6c2b32b4-2f62-4288-a359-3406022c3610', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39', 'http://data.europa.eu/esco/isco/C122', 'http://data.europa.eu/esco/isco/C1324', 'http://data.europa.eu/esco/isco/C2621']",323,,Office Coordinator,"RVU Distribution is a dynamically growing luxury fashion trading company in Europe and the official distributor of the international brands Barbour, Marc O'Polo, Happy Socks, Samsonite and Scotch & Soda in the Greek Market. Driven by high quality, it sets standards in the market through retail, e-commerce and wholesale outlets.
 
RVU: Building partnerships, Delivering excellence
 
Position Description:
•    Call center management and reception of visitors.•    Internal announcements and management of electronic mail.•    Archiving of documents and invoices.•    Management of shipments and receipts via courier.•    Coordination of maintenance of offices and equipment.•    Management for orders of consumables by item in 35 stores always in communication with the Brand Directors•    Marketing department support in terms of coordinating visual missions•    Organization and support of events and trips.
Candidate Profile:
High school/IEK/TEI/HEI graduate. Desirable previous experience in a similar position. Good knowledge of the English language. Knowledge of PC and MS Office applications. Ability to manage priorities and organization. Communication skills and customer-oriented approach. .•    Responsibility and ability to solve problems.
Company Benefits:
Mixed salary package €1000 gross 💼•  Inclusive work environment and continuous training 🌱•  Professional development opportunities 🚀•  Reduced prices on our company's products 🛍️",Entry / Junior,Full-time,"Marousi, Greece",EL,,,,2024-09-07,kariera.gr,168551
"['http://data.europa.eu/esco/skill/50f5e41d-7ce3-481b-aed7-ee9484545bc4', 'http://data.europa.eu/esco/skill/63b23e76-63cd-44e9-9685-173842d8b691', 'http://data.europa.eu/esco/skill/92721092-fe7c-4689-96bd-4f02385bc0e7', 'http://data.europa.eu/esco/skill/9d5521f9-44d7-4db4-b7ac-0ba7d389f44d', 'http://data.europa.eu/esco/skill/db9050db-ae5d-4be8-8114-c26f272c3bda', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923']","['http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791', 'http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0', 'http://data.europa.eu/esco/occupation/a1273779-d2d4-4708-a406-62f7cdd26aab', 'http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43', 'http://data.europa.eu/esco/isco/C2133', 'http://data.europa.eu/esco/isco/C214']",379,,Facilities and Fleet coordinator,"You will be responsible to care for our people in terms of security, health & safety and environmental aspects.
 Tasks 

Ensure a safe, secure and sustainable workplace.
You will become the Fleet Manager for Henkel in Greece and Cyprus.
Manage all contractors on site to ensure adherence to performance and Health & Safety standards.
Liaise daily with internal stakeholders along with 3rd party business partners for company agreements and ad-hoc issues.
Responsible for all maintenance and cleaning schedules. Respond promptly to maintenance requests and emergencies to ensure minimal disruption to operations.
Provide support to the Infrastructure Manager in Facility Management and Real Estate projects.
Monitors utilities consumption, proposes and implements environmental actions.

Required Skills and Experience 

Bachelor’s degree in Facilities Management or a related field (i.e. Engineering, Bus. Administration)
At least 3 years relevant proven experience in Facility Management and Fleet Management (having relevant prior experience is mandatory).
Perfect knowledge of Microsoft office
Fluency in English and Greek language
Excellent communication and interpersonal skills, capable of working with diverse teams
Attention to detail, judgement and analytical skills are key
Knowledge of health & safety and environmental best practices and regulations

Benefits

Positive working environment
Hybrid model of work
Training and Development opportunities
Competitive remuneration package",Mid-level,Full-time,"Moschato, Greece",EL,,,,2024-09-07,kariera.gr,168498
"['http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681', 'http://data.europa.eu/esco/skill/7546bf61-91c0-4715-8024-9ee276563cc4', 'http://data.europa.eu/esco/skill/8d10ae08-3b0d-4bbb-86c5-25dd2c6858cd']","['http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7', 'http://data.europa.eu/esco/occupation/0b5dfc02-b825-4445-811d-d39ed442657e', 'http://data.europa.eu/esco/occupation/e93b3b49-12e1-4b47-991c-dd4b0aec17d8', 'http://data.europa.eu/esco/isco/C42', 'http://data.europa.eu/esco/isco/C4416', 'http://data.europa.eu/esco/isco/C5151']",644,,Rooms Division Manager,"Workathlon, on behalf of Donkey Hotels, is looking for an enthusiastic Rooms Division Manager for the 5* luxury resort Nous Santorini, member of Design Hotels - Marriott.
 
Job Overview
Is responsible for the management and coordination of Front Office, Housekeeping and Spa. Plans, develops, implements and evaluates the quality of property’’s guest rooms. Strives to continually improve guest and employee satisfaction and maximize the financial performance of the department.
Responsibilities 

Monitors and promotes room rates, specials, and promotions at the resort.
Coordinates and makes preparations for group activities jointly with Sales coordinator.
Reviews and audits expenses/sales performance against budget.
Reviews guest feedback and responds to and handles guest problems and complaints_ guestflip software.
Sets goals and expectations for direct reports using the performance review process and holds staff accountable for successful performance/ Identifies training needs.
Conducts annual performance appraisal with direct reports according to Standard Operating Procedures.
Ensures that emergency procedures are practiced and enforced to provide for the security and safety of guests and employees.

Desirable skills and experience

Bachelor’s degree from college or university and/or a minimum of 5 years’ experience as a Front Desk Manager in a 5-star Hotel or 2 years’ experience in the same position.
Strong knowledge of MS Office 365, including Word, Excel, PowerPoint, and Outlook.
Strong knowledge on OPERA
Excellent organizational, supervisory, and customer service skills.
Must be able to work well under stressful situations and handle challenges in a professional manner.
Exceptional guest recovery skills.
Enjoy interacting with people in a fast-paced environment.",C-level / Executive,Full-time,"Thira, Greece",EL,,,,2024-09-06,kariera.gr,168210
