organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075', 'http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b', 'http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2', 'http://data.europa.eu/esco/skill/e76dd90d-91c4-49c0-bfd0-dfa2c4c90c81']",['http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90'],"['Manufacture of leather clothes and fur apparel', 'Manufacture of leather and related products of other materials', 'Industrial product and fashion design activities']",33,SENIOR SOFT ONE DEVELOPER,"✅ Implement, test, maintain and support SOFT ONE application improvements (custom/standard), based on technical design specifications
✅ Prepare technical design specifications based on functional requirements and analysis document
✅ Review functional requirements, analysis, and design documents and provide feedback
✅ Support internal departments with technical problems and questions
✅ Maintain and improve the performance of existing software applications
✅ Research new and emerging software solutions and technology released by SOFT ONE
✅ Participate in architecture and code reviews.",Senior,Full-time,"Metamorfosi, Greece",EL,,,,2024-09-09,kariera.gr,168871
,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/7234e847-451d-499a-9c7b-0050a4e758d6', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5']","['Computer consultancy and computer facilities management activities', 'Business and other management consultancy activities', 'Research and experimental development on social sciences and humanities']",50,SharePoint Developer (Mid-Senior),"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a SharePoint Developer in Netcompany-Intrasoft?Joining us as a SharePoint Developer, you will have the opportunity to be a part of highly skilled teams who design, develop, deploy, customize and support SharePoint sites and integration with other systems.As a SharePoint Developer you will:Develop custom web parts, applications, and features tailored to meet specific business requirements. This includes creating SharePoint sites, lists, libraries, and other custom componentsIntegrate SharePoint with other systems and applications, using APIs and web servicesCustomize the look and feel of SharePoint sites using CSS, HTML, JavaScriptBuild and deploy custom workflows using Microsoft Power Automate to automate business processesOptimize SharePoint environments for performance, reliability, and scalabilityManage documents, lists, libraries, and other content within SharePoint, including setting up metadata, content types, and search configurationsQualificationsWhat would make you a fit for the role:Bachelor's Degree in Computer Science or any related disciplineAt least 3 years of proven professional experience as a SharePoint DeveloperProficiency in SharePoint development tools and languages, such as SharePoint Framework (SPFx), C#, .NET, JavaScript, HTML, CSS, and Microsoft Power Platform (specifically Power Automate)Strong analytical and problem-solving skills to troubleshoot and resolve technical issuesDynamic personality with the ability to work independently and also as part of a teamExcellent command of the English language (written & oral)We wouldn't say no if you also have a Microsoft Certification in your own area of expertise!Additional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168858
,"['http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7']","['http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d', 'http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef']","['Activities of head offices', 'Activities of advertising agencies', 'Computer programming activities', 'Computer consultancy and computer facilities management activities']",76,Senior Full Stack Developer (PHP & JavaScript),"Plushost, an e-commerce agency with years of experience in building eshops and digital marketing, is looking for a Senior Full Stack Developer. 
 
Senior Full Stack Developer (PHP & JavaScript) 
Responsibilities:

Write well-designed, performant and testable code
Working closely with designers to create new e-shops
Maintaining current store portfolio
Implementing web development projects and tasks – front end modifications, but also the implementation of back end modules
Resolve application issues

Requirements:

Proven experience as a Full Stack Developer or similar role
Strong knowledge of PHP, JavaScript, CSS, MySQL
Understanding of RESTful APIs and experience in developing them
Knowledge and experience of CS-Cart will be considered a strong plus
Prior development of an e-shop will be preferred
Excellent problem-solving skills and attention to detail
A degree in Computer Science is a strong plus
Fluency in Greek and English (verbal and written)",Mid-level,Full-time,"Fournas, Greece",EL,,,,2024-09-09,kariera.gr,168834
,"['http://data.europa.eu/esco/skill/2b2d7c6a-229a-40ba-80f3-b5b5766161a0', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352', 'http://data.europa.eu/esco/skill/e24377fb-020b-4430-8bed-86dd539bbf3a', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae']","['http://data.europa.eu/esco/occupation/9a26d76b-b9e3-46ae-ab4b-057a1262138b', 'http://data.europa.eu/esco/occupation/b76178c0-a03a-4793-b079-1e61e636c521']","['Educational support activities n.e.c.', 'Business and other management consultancy activities']",152,Business Developer Horeca Iraklio,"The role of Business Developer is at the heart of Coca-Cola Tria Epsilon and is a position where you directly see the impact of your work every day. As a Business Developer, you will be responsible for managing a broad portfolio of some of the most iconic global and local soft drink, juice and beverage brands. You will meet our customers every day, and you will be the face of Coca-Cola Tria Epsilon in the market. As a member of our team, you will have constant support to achieve high performance and develop daily in a fast-paced and dynamic environment. Resources & Experience * I have similar previous experience in a corresponding external sales position in the same or similar industry * Driving license * Desirable degree from AEI/TEI/IEK * Excellent knowledge of the Greek language * I am result-oriented and able to create trusting relationships * I am characterized by customer-centricity & focus on the client's needs * I can plan and schedule my work effectively, setting priorities and proposing solutions * I work collaboratively and responsibly * I am interested in my personal & professional development Responsibilities as a Business Developer * Your daily mission: to boost sales and activate the market with a broad portfolio of iconic global and local brands * You will achieve goals by implementing top sales and market enablement tools * You will build trusting relationships by finding the best solutions for our clients to achieve the highest level of customer satisfaction * You will collaborate and you share best practices with your team to support each other in developing your skills * You will gather information about market and customer developments to adapt to them to evolve and win with our customers every day * You will have a planned itinerary for customer visits so that you can focus on the essence of your work * I carry out store activation activities focusing on merchandising standards to expand customer transactions * I promote the team spirit through working closely with team members as well as with members of other departments, always aiming for my growth * I am open to providing and receiving frequent feedback Benefits * Company car & travel expenses * Mobile & iPad * Daily support * Product availability * Bonus based on achievement of targets At Coca-Cola HBC, diversity thrives and we seek to eliminate all forms of stereotyping. This means we provide equal opportunities for everyone, regardless of race, color, religion, age, special needs, sexual orientation or gender identity. Come and join our team, so that we can continue to create an environment of inclusion, where everyone belongs and contributes collectively to success.",Entry / Junior,Part-time,"Heraklion, Greece",EL,,,,2024-09-09,kariera.gr,168727
,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d']","['Computer consultancy and computer facilities management activities', 'Business and other management consultancy activities', 'Other support activities to arts and performing arts', 'Computer programming activities']",275,Frontend Engineer (Angular) Mid-Senior,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a Front End Developer (Angular) in Netcompany-Intrasoft? As a Front-end Developer, you will be a member of team responsible for designing, developing and testing in order to create software solutions aligned to the needs of the business and external customers. The role requires developed and strong foundation of web-development skills and good knowledge of relevant technologies.As a Frontend Developer you will:Able to take ownership, accountability and initiativeDetail-driven, able to take constructive criticismStrong analytical-thinker and problem-solverCommunicative and team playerQualificationsWhat would make you a fit for the role:University degree in Computer Science or Electrical EngineeringAt least 2 years of Javascript experienceAt least 1 year of Angular (version 2 or greater) development experience, or some other relevant framework (Backbone.js, AngularJS, viewJS, react)Knowledge of the interaction between JavaScript, HTML and CSS.Ability to create, modify, and style elements on a page with ease and can also do this dynamicallyAbility to analyse visual designs into design patternsStrong knowledge in MVC ArchitectureKnowledge of version control softwareExperience consuming RESTful API'sGood command of the English Language (written & verbal)It would also be a plus if you match some of the following:Cross browser experience, working with backwards compatibility with graceful degradationExperience in Bootstrap and responsive web application developmentFamiliarity with backend development, understanding application layersExperience writing RESTful API's and fully understanding the RESTful architecture and goalsA background in design or appreciation of good design and UXExperience with SQL and being comfortable with querying databaseAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,,,,2024-09-08,kariera.gr,163332
,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/7234e847-451d-499a-9c7b-0050a4e758d6', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5']","['Computer consultancy and computer facilities management activities', 'Business and other management consultancy activities', 'Research and experimental development on social sciences and humanities']",286,SharePoint Developer (Mid-Senior),"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a SharePoint Developer in Netcompany-Intrasoft?Joining us as a SharePoint Developer, you will have the opportunity to be a part of highly skilled teams who design, develop, deploy, customize and support SharePoint sites and integration with other systems.As a SharePoint Developer you will:Developing custom web parts, applications, and features tailored to meet specific business requirements. This includes creating SharePoint sites, lists, libraries, and other custom componentsIntegrating SharePoint with other systems and applications, using APIs and web servicesCustomizing the look and feel of SharePoint sites using CSS, HTML, JavaScriptBuilding and deploying custom workflows using Microsoft Power Automate to automate business processesOptimizing SharePoint environments for performance, reliability, and scalabilityManaging documents, lists, libraries, and other content within SharePoint, including setting up metadata, content types, and search configurationsQualificationsWhat would make you a fit for the role:Bachelor's Degree in Computer Science or any related disciplineAt least 3 years of proven professional experience as a SharePoint DeveloperProficiency in SharePoint development tools and languages, such as SharePoint Framework (SPFx), C#, .NET, JavaScript, HTML, CSS, and Microsoft Power Platform (specifically Power Automate)Strong analytical and problem-solving skills to troubleshoot and resolve technical issuesDynamic personality with the ability to work independently and also as part of a teamExcellent command of the English language (written & oral)We wouldn't say no if you also have a Microsoft Certification in your own area of expertise!Additional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,,,,2024-09-08,kariera.gr,168583
,"['http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68']",[],[],361,Full Stack Developer - Angular & Java Spring Boot  (e-Health Sector) Thessaloniki,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative e-Health software systems and solutions. 
Experience You Will Need to Succeed

BSc or MSc in Computer Science or equivalent
Knowledge of JavaScript or AngularJS
Knowledge of Typescript will be considered as a plus
Knowledge of relational databases will be considered as a plus.
Strong knowledge of Java
Knowledge of Spring Framework will be considered as a plus.
Knowledge of PL/SQL programming, will be considered as a plus

 Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team

What we offer

Competitive base salary
Private medical insurance coverage
Full-time long-term co-operation
Outstanding on the job training opportunities
Outstanding working environment
Outstanding career opportunities",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-07,kariera.gr,156872
,"['http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68']",[],[],363,Full Stack Developer - Angular & Java Spring Boot  (e-Health Sector) Athens,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative e-Health software systems and solutions.
Experience You Will Need to Succeed

BSc or MSc in Computer Science or equivalent
Knowledge of JavaScript or AngularJS
Knowledge of Typescript will be considered as a plus
Knowledge of relational databases will be considered as a plus.
Strong knowledge of Java
Knowledge of Spring Framework will be considered as a plus.
Knowledge of PL/SQL programming, will be considered as a plus

 Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team

What we offer

Competitive base salary
Private medical insurance coverage
Full-time long-term co-operation
Outstanding on the job training opportunities
Outstanding working environment
Outstanding career opportunities",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-07,kariera.gr,168510
,"['http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b', 'http://data.europa.eu/esco/skill/9d2e926f-53d9-41f5-98f3-19dfaa687f3f', 'http://data.europa.eu/esco/skill/b387bca8-0f61-4548-b41c-2fe6887d1534', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/3c2da05f-eb24-41f7-8307-46c96660fee0', 'http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539', 'http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/occupation/b3b32930-05f0-4b2e-93bf-34d1e3f89a3b', 'http://data.europa.eu/esco/isco/C214']","['Service activities incidental to air transportation', 'Computing infrastructure, data processing, hosting and other information service activities', 'Research and experimental development on natural sciences and engineering', 'Other support activities to arts and performing arts', 'Vocational secondary education', 'Driving school activities']",453,Software Developer,"The Opportunity
Worldwide and 24/7, air traffic controllers use our innovative software to keep operations running. ​Support our team as an expert in software development for Air Traffic Control (ATC) solutions at international airports. ​ Be part of this challenge and join our team to work on the following tasks: 
 
You will make an impact by

Developing professional software based on a Qt/C++ stack in the field of fault-tolerant, high-performance computing in the aviation industry. ​
Designing, implementing, testing, documenting and integrating features within the agile team.

 
The talent we want to inspire has....

Education in Software Development (either via higher technical college or degree in computer science, engineering, physics or mathematics)​
Minimum of 3-5 years of relevant work experience within Software Development.
Proficiency in C++
Strong problem-solving skills and a structured and methodical approach to complex topics​
Experience with the Git version control system​.
Familiarity with development under Linux ​
Team player, with willingness to work as part of a pragmatic agile team​.
Fluency in English (working language)

 
This would be a plus but not a must!

Experience in the aviation sector is considered a plus.
Experience with Qt and Python is beneficial.

​​​​​​​Why join ADB SAFEGATE? 
We value you and your contribution in the business. Recognizing and rewarding the impact you make is important to us. 
 

In return, we offer a truly global environment with competitive salaries and benefits. 
The opportunity to develop your career. We love to upskill and promote our staff; there's nothing better than to see someone gain a strong sense of pride and accomplishment. 
A great flexible working culture with company values and behaviours that help shape your development and lead to success for you and the Company. 

If you want to join a global business and enjoy being a team player who's driven and passionate, then this is your opportunity to come on board by applying!",Mid-level,Full-time,"Agia Paraskevi, Greece",EL,,,,2024-09-07,kariera.gr,168413
,"['http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575', 'http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc', 'http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f', 'http://data.europa.eu/esco/skill/a1c72d66-3671-4a8e-840d-e8b28e237b6f', 'http://data.europa.eu/esco/skill/e76dd90d-91c4-49c0-bfd0-dfa2c4c90c81']",[],[],513,PHP Developer,"BIOAXIS Healthcare, an IQVIA business, is the leader in Patient Support Program services in Greece and cooperates with global and local pharmaceutical companies. We are looking for an experienced PHP Developer, who is dedicated to the craft, writes code that they are proud of and can hit the ground running. A PHP Developer writes beautiful, fast PHP to a high standard, in a timely and scalable way that improves the code-base of our products in meaningful ways. You will be a part of a full-stack creative team that is responsible for all aspects of the ongoing software development from the initial specification, through to developing, testing and launching.
 
Responsibilities:

Write “clean”, well-designed code
Produce detailed specifications
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
Contribute in all phases of the development lifecycle
Follow industry best practices
Develop and deploy new features to facilitate related procedures and tools if necessary

Requirements:

Previous working experience as a PHP Developer for minimum 5 years.
PHP developer with front-end skills (Javascript, HTML5, CSS3).
Proficient in PHP, HTML5, JavaScript, JQuery.
Basic Linux administration skills.
Must have a full-stack attitude and understand concepts of software engineering.
Knowledge of the software development life cycle.
Ability to work in fast-paced environment.
Ability to acquire missing knowledge and research problems with minimal guidance.
Experience working on a variety of software development projects / technologies is a plus.
UI-UX artistic talent is a plus, though not decisive.
Familiarity with limitations of PHP as a platform and its workarounds.
Excellent relational database skills with MySQL.",Mid-level,Full-time,"Irakleio, Greece",EL,,,,2024-09-06,kariera.gr,168330
