id,title,description,experience_level,type,location,location_code,upload_date,source,source_id,organization,skills,occupations
6,Installer of security systems,"COMPANY importing technological equipment and security systems with a leading position in the Greek market is looking for an experienced Security Systems Installer Technician with a central role in the telephone technical support of its clientele internally. Position Duties:
The suitable candidate will further strengthen the professional installers of our clientele in matters of technical consulting and at the same time will inform about the points of excellence of the company's products.
 
Necessary qualifications:
Studies in Electronics fields
5 years professional experience in security systems, CCTV, fire detection.
Experience in organization and continuous communication support
Knowledge of PC and English is desirable
Passenger car driver's license
Positive and pleasant personality
Responsibility and consistency
Six days.
Amenities:
Competitive remuneration package
Development prospects
Excellent and constantly evolving work environment
Continuous education.
, fee 1,600€ NET
 
, IEK Degree, minimum work experience: 36 months, full time, in the workplace",Senior,Full-time,"Peristeri, Greece",EL,2024-09-09,kariera.gr,168910,,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/b0288eea-74b3-460a-8ac5-edc4ba70b75c']","['http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224', 'http://data.europa.eu/esco/occupation/c66b4569-09aa-4d8d-93d9-ac9b9176655d', 'http://data.europa.eu/esco/occupation/d84bf1d7-ef99-40c4-a407-3791d6531b44', 'http://data.europa.eu/esco/isco/C334']"
8,BILLING / ACCOUNTING OFFICER,"The company MICROLINK, active in the supply of security systems, is looking to hire a person to staff the accounting-invoicing department.
Key Responsibilities:

Receiving, managing and routing customer phone calls 
Pricing - intensive retail - cashier - wholesale
Telephone communication with customers 
Management and writing of e-mail and letters
Registration of customer request details in the company's databases

 
Required Qualifications:

Excellent knowledge of the English language
Knowledge - experience ERP, SOFTONE 3 years of continuous invoicing. 
Excellent knowledge and experience using MS Office
 

Personal Characteristics:

Integrity
Confidentiality
Teamwork
Good company 

Salaries and benefits:
Competitive salary package depending on qualifications and experience, 6 DAYS, 1400 NET
 
Interested parties are requested to send their CV by pressing the Send CV button.",Senior,Full-time,"Peristeri, Greece",EL,2024-09-09,kariera.gr,168908,,"['http://data.europa.eu/esco/skill/de2f0ce8-f8d6-48c5-a213-4d065251cecf', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/ec0bbf39-0edd-4015-a2c3-82ad563ce3a8', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b']"
26,ACCOUNTING OFFICER/ASSISTANT ACCOUNTANT,"ARKADIKI MELISSOCOMIA ABEE, one of the largest companies in the field of beekeeping, is interested in hiring a full-time Accounting Clerk/Assistant Accountant/Accountant with the following qualifications:
Responsibilities:

Control, categorization and registration of Purchases, Imports, Fixed Assets, Expenses and other documents in a commercial program (GALAXY SINGULARLOGIC)
Agreement of customer - supplier records
Check My Data - Provider epsilon net 
Participation in the issuance - submission of VAT-VIES-INTRASTAT declarations
Updating of diploma books
Support monthly closing and financial results tasks

Necessary qualifications:

Graduated from AEI TEI in Financial Accounting
At least 5 years of experience in an organized accounting office
Excellent knowledge of ELP and tax legislation
Experience in computerized record keeping
Excellent use of PC (Ms Office) and erp systems 
Excellent knowledge of the English language
Good organizational skills
Professional behavior
Ease of communication
Experience in GALAXY software will be considered

What we offer:
• Pleasant working environment • Development and growth prospects • Possibility of continuous training • Competitive remuneration package depending on qualifications
 
Please send the resumes to the email hr@arkmel.gr with the reference ΙΛ924
All resumes will be strictly confidential. Only eligible nominations will be responded to.",Mid-level,Full-time,"Mandra, Greece",EL,2024-09-09,kariera.gr,168884,,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/6bf6b5bd-6658-4338-b0ee-dc143e68e6d3', 'http://data.europa.eu/esco/skill/d669af41-756c-48d9-a286-1443253f54b1', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']",['http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa']
50,SharePoint Developer (Mid-Senior),"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a SharePoint Developer in Netcompany-Intrasoft?Joining us as a SharePoint Developer, you will have the opportunity to be a part of highly skilled teams who design, develop, deploy, customize and support SharePoint sites and integration with other systems.As a SharePoint Developer you will:Develop custom web parts, applications, and features tailored to meet specific business requirements. This includes creating SharePoint sites, lists, libraries, and other custom componentsIntegrate SharePoint with other systems and applications, using APIs and web servicesCustomize the look and feel of SharePoint sites using CSS, HTML, JavaScriptBuild and deploy custom workflows using Microsoft Power Automate to automate business processesOptimize SharePoint environments for performance, reliability, and scalabilityManage documents, lists, libraries, and other content within SharePoint, including setting up metadata, content types, and search configurationsQualificationsWhat would make you a fit for the role:Bachelor's Degree in Computer Science or any related disciplineAt least 3 years of proven professional experience as a SharePoint DeveloperProficiency in SharePoint development tools and languages, such as SharePoint Framework (SPFx), C#, .NET, JavaScript, HTML, CSS, and Microsoft Power Platform (specifically Power Automate)Strong analytical and problem-solving skills to troubleshoot and resolve technical issuesDynamic personality with the ability to work independently and also as part of a teamExcellent command of the English language (written & oral)We wouldn't say no if you also have a Microsoft Certification in your own area of expertise!Additional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,2024-09-09,kariera.gr,168858,,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/7234e847-451d-499a-9c7b-0050a4e758d6', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5']"
131,Shift supervisor,"Shift supervisor
Relevant experience will be considered but not necessary.
Remuneration: 1,250 euros net (during training, 4-6 months, 1,000 euros net)
Necessary qualifications:  

 University or TEI degree (faculty with a positive orientation will be preferred)
Previous professional experience in a position of responsibility
 Knowledge of the English Language
Excellent computer skills
Driver's license - Ability to travel

Required features:  

Courtesy
Ability to collaborate & communicate
Methodology
 Team spirit
Responsibility and emotional stability
Flexible hours

 
Position description and responsibilities:

Hours 12.00 – 20.00 (with adjustments according to demand)
Communication, cooperation and coordination of staff
Communication and collaboration with customers
Monitoring the trouble-free operation of mechanical equipment and communication with suppliers (both in Greece and abroad)
Supervise the cremation process and oversee the proper execution of the procedures.
In emergency cases loading bodies, handling machinery, checking documents

Additional desirable attributes and skills

Ability to handle requests from bereaved people
 Emotional resilience
Ability to perceive, plan and control",Mid-level,Full-time,"Avlida, Greece",EL,2024-09-09,kariera.gr,168752,,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/9ed7ef90-6103-4f74-a684-181abc809a29', 'http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/857ed740-f4ae-43d0-8295-d6181f1d7eed']"
153,HR ASSISTANT,"The Constantinos Business Group, which operates in the Real Estate and retail trade sectors, requests
HR ASSISTANT for the management of ERGANI
Duties:

Collection of supporting documents for staff recruitment/departure and submission of forms.
Monitoring and submitting monthly staff work schedules/submitting schedule changes during the month.
Monitoring and submission of personnel changes to P/S ERGANI.
Digital card tracking and data submission to P/S ERGANI.
Submission of applications to SEPENET (for approval to work on Sunday, notifications for the digital card, etc.).
Monitoring employment contracts and submitting forms.
Monitor staff leave and submit E11.
Compilation of license book.
Submission of annual staff tables.
Monitoring and updating the physical file of all the above forms.

Additional duties:

Compilation of employment certificates for staff (Banks, kindergartens, schools, public services).
Posting advertisements for finding personnel, receiving and forwarding resumes (not screening).

The right candidate must have:

Previous experience from 3 to 5 years in a personnel department and especially with previous experience in submitting forms to P/S ERGANI.
AEI/TEI degree.
Experience in labor issues.
Good knowledge of MS Office, especially Excel and Word.
Ability to complete tasks within defined timelines.
Excellent knowledge of English.
Knowledge of Epsilon Net's Pylon program and ESS application will be considered additional qualifications.

Offered:

Competitive remuneration package
Private insurance
Continuous education
Development prospects

 
Send resumes of candidates who meet the criteria with code HR ASSISTANT to e-mail hr@talima.gr",Mid-level,Full-time,"Agios Dimitrios, Greece",EL,2024-09-09,kariera.gr,168725,,"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647']","['http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83', 'http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0', 'http://data.europa.eu/esco/isco/C1212', 'http://data.europa.eu/esco/isco/C142', 'http://data.europa.eu/esco/isco/C421']"
155,PAYROLL ASSISTANT,"The Constantinos Business Group, which operates in the Real Estate and retail trade sectors, requests
PAYROLL ASSISTANT   
Duties:

Management and processing of labor and insurance matters and electronic submission of forms.
Collection of payroll documents and payroll calculation.
Issuing and keeping records (accounting articles, payroll statements, A.P.D., F.M.Y.).
Monitoring and submission of LAEK forms.
Monitoring and submission of monthly and annual permits.
Issue of monthly financial reports.
Monitoring and updating the physical file of all the above forms.
Compilation of employment certificates for staff (Banks, kindergartens, schools, public services).

The right candidate must have:

Experience of at least 5 years in a personnel department with experience in issuing payroll.
Degree of AEI/TEI School of Economics.
Experience in labor matters/SEPE/IKA.
Good knowledge of MS Office, especially Excel and Word.
Ability to complete tasks within defined timelines.
Excellent knowledge of English.
Knowledge of Epsilon Net's Pylon program, ESS application and experience in timekeeping will be considered additional qualifications.

 
Offered:

Competitive remuneration package
Private insurance
Development prospects

 
Send resumes of candidates who meet the criteria with code PAYROLL to e-mail hr@talima.gr",Senior,Full-time,"Ilioupoli, Greece",EL,2024-09-09,kariera.gr,168672,,"['http://data.europa.eu/esco/skill/207f87c4-ac68-4987-990c-636ca19c2626', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83', 'http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0', 'http://data.europa.eu/esco/isco/C142', 'http://data.europa.eu/esco/isco/C421', 'http://data.europa.eu/esco/isco/C4313']"
161,"ACCOUNTANT, ACCOUNTING","We want to increase the human resources of our company!
PANTELIS AND PARTNERS TAX AND ACCOUNTING SPECIALISTS P C, based in the center of Athens (Kolonos), wishes to include in its human resources, associates in the simple books department and in the double books department for full and permanent employment.
Required Qualifications:

Excellent knowledge of aplographic books or diplographic books
Excellent knowledge of epsilon net and union programs
Excellent communication and organizational skills
Excellent knowledge of Microsoft Office applications
Responsibility, confidentiality
Previous experience in a similar position of at least 3 years
Good knowledge of a foreign language (English) is desirable

Amenities:

Friendly work environment.
Insurance coverage.
Continuous training and development prospects.

Type of Work:

Full time employment.
Indefinite time.",Senior,Full-time,"Athens, Greece",EL,2024-09-09,kariera.gr,168714,,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fcd02121-ae3e-4d20-92ee-e2e368658a45']",['http://data.europa.eu/esco/isco/C2411']
286,SharePoint Developer (Mid-Senior),"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionEver wondered what it feels like to be a SharePoint Developer in Netcompany-Intrasoft?Joining us as a SharePoint Developer, you will have the opportunity to be a part of highly skilled teams who design, develop, deploy, customize and support SharePoint sites and integration with other systems.As a SharePoint Developer you will:Developing custom web parts, applications, and features tailored to meet specific business requirements. This includes creating SharePoint sites, lists, libraries, and other custom componentsIntegrating SharePoint with other systems and applications, using APIs and web servicesCustomizing the look and feel of SharePoint sites using CSS, HTML, JavaScriptBuilding and deploying custom workflows using Microsoft Power Automate to automate business processesOptimizing SharePoint environments for performance, reliability, and scalabilityManaging documents, lists, libraries, and other content within SharePoint, including setting up metadata, content types, and search configurationsQualificationsWhat would make you a fit for the role:Bachelor's Degree in Computer Science or any related disciplineAt least 3 years of proven professional experience as a SharePoint DeveloperProficiency in SharePoint development tools and languages, such as SharePoint Framework (SPFx), C#, .NET, JavaScript, HTML, CSS, and Microsoft Power Platform (specifically Power Automate)Strong analytical and problem-solving skills to troubleshoot and resolve technical issuesDynamic personality with the ability to work independently and also as part of a teamExcellent command of the English language (written & oral)We wouldn't say no if you also have a Microsoft Certification in your own area of expertise!Additional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://netcompany.com/careers/greece/our-values/ #BePartOfSomethingGreat!Please submit your CV in English. All applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Athens, Greece",EL,2024-09-08,kariera.gr,168583,,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a', 'http://data.europa.eu/esco/skill/7234e847-451d-499a-9c7b-0050a4e758d6', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5']"
340,Financial Institution Telephone Service (Neo Faliro),"A large Greek Multinational Group is looking for telephone bank customer service representatives based in Neo Faliro.
Bank Customer Service Representative Role Description

Telephone service of private customers in incoming calls of a large Banking Organization
Management and registration of requests regarding card and e-banking issues
Five-day 8-hour work in shifts (time range 08:00-22:30)
2 weekends / month (with corresponding days off)
Attendance at the office 2-3 times a week is required

Necessary qualifications

High school diploma
Good knowledge of the English Language
Good computer use
Previous work experience in a call center - desirable
Professional demeanor with customer service attitude & team spirit

Allowances

€800 net monthly salary (plus legal supplements)
5 weeks paid training 
Evolution in a stable & organized environment
Extra monthly Bonus based on goal achievement
Hybrid employment model 

The position concerns 5-day, 8-hour employment with a hybrid work model status.",Entry / Junior,Full-time,"Piraeus, Greece",EL,2024-09-07,kariera.gr,168532,,['http://data.europa.eu/esco/skill/704fda1b-cd0a-40fe-99fc-0a24250a2010'],"['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39']"
