id,title,description,experience_level,type,location,location_code,upload_date,source,source_id,organization,skills,occupations
76,Senior Full Stack Developer (PHP & JavaScript),"Plushost, an e-commerce agency with years of experience in building eshops and digital marketing, is looking for a Senior Full Stack Developer. 
 
Senior Full Stack Developer (PHP & JavaScript) 
Responsibilities:

Write well-designed, performant and testable code
Working closely with designers to create new e-shops
Maintaining current store portfolio
Implementing web development projects and tasks – front end modifications, but also the implementation of back end modules
Resolve application issues

Requirements:

Proven experience as a Full Stack Developer or similar role
Strong knowledge of PHP, JavaScript, CSS, MySQL
Understanding of RESTful APIs and experience in developing them
Knowledge and experience of CS-Cart will be considered a strong plus
Prior development of an e-shop will be preferred
Excellent problem-solving skills and attention to detail
A degree in Computer Science is a strong plus
Fluency in Greek and English (verbal and written)",Mid-level,Full-time,"Fournas, Greece",EL,2024-09-09,kariera.gr,168834,,"['http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7']","['http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d', 'http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef']"
361,Full Stack Developer - Angular & Java Spring Boot  (e-Health Sector) Thessaloniki,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative e-Health software systems and solutions. 
Experience You Will Need to Succeed

BSc or MSc in Computer Science or equivalent
Knowledge of JavaScript or AngularJS
Knowledge of Typescript will be considered as a plus
Knowledge of relational databases will be considered as a plus.
Strong knowledge of Java
Knowledge of Spring Framework will be considered as a plus.
Knowledge of PL/SQL programming, will be considered as a plus

 Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team

What we offer

Competitive base salary
Private medical insurance coverage
Full-time long-term co-operation
Outstanding on the job training opportunities
Outstanding working environment
Outstanding career opportunities",Mid-level,Full-time,"Thessaloniki, Greece",EL,2024-09-07,kariera.gr,156872,,"['http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68']",[]
363,Full Stack Developer - Angular & Java Spring Boot  (e-Health Sector) Athens,"About Sigmasoft S.A. 
Sigmasoft S.A. is an innovative software development company providing state-of-the-art software solutions and services for the e-Health &  e-Government Sector.
What You Will Be Doing
You will be working with our team of talented software engineers to create innovative e-Health software systems and solutions.
Experience You Will Need to Succeed

BSc or MSc in Computer Science or equivalent
Knowledge of JavaScript or AngularJS
Knowledge of Typescript will be considered as a plus
Knowledge of relational databases will be considered as a plus.
Strong knowledge of Java
Knowledge of Spring Framework will be considered as a plus.
Knowledge of PL/SQL programming, will be considered as a plus

 Personal skills we are looking for

Excellent communication skills
Excellent analytical, problem solving and troubleshooting abilities
Solid organizational skills and focus on accuracy and attention to detail
Able to work independently or as part of a team
Detail oriented, maintaining the highest quality work standards
Enjoy working within agile/scrum-based team

What we offer

Competitive base salary
Private medical insurance coverage
Full-time long-term co-operation
Outstanding on the job training opportunities
Outstanding working environment
Outstanding career opportunities",Mid-level,Full-time,"Athens, Greece",EL,2024-09-07,kariera.gr,168510,,"['http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68']",[]
453,Software Developer,"The Opportunity
Worldwide and 24/7, air traffic controllers use our innovative software to keep operations running. ​Support our team as an expert in software development for Air Traffic Control (ATC) solutions at international airports. ​ Be part of this challenge and join our team to work on the following tasks: 
 
You will make an impact by

Developing professional software based on a Qt/C++ stack in the field of fault-tolerant, high-performance computing in the aviation industry. ​
Designing, implementing, testing, documenting and integrating features within the agile team.

 
The talent we want to inspire has....

Education in Software Development (either via higher technical college or degree in computer science, engineering, physics or mathematics)​
Minimum of 3-5 years of relevant work experience within Software Development.
Proficiency in C++
Strong problem-solving skills and a structured and methodical approach to complex topics​
Experience with the Git version control system​.
Familiarity with development under Linux ​
Team player, with willingness to work as part of a pragmatic agile team​.
Fluency in English (working language)

 
This would be a plus but not a must!

Experience in the aviation sector is considered a plus.
Experience with Qt and Python is beneficial.

​​​​​​​Why join ADB SAFEGATE? 
We value you and your contribution in the business. Recognizing and rewarding the impact you make is important to us. 
 

In return, we offer a truly global environment with competitive salaries and benefits. 
The opportunity to develop your career. We love to upskill and promote our staff; there's nothing better than to see someone gain a strong sense of pride and accomplishment. 
A great flexible working culture with company values and behaviours that help shape your development and lead to success for you and the Company. 

If you want to join a global business and enjoy being a team player who's driven and passionate, then this is your opportunity to come on board by applying!",Mid-level,Full-time,"Agia Paraskevi, Greece",EL,2024-09-07,kariera.gr,168413,,"['http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b', 'http://data.europa.eu/esco/skill/9d2e926f-53d9-41f5-98f3-19dfaa687f3f', 'http://data.europa.eu/esco/skill/b387bca8-0f61-4548-b41c-2fe6887d1534', 'http://data.europa.eu/esco/skill/fc4fcb4b-993f-4f2c-b158-c2171ec18ed8']","['http://data.europa.eu/esco/occupation/3c2da05f-eb24-41f7-8307-46c96660fee0', 'http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539', 'http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/occupation/b3b32930-05f0-4b2e-93bf-34d1e3f89a3b', 'http://data.europa.eu/esco/isco/C214']"
513,PHP Developer,"BIOAXIS Healthcare, an IQVIA business, is the leader in Patient Support Program services in Greece and cooperates with global and local pharmaceutical companies. We are looking for an experienced PHP Developer, who is dedicated to the craft, writes code that they are proud of and can hit the ground running. A PHP Developer writes beautiful, fast PHP to a high standard, in a timely and scalable way that improves the code-base of our products in meaningful ways. You will be a part of a full-stack creative team that is responsible for all aspects of the ongoing software development from the initial specification, through to developing, testing and launching.
 
Responsibilities:

Write “clean”, well-designed code
Produce detailed specifications
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
Contribute in all phases of the development lifecycle
Follow industry best practices
Develop and deploy new features to facilitate related procedures and tools if necessary

Requirements:

Previous working experience as a PHP Developer for minimum 5 years.
PHP developer with front-end skills (Javascript, HTML5, CSS3).
Proficient in PHP, HTML5, JavaScript, JQuery.
Basic Linux administration skills.
Must have a full-stack attitude and understand concepts of software engineering.
Knowledge of the software development life cycle.
Ability to work in fast-paced environment.
Ability to acquire missing knowledge and research problems with minimal guidance.
Experience working on a variety of software development projects / technologies is a plus.
UI-UX artistic talent is a plus, though not decisive.
Familiarity with limitations of PHP as a platform and its workarounds.
Excellent relational database skills with MySQL.",Mid-level,Full-time,"Irakleio, Greece",EL,2024-09-06,kariera.gr,168330,,"['http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575', 'http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc', 'http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f', 'http://data.europa.eu/esco/skill/a1c72d66-3671-4a8e-840d-e8b28e237b6f', 'http://data.europa.eu/esco/skill/e76dd90d-91c4-49c0-bfd0-dfa2c4c90c81']",[]
721,Junior Java Web Developer / Tester (Remote/Thessaloniki),"Description 
Are you a Junior Java Web Developer / Tester fluent in English, ready to contribute to international web development projects in the eGovernment sector? Join our team remotely or at our offices in Thessaloniki and become part of our dynamic environment where you'll collaborate closely with clients and internal teams.
Main responsibilities and Tasks:

Preparation of software development documentation (Test Cases, Test Reports, User Manuals, etc.);
Participation in the development of automated testing solutions;
Participation in the development of web and mobile software, using state-of-the-art technologies;
Participation in testing, training, and help-desk/user support activities, for web applications;
Project management support, coordination, and reporting.

Requirements

University Degree in Computer Science, Information Technology, or Electrical Engineering;
Excellent command of English, both written and spoken;
Experience in Java programming language, web development, and databases;
Familiarization with the software development cycle for web applications (requirements, design, development, testing, etc.);
Good understanding of OO programming principles, XML, SQL, HTML, CSS technologies and capacity in automated testing tools (Selenium and/or SoapUI etc.) will be an asset.

Benefits
As a Junior Java Web Developer / Tester you will have the opportunity to work on large international projects with a methodological approach. As part of a friendly team you will work closely with a highly professional team of full-stack software developers/engineers. As part of an international company you will contribute to challenging IT software projects for major international public organizations and institutions. As part of a dynamic company you will get the chance to develop your skills and your career.
We offer competitive remuneration (either on a contract basis or remuneration with full benefits package) based on qualifications and experience, including:

Competitive full-time salary;
Private Health Coverage on the Company’s group program;
Flexible working hours, top - of - the Line tools, language courses, specialized trainings;
A great opportunity to grow and work with innovative and exciting specialists in the industry;
Being part of an environment that offers challenging goals, autonomy and mentoring, which creates development opportunities, both for you and the company.

If you are seeking a career in an exciting, dynamic and multicultural international environment with exciting opportunities that will boost your career, please send us your detailed CV in English, quoting reference: (JJWD_T/09/24).
You may also consider all our other open vacancies by visiting the career section of our website (www.eurodyn.com) and follow us on Twitter (@EURODYN_Careers) and LinkedIn.
EUROPEAN DYNAMICS (ED) (www.eurodyn.com) is a leading European Software, Information and Communication Technologies company, operating internationally (Athens, Brussels, Luxembourg, Copenhagen, Berlin, Stockholm, London, Nicosia, Valetta, Vienna, Den Haag, Hong Kong, etc.) The company employs over 1000 engineers, IT experts and consultants (around 3% PhD, 36% MSc and 53% BSc). We design and develop software applications using integrated, state-of-the-art technology. Our current IT projects have a value exceeding 300 million EURO. EUROPEAN DYNAMICS is a renowned supplier of IT services to European Union Institutions, international organizations, European Agencies and national government Administrations in 40 countries and 4 continents.
As part of our dedication to the diversity of our workforce, we are committed to Equal Employment Opportunity without regard for race, colour, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion.
EUROPEAN DYNAMICS (ED) adheres to the General Data Protection Regulation principles by applying its Privacy Policy as published in www.eurodyn.com/privacy. By submitting an application to this position and by sharing your personal data with ED, you acknowledge and accept its Policy and authorise ED to process your personal data for the purposes of the company's recruitment opportunities, in line to the Policy.",Entry / Junior,Full-time,"Thessaloniki, Greece",EL,2024-09-06,kariera.gr,168122,,"['http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389', 'http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d', 'http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5', 'http://data.europa.eu/esco/skill/3e40c7d0-0e36-4b33-bc33-0aa87eda0561', 'http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576', 'http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742', 'http://data.europa.eu/esco/skill/5c66ce3a-658d-43b1-9d8d-0f39be6c0f2e', 'http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388', 'http://data.europa.eu/esco/skill/7557f0f4-b8bc-4ac0-b91e-222ab1ba744f', 'http://data.europa.eu/esco/skill/78a74fd1-efc6-49dc-adb1-1b0fbe35c22c', 'http://data.europa.eu/esco/skill/96eb286a-58b7-45ff-a916-5578d0b79b8c', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/b8c01891-e3df-4a4b-948d-95b45e1788f5', 'http://data.europa.eu/esco/skill/cbd9cd0f-6c22-4bbc-8af2-dc9c7f5efcb5', 'http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758', 'http://data.europa.eu/esco/skill/e24377fb-020b-4430-8bed-86dd539bbf3a', 'http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777']","['http://data.europa.eu/esco/occupation/1242d99a-47f1-4a62-b884-33746db8a6ca', 'http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c', 'http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67', 'http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22', 'http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d']"
723,Full Stack .NET Developer,"Job Title: Full Stack .NET Developer
Company: ComPro SA
Location: 10557 Athens, Attica Greece
Position: Full Stack .NET Developer (Junior/Mid/Senior)
Type: Full-Time, On-Site
 
About Us: ComPro SA is a pioneering force in delivering end-to-end automated software solutions tailored for the financial industry and listed companies. With a rich history dating back to 2000, we are dedicated to crafting, offering, and sustaining innovative solutions that align with the ever-evolving technological and regulatory demands of our valued clients. Our commitment extends to nurturing our specialized staff, enabling them to adeptly address real-time client needs, and forging enduring relationships grounded in trust.
Role and Responsibilities:

Υou will play a key role within our cross-functional team
Responsible of both Back-End and Front-End Web Development applications using techniques and languages like C#, .NET Framework, HTML, CSS, JavaScript, jQuery, SQL Server, UI/UX among other solutions for our digital platforms.
Developing, implementing, and maintaining robust Desktop Applications in the fintech area.
Analysis of project requirements and culminating in the design and implementation of website architecture and of Desktop Applications and SQL Server Objects.
Your crucial duties comprise not only the development and implementation of technical solutions but also close collaboration with diverse teams to ensure the successful completion of projects within established timelines and budgetary constraints
Your assistance will be vital in the development, enhancement, maintenance, and design of a wide array of websites and online applications, catering to a variety of clients.

Main Tasks:

Collaborate with cross-functional teams to define project requirements, scope, and deliverables.
Develop and maintain resilient code and SQL Server objects and scripts using technologies and languages like C#, .NET Framework, SQL Server, WinForms, among other, mainly for our desktop applications.
Design, write, validate and modify scripts and code.
Develop and execute effective testing plans.
Ensure data security and implement measures to protect sensitive information.
Ensure data integrity and quality through meticulous review of data and reports.
Create and maintain documentation for the allocated web applications, programs and other systems.
Utilize Version Control systems to manage codebase and track changes.
Communicate effectively with technical and non-technical team members to provide updates and gather insights.
Stay updated with industry trends and best practices to continuously enhance our solutions.

 
Key Qualifications:

Bachelor's or Master's degree in Computer Science or a related field.
Good Knowledge and proven experience in Front-End Development (HTML5, CSS, JavaScript etc.)
Expertise in Back-End Web Development with proven experience in technologies like C#, .NET Frameworks (ASP.NET, .NET Core etc.), Web API, SQL Server etc.
Expertise in Software Development, with proven experience in technologies like C#, .NET Frameworks (WinForms, .NET Framework, .NET Standard etc), SQL Server and others, for crafting high-performance applications.
Strong experience in building and managing databases to support seamless data flow and storage.
In-depth knowledge of security protocols and data protection measures ensuring the integrity and confidentiality of sensitive information.
Familiarity with Version Control systems, enabling efficient management of the codebase.
Excellent team player with effective communication skills, capable of interacting with both technical and non-technical team members.
Exceptional problem-solving and debugging skills to address complex challenges and find optimal solutions.

 
Preferred Qualifications:

2+ years of experience in C#, .Net Frameworks, SQL Server
Experience in developing using ASP.NET Core, ASP.NET MVC applications
Experience using latest .NET frameworks
Experience with DevExpress Controls
Detail- oriented and excellent concentration ability
Experience in the financial technology (fintech) sector is a plus.
Experience in Mobile Development",Mid-level,Full-time,"Athens, Greece",EL,2024-09-06,kariera.gr,168103,,"['http://data.europa.eu/esco/skill/097c6a36-f031-4d3e-b5c1-62d6ffcb430b', 'http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26', 'http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead', 'http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f', 'http://data.europa.eu/esco/skill/3782a625-52c2-46c7-b585-35ba4ddc4a1d', 'http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50', 'http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1', 'http://data.europa.eu/esco/skill/5ef0c719-5bcb-49f8-b8eb-824388225333', 'http://data.europa.eu/esco/skill/652da95d-b336-497a-bce5-1c29a674eecb', 'http://data.europa.eu/esco/skill/713fb616-118e-40bc-9366-4a69879a49d5', 'http://data.europa.eu/esco/skill/ac802765-4098-4466-ac1e-4791f192c667', 'http://data.europa.eu/esco/skill/adcca622-b933-4ba3-bc43-bf371879edc3', 'http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead', 'http://data.europa.eu/esco/skill/c4b1f326-224a-420a-b8b3-814a8f13b6cb', 'http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84', 'http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700', 'http://data.europa.eu/esco/skill/fc67df93-0a32-4a87-95d9-cb210531929e']","['http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73', 'http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2', 'http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c', 'http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3', 'http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c', 'http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c', 'http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d', 'http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1', 'http://data.europa.eu/esco/isco/C241', 'http://data.europa.eu/esco/isco/C2433']"
1117,PL/SQL Developers,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionAre you ready for a sneak-peek in the day of a PL/SQL developer in Netcompany-Intrasoft?You will be a part of a highly-skilled team that analyses, designs, develops, and customizes local and international large-scale solutions in the public health, social security and telecommunications industry.As a PL/SQL developer you will:Be engaged in requirements gathering, design, development, testing, and documentationGet involved in all aspects of the software development life cycle, and demonstrate abilities to learn both the business processes as well as new and existing technologiesDevelop complex database processes with PL/SQL Leverage Oracle 10g/11g features to their fullest on a large-scale multi-terabyte systemDevelop Complex forms/reports using Oracle DeveloperQualificationsWhat would make you a fit for the role:Degree in Computer Science, Software Engineering, or other related disciplinesStrong programming skills using PL/SQL (package, procedures, functions, triggers) and batch coding skills such as Bulk collections, dynamic SQL, and parallel processingExperience with RDBMS (Oracle), Oracle forms Ability and willingness to meet tight deadlinesAbility to learn new technologiesGood interpersonal skills, adaptive and team playerFluency in the English languageIt would also be a plus if you match some of the following:Experience in Oracle E-Business Suite implementationsHand-on experience in issue/project tracking (preferably Jira and Atlassian product stack) and source control toolsAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU  #BePartOfSomethingGreat!*Please submit your CV in EnglishAll applications will be treated as strictly confidential.",,Full-time,"Athens, Greece",EL,2024-09-04,kariera.gr,150428,,"['http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f', 'http://data.europa.eu/esco/skill/60b44dab-03f1-46de-be08-0e5ba8662b3d', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/b87f6102-5bab-4e99-a5d8-11b6be1b99c2']","['http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02', 'http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539', 'http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/isco/C2153']"
1118,PL/SQL Developers,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionAre you ready for a sneak-peek in the day of a PL/SQL developer in Netcompany-Intrasoft?You will be a part of a highly-skilled team that analyses, designs, develops, and customizes local and international large-scale solutions in the public health, social security and telecommunications industry.As a PL/SQL developer you will:Be engaged in requirements gathering, design, development, testing, and documentationGet involved in all aspects of the software development life cycle, and demonstrate abilities to learn both the business processes as well as new and existing technologiesDevelop complex database processes with PL/SQL Leverage Oracle 10g/11g features to their fullest on a large-scale multi-terabyte systemDevelop Complex forms/reports using Oracle DeveloperQualificationsWhat would make you a fit for the role:Degree in Computer Science, Software Engineering, or other related disciplinesStrong programming skills using PL/SQL (package, procedures, functions, triggers) and batch coding skills such as Bulk collections, dynamic SQL, and parallel processingExperience with RDBMS (Oracle), Oracle forms Ability and willingness to meet tight deadlinesAbility to learn new technologiesGood interpersonal skills, adaptive and team playerFluency in the English languageIt would also be a plus if you match some of the following:Experience in Oracle E-Business Suite implementationsHand-on experience in issue/project tracking (preferably Jira and Atlassian product stack) and source control toolsAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!Join Netcompany-Intrasoft Thessaloniki's branch, and be part of our 250+ tech enthusiasts team!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU  #BePartOfSomethingGreat!*Please submit your CV in EnglishAll applications will be treated as strictly confidential.",,Full-time,"Thessaloniki, Greece",EL,2024-09-04,kariera.gr,150427,,"['http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f', 'http://data.europa.eu/esco/skill/60b44dab-03f1-46de-be08-0e5ba8662b3d', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/b87f6102-5bab-4e99-a5d8-11b6be1b99c2']","['http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02', 'http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539', 'http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/isco/C2153']"
1119,PL/SQL Developers,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionAre you ready for a sneak-peek in the day of a PL/SQL developer in Netcompany-Intrasoft?You will be a part of a highly-skilled team that analyses, designs, develops, and customizes local and international large-scale solutions in the public health, social security and telecommunications industry.As a PL/SQL developer you will:Be engaged in requirements gathering, design, development, testing, and documentationGet involved in all aspects of the software development life cycle, and demonstrate abilities to learn both the business processes as well as new and existing technologiesDevelop complex database processes with PL/SQL Leverage Oracle 10g/11g features to their fullest on a large-scale multi-terabyte systemDevelop Complex forms/reports using Oracle DeveloperQualificationsWhat would make you a fit for the role:Degree in Computer Science, Software Engineering, or other related disciplinesStrong programming skills using PL/SQL (package, procedures, functions, triggers) and batch coding skills such as Bulk collections, dynamic SQL, and parallel processingExperience with RDBMS (Oracle), Oracle forms Ability and willingness to meet tight deadlinesAbility to learn new technologiesGood interpersonal skills, adaptive and team playerFluency in the English languageIt would also be a plus if you match some of the following:Experience in Oracle E-Business Suite implementationsHand-on experience in issue/project tracking (preferably Jira and Atlassian product stack) and source control toolsAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working modelA seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!Join Netcompany-Intrasoft Patras' branch, and be part of our 150+ tech enthusiasts team!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU  #BePartOfSomethingGreat!*Please submit your CV in EnglishAll applications will be treated as strictly confidential.",,Full-time,"Patra, Greece",EL,2024-09-04,kariera.gr,150426,,"['http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f', 'http://data.europa.eu/esco/skill/60b44dab-03f1-46de-be08-0e5ba8662b3d', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/b87f6102-5bab-4e99-a5d8-11b6be1b99c2']","['http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02', 'http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539', 'http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73', 'http://data.europa.eu/esco/isco/C2153']"
