organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/aafb8d62-1592-4488-bd40-7bdfb751ff98', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/ec66b111-d8d0-4516-88ba-ee0b6fe6f695', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C7222']","['Educational support activities n.e.c.', 'Market research and public opinion polling', 'Activities of head offices', 'Business and other management consultancy activities']",13,Logistics Coordinator,"FOURNARAKIS SA  
 
Do you want to work in one of the most dynamic companies in Greece?  
At FOURNARAKIS S.A. we develop, market and distribute the strongest brands of industrial tools and machinery. For the last 40 years we have held a leading position in the Greek market, being among the 17 most dynamic companies in Greece (GrowthAwards 2021). At the same time, we have a rapidly growing sales network throughout Europe, aiming to become one of the protagonists in the European market as well. For this reason, we constantly invest in the recruitment and development of new executives. In recent years, our human resources in all Departments and levels of the company have been increasing by 20% annually. As part of our continuous development, we are looking for the right candidate for the position: 
Logistics Coordinator
(Position Code: LoC)
Responsibilities:

Organizing and processing customer orders
Check and update product availability
Issue of documents
Communication with customers-suppliers for product deliveries
Track and manage loads
Returns management & supervision
Track transportation and delivery of orders

 
Necessary qualifications:

Higher or higher education degree, preferably in Logistics, Business Administration or Accounting
Experience of at least 6 years in a large company in a similar position
Very good knowledge of ERP software (Entersoft will be an added advantage) and WMS software
Good knowledge of MS Office (especially Excel)
Excellent knowledge of the English language
Excellent communication skills
Willingness and willingness to work in a demanding environment
Organizational spirit and cooperation within a team

Amenities:

Competitive remuneration package
Cooperation with professional development prospects in a large company with a leading position in its field, which is growing steadily and quickly
Excellent work environment, meritocracy where all outstanding executives are valued and rewarded
Continuous education and training",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168900
,"['http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec', 'http://data.europa.eu/esco/skill/714eebcb-569a-4f1b-b592-28f70b59a9ba', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ac802765-4098-4466-ac1e-4791f192c667', 'http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b', 'http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/d00b4607-c4fe-4f3e-8974-29401e23223c', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['Accounting, bookkeeping and auditing activities; tax consultancy', 'Business and other management consultancy activities', 'Employment activities', 'Manufacture of luggage, handbags, saddlery and harness of any material', 'Accommodation', 'Activities of head offices', 'Research and experimental development on social sciences and humanities', 'Compulsory social security activities']",16,HR Manager,"The Role:
We are seeking a talented and experienced HR Manager to join our team and contribute to our commitment to excellence in hospitality. As the HR Manager, you will play a crucial role in the success of our organisation by overseeing and managing various human resources functions. You will be responsible for implementing HR policies and procedures, fostering a positive workplace culture, and ensuring compliance with employment laws and regulations. 
 
Responsibilities:

Develop and implement HR strategies and policies that align with the hotel's goals and objectives.
Manage the entire recruitment process, from sourcing and interviewing to onboarding new employees.
Support the successful implementation of the Performance Management process and provide guidance on performance improvement.
Manage learning and development initiatives to enhance employee skills and competencies.
Manage and resolve employee relations issues, including disciplinary action and conflict resolution as per relevant employment laws and regulations.
Administer employee benefits programs and manage compensation structures.
Ensure compliance with labor laws and regulations, including health and safety standards.
Maintain accurate and up-to-date employee records and time keeping systems.
Support the administration of payroll in cooperation with the accounting department. 
Provide support and advice to managers and employees on HR matters.
Coaching support of Managers on employee relation matters
Foster a positive and inclusive workplace culture that aligns with the hotel's commitment to excellence.
Stay up to date with industry trends and best practices in HR management.

 
Requirements:

Degree in Human Resources, Business Administration, or related field.
At least 3 years experience in a similar role. 
In-depth knowledge of Greek employment laws and regulations.
Strong interpersonal and communication skills.
Excellent organizational and time-management abilities.
Ability to handle confidential information with discretion.
A passion for fostering a positive work environment and delivering exceptional guest experiences.
Excellent verbal and written communication skills in Greek and English.
Working knowledge of an HRM Software.
Very good knowledge of MS Office Suite.
Outstanding problem-solving and conflict resolution skills.

 
Type of employment: Full time, permanent
Location: Athens, Greece
Submit your application at work@gatsbyathens.com 
All applications will be treated with strict confidentiality!",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168897
,['http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265'],"['http://data.europa.eu/esco/occupation/56fa783a-cca4-42ef-8862-1fb6e43f215c', 'http://data.europa.eu/esco/isco/C522']",['Other support activities for transportation'],58,HUMAN RESOURCES WANTED,"The company is looking for staff in the sales and external operations department
Candidate Profile: 

Positive personality 
Ambition 
Customer-centric concept
Willingness to achieve goals 
Driving license required 
Prior service is optional 

 We provide: 

Fixed pay 
Dynamic extra bonus program 
Continuous training for better results 
Perspective of development in responsible positions",No experience / No degree,Full-time,"Galatsi, Greece",EL,,,,2024-09-09,kariera.gr,168844
,"['http://data.europa.eu/esco/skill/135192cb-84e4-4b70-8946-fbe5041b26cd', 'http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109', 'http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/8a98707e-b2ee-48fe-9f36-e47e3555ecf7', 'http://data.europa.eu/esco/skill/c881ddd2-9c0e-4743-bd24-36be650493dd', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7daa8fed-9a78-4fe2-afc2-153fc423040b', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['Business and other management consultancy activities', 'Employment activities', 'Veterinary activities', 'Activities of head offices']",87,HR Generalist (Payroll & Recruitment),"Perfect Pet, a leader in the companion animal industry, wishes to hire an ambitious and dynamic employee for the position of ``HR Generalist (Payroll & Recruitment)'' for its premises in Aspropyrgos.
Duties:

Preparation and control of payroll for the company's employees
Management of Employee Benefits - Compensation
Management of new employee recruitment processes
Use of the ERGANI system for staff changes, timekeeping, salary and leave changes, digital card, etc.
Analysis of educational needs and organization of trainings
Create and monitor an employee evaluation system
Coordination and communication with agencies and external partners
Generate reports for top management

 
Qualifications:

Degree in Business Administration or Human Resource Management
At least 2 years of experience in a similar HR role
Understanding of HR policies and procedures
Good knowledge of labor law
Excellent knowledge of MS Office
Good command of the English language
Ability to manage parallel and multiple projects
Good organizational skills, experience and time management skills
Confidentiality

 
Amenities:

Dynamic work environment in a constantly growing Greek company
Full-time employment contract with competitive remuneration commensurate with qualifications and experience
Additional private insurance",Mid-level,Full-time,"Aspropyrgos, Greece",EL,,,,2024-09-09,kariera.gr,168811
,"['http://data.europa.eu/esco/skill/263782c1-c65d-458a-ae67-8526ccf214f5', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/b3d9442d-1fb8-46cd-a947-154a42221f28', 'http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204', 'http://data.europa.eu/esco/isco/C1212']","['Business and other management consultancy activities', 'Employment activities', 'Research and experimental development on social sciences and humanities', 'Market research and public opinion polling', 'Manufacture of leather and related products of other materials']",88,HR Generalist,"In the team of kariera.gr | Hiring Solutions, we leverage our wealth of knowledge in staffing jobs covering all levels - mid-level and senior. We understand the diverse landscape of career opportunities and tailor our approach to meet your unique skills and aspirations.
In the team of kariera.gr | Hiring Solutions your every professional move is a step towards excellence. Choose us as the catalyst for your success, and let's plan your future together.
Kariera's Hiring Solutions team is looking for an HR Generalist on behalf of a client - a company active in the marketing and distribution of parapharmaceutical products and health food items. 
Key Responsibilities:

Preparation and issuance of payroll for the company's employees
Participating in the process of recruiting new employees, including creating job descriptions, interviews and financial offers
Management of staff hiring and leaving processes
Creation of organizational chart and job description for all staff
Use of the ERGANI system for personnel changes, licenses and digital card
Liaising with mobile service providers and leasing companies to process employee benefits agreements
Organization of the corporate trips of the company's sellers 
Organization of seminars and corporate events 

Required Qualifications:

3-5 years of previous experience in a similar role
University/Tei Degree in Business Administration, HR or Finance 
Excellent knowledge ERGANI
Familiarity with the recruitment process
Very good knowledge of English
Developed communication skills
Organizational skills

 
 #hiringsolutionsisrecruiting",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168807
,"['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8']",['http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d'],['Regulation of and contribution to more efficient operation of businesses'],115,Store Energy Consultant Ave. Composer,"Volton Hellenic Energy SA is a Greek company that operates dynamically and rapidly increases its capabilities in the field of Electricity Supply and Trading, in the field of Natural Gas Energy and soon enough in the field of Telecommunications.
 
By offering reliable services that meet the ever-increasing energy needs of businesses and households, Volton aims to build stable and reliable relationships with its customers. The company's ambition is to become one of the most important companies in the sector and to remain at the forefront of developments in the field of electricity and natural gas supply. The company will soon enter the telecommunications sector with the aim of further expanding its service portfolio. As part of its growth, Volton is strengthening its human resources and is looking for:
 
Store Energy Consultants
 
For our privately owned store in Athens (Syggrou Avenue)
 
Volton's energy consultants are in our stores with the aim of better serving the customer's needs by offering unique services and solutions!
 
💡 So if you consider sales a challenge
💡 You have a communicative character
💡 Zeal to achieve goals
💡 Prior sales experience will be considered an asset
 
Apply now!
 
  
🎯 Position Responsibilities:
💡 Promotion of the company's products and services
💡 Excellent service to existing and new customers and development of trusting relationships
💡 Customer support and guidance in comprehensive solutions tailored to their needs
💡 Store image organization
💡 Carrying out cash transactions
 
🎯 The Company offers:
💡 Competitive salary package
💡 Monthly productivity bonus
💡 Private security
💡 Joining the company's special employee preferential tariff program
💡 Growth and development opportunities in an innovative and fast-growing organization
💡 Joining a certified Great Place to Work company, which encourages a positive work environment
💡 Modern and contemporary facilities
 
 
If you are interested in working at the Volton Group you can send your CV by applying.
 All applications will be strictly confidential.
 As long as your resume meets the job requirements, we will contact you by phone to set up a meeting.
 Information about the Group on our site volton.gr",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168775
,"['http://data.europa.eu/esco/skill/094e594d-83cc-4480-bad8-fae0ec2ed8ab', 'http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2', 'http://data.europa.eu/esco/skill/7c3865d1-e5a9-4043-a7a4-2e9e30468c0b', 'http://data.europa.eu/esco/skill/80274731-15ce-490a-8d5b-f55a36b976b0', 'http://data.europa.eu/esco/skill/85ac537a-9233-42cc-a6e8-73851e77d214', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C242']",['Organisation of conventions and trade shows'],148,Administration and Front Office Assistant,"ICAP Recruitment Solutions is one of the premium consultancies and part of ICAP People & Employment Solutions, the largest HR Services Provider in Greece and Cyprus. With more than 50 years of experience, we specialize in assessing and recruiting graduates to mid-level level professionals for both local and multinational companies across all sectors.ICAP Recruitment Solutions, on behalf of its client, a pioneer in providing comprehensive solutions and continuous technical support to healthcare professionals and patients, is seeking candidates for the following position.
Administration and Front Office Assistant (Ref. 5680/AFOA/RS/GR)
The role is responsible for being the first point of contact for clients and visitors while playing a crucial role in ensuring the smooth operation of the office and maintaining a warm and welcoming atmosphere.Key Responsibilities:

Greet and assist visitors and clients in a friendly and professional manner.
Answer and direct incoming phone calls, taking messages when needed.
Manage daily office operations, including mail handling, filing and ordering office supplies.
Provide administrative support to various departments, including data entry, scheduling meetings and preparing documents.
Assist in organizing company events, meetings, and other activities.
Maintain a clean and organized front office area.
Support the management team with additional tasks as required.

Qualifications:

Prior experience in an administrative or front office role is a must.
Fluency in English, both written and spoken.
Proficiency in Microsoft Office Suite.
Excellent communication and interpersonal skills.
Strong organizational skills with the ability to multitask effectively.
Attention to detail and a proactive approach to problem-solving.
Ability to work independently as well as part of a team.

The Company Offers:

Attractive Salary.
Dynamic, professional, and pleasant work environment
Excellent opportunity for personal and professional development.

All information received will be treated with strict confidentiality.",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168728
,"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647']","['http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83', 'http://data.europa.eu/esco/occupation/7e46c066-2b98-4eaf-bed6-9848c79902e0', 'http://data.europa.eu/esco/isco/C1212', 'http://data.europa.eu/esco/isco/C142', 'http://data.europa.eu/esco/isco/C421']","['Pre-primary education', 'Buying and selling of own real estate']",153,HR ASSISTANT,"The Constantinos Business Group, which operates in the Real Estate and retail trade sectors, requests
HR ASSISTANT for the management of ERGANI
Duties:

Collection of supporting documents for staff recruitment/departure and submission of forms.
Monitoring and submitting monthly staff work schedules/submitting schedule changes during the month.
Monitoring and submission of personnel changes to P/S ERGANI.
Digital card tracking and data submission to P/S ERGANI.
Submission of applications to SEPENET (for approval to work on Sunday, notifications for the digital card, etc.).
Monitoring employment contracts and submitting forms.
Monitor staff leave and submit E11.
Compilation of license book.
Submission of annual staff tables.
Monitoring and updating the physical file of all the above forms.

Additional duties:

Compilation of employment certificates for staff (Banks, kindergartens, schools, public services).
Posting advertisements for finding personnel, receiving and forwarding resumes (not screening).

The right candidate must have:

Previous experience from 3 to 5 years in a personnel department and especially with previous experience in submitting forms to P/S ERGANI.
AEI/TEI degree.
Experience in labor issues.
Good knowledge of MS Office, especially Excel and Word.
Ability to complete tasks within defined timelines.
Excellent knowledge of English.
Knowledge of Epsilon Net's Pylon program and ESS application will be considered additional qualifications.

Offered:

Competitive remuneration package
Private insurance
Continuous education
Development prospects

 
Send resumes of candidates who meet the criteria with code HR ASSISTANT to e-mail hr@talima.gr",Mid-level,Full-time,"Agios Dimitrios, Greece",EL,,,,2024-09-09,kariera.gr,168725
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/0e161427-3369-47c0-8669-9e226207f6d0', 'http://data.europa.eu/esco/skill/28878fd9-9a17-452a-b3b8-5db5c63d7905', 'http://data.europa.eu/esco/skill/4dafe480-f2ae-46b5-bd5e-8d4e538f50c7', 'http://data.europa.eu/esco/skill/60b44dab-03f1-46de-be08-0e5ba8662b3d', 'http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75', 'http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5', 'http://data.europa.eu/esco/skill/a181e89d-44ae-40e7-8d37-177071237c74', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2', 'http://data.europa.eu/esco/occupation/1ff61522-8947-4c95-b589-cb0e0539a62b', 'http://data.europa.eu/esco/occupation/28742973-c452-4996-b070-440e437306dc', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C2153', 'http://data.europa.eu/esco/occupation/bb609566-3ab6-44dd-8f48-cf0b15b96827']","['Manufacture of communication equipment', 'Telecommunication', 'Computer programming, consultancy and related activities', 'Engineering activities and related technical consultancy', 'Technical testing and analysis', 'ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY', 'Water collection, treatment and supply', 'Remediation activities and other waste management service activities', 'Manufacture of electrical equipment', 'Manufacture of machinery and equipment n.e.c.']",157,Quality Assurance Specialist,"The Volton Group Hellenic Energy S.A. is a Greek Company that operates dynamically and is developing at a rapid pace in the field of Electricity Supply and Trading, in the field of Natural Gas Energy and soon in the field of Telecommunications.  
 By offering reliable services that meet the ever-increasing energy needs of businesses and households, the Volton Group aims to build trusting relationships with consumers. The company's ambition is to become one of the most important companies in the sector and to remain at the forefront of developments as the first Multiservices Provider, combining Electricity, Natural Gas and Telecommunications.  As part of its growth, Volton is strengthening its human resources in Athens and is looking for:
 
Quality Assurance Specialist
Position Description:
The Quality Assurance Specialist as a member of the Quality Assurance team is responsible for measuring and monitoring the customer experience across all Volton customer service touch points. It highlights opportunities to improve service and supports having an active role in the development of processes and systems, with the aim of improving the experience throughout the customer journey.
Responsibilities:

Control and quality assessment of service contacts at all touch points (calls, written communication, social media)
Feedback to production teams and highlighting training needs
Analysis of findings and highlighting of pain points, utilizing all available measurement sources (transactional surveys, CX platform)
Active participation in CX actions (detractors analysis, voice of the customer) and in the development of automation tools for the service teams
Participation in the development and maintenance of the internal info portal of the service teams

 
Required Qualifications:

1+ year of relevant professional experience in a similar role
Excellent knowledge of English, both oral and written
Very good knowledge of Microsoft Office (Excel, PowerPoint, Word)
Understanding of service processes and automation in a Contact Center environment
Flexibility, initiative and a customer-centric approach
Experience in the energy industry will be appreciated

 
Amenities:

Competitive remuneration package
Hybrid working model
Private insurance, company benefits and additional benefits
Continuing education and professional development
Excellent professional and working environment
Modern and efficient work facilities

 
Don't miss the opportunity to join a certified Great Place to Work company that encourages a positive work environment!
 
 
If you are interested in working at the Volton Group, you can send your CV by Applying.
All applications will be strictly confidential.
As long as your resume meets the job requirements, we will contact you by phone to set up a meeting.
Information about the Group on our website volton.gr",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168722
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fcd02121-ae3e-4d20-92ee-e2e368658a45']",['http://data.europa.eu/esco/isco/C2411'],[],161,"ACCOUNTANT, ACCOUNTING","We want to increase the human resources of our company!
PANTELIS AND PARTNERS TAX AND ACCOUNTING SPECIALISTS P C, based in the center of Athens (Kolonos), wishes to include in its human resources, associates in the simple books department and in the double books department for full and permanent employment.
Required Qualifications:

Excellent knowledge of aplographic books or diplographic books
Excellent knowledge of epsilon net and union programs
Excellent communication and organizational skills
Excellent knowledge of Microsoft Office applications
Responsibility, confidentiality
Previous experience in a similar position of at least 3 years
Good knowledge of a foreign language (English) is desirable

Amenities:

Friendly work environment.
Insurance coverage.
Continuous training and development prospects.

Type of Work:

Full time employment.
Indefinite time.",Senior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168714
