organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/aafb8d62-1592-4488-bd40-7bdfb751ff98', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/ec66b111-d8d0-4516-88ba-ee0b6fe6f695', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C7222']",13,Logistics Coordinator,"FOURNARAKIS SA  
 
Do you want to work in one of the most dynamic companies in Greece?  
At FOURNARAKIS S.A. we develop, market and distribute the strongest brands of industrial tools and machinery. For the last 40 years we have held a leading position in the Greek market, being among the 17 most dynamic companies in Greece (GrowthAwards 2021). At the same time, we have a rapidly growing sales network throughout Europe, aiming to become one of the protagonists in the European market as well. For this reason, we constantly invest in the recruitment and development of new executives. In recent years, our human resources in all Departments and levels of the company have been increasing by 20% annually. As part of our continuous development, we are looking for the right candidate for the position: 
Logistics Coordinator
(Position Code: LoC)
Responsibilities:

Organizing and processing customer orders
Check and update product availability
Issue of documents
Communication with customers-suppliers for product deliveries
Track and manage loads
Returns management & supervision
Track transportation and delivery of orders

 
Necessary qualifications:

Higher or higher education degree, preferably in Logistics, Business Administration or Accounting
Experience of at least 6 years in a large company in a similar position
Very good knowledge of ERP software (Entersoft will be an added advantage) and WMS software
Good knowledge of MS Office (especially Excel)
Excellent knowledge of the English language
Excellent communication skills
Willingness and willingness to work in a demanding environment
Organizational spirit and cooperation within a team

Amenities:

Competitive remuneration package
Cooperation with professional development prospects in a large company with a leading position in its field, which is growing steadily and quickly
Excellent work environment, meritocracy where all outstanding executives are valued and rewarded
Continuous education and training",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168900
,"['http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec', 'http://data.europa.eu/esco/skill/714eebcb-569a-4f1b-b592-28f70b59a9ba', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ac802765-4098-4466-ac1e-4791f192c667', 'http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b', 'http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/d00b4607-c4fe-4f3e-8974-29401e23223c', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']",16,HR Manager,"The Role:
We are seeking a talented and experienced HR Manager to join our team and contribute to our commitment to excellence in hospitality. As the HR Manager, you will play a crucial role in the success of our organisation by overseeing and managing various human resources functions. You will be responsible for implementing HR policies and procedures, fostering a positive workplace culture, and ensuring compliance with employment laws and regulations. 
 
Responsibilities:

Develop and implement HR strategies and policies that align with the hotel's goals and objectives.
Manage the entire recruitment process, from sourcing and interviewing to onboarding new employees.
Support the successful implementation of the Performance Management process and provide guidance on performance improvement.
Manage learning and development initiatives to enhance employee skills and competencies.
Manage and resolve employee relations issues, including disciplinary action and conflict resolution as per relevant employment laws and regulations.
Administer employee benefits programs and manage compensation structures.
Ensure compliance with labor laws and regulations, including health and safety standards.
Maintain accurate and up-to-date employee records and time keeping systems.
Support the administration of payroll in cooperation with the accounting department. 
Provide support and advice to managers and employees on HR matters.
Coaching support of Managers on employee relation matters
Foster a positive and inclusive workplace culture that aligns with the hotel's commitment to excellence.
Stay up to date with industry trends and best practices in HR management.

 
Requirements:

Degree in Human Resources, Business Administration, or related field.
At least 3 years experience in a similar role. 
In-depth knowledge of Greek employment laws and regulations.
Strong interpersonal and communication skills.
Excellent organizational and time-management abilities.
Ability to handle confidential information with discretion.
A passion for fostering a positive work environment and delivering exceptional guest experiences.
Excellent verbal and written communication skills in Greek and English.
Working knowledge of an HRM Software.
Very good knowledge of MS Office Suite.
Outstanding problem-solving and conflict resolution skills.

 
Type of employment: Full time, permanent
Location: Athens, Greece
Submit your application at work@gatsbyathens.com 
All applications will be treated with strict confidentiality!",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168897
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9', 'http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/isco/C2']",18,VODAFONE Family Advisor,"At Vodafone we encourage the personal and professional development of our people, offering an environment that combines innovation with a human approach. We respect diversity and believe in the power of new ideas, constantly investing in education and skills development. We are a great team that seeks to make a difference for our customers and our community. We are looking for a Family Advisor to join our team, helping to expand our residential clientele and offering the best possible service to our clients.
 
Position description

Daily communication with new and existing customers in their area
Scheduling meeting with potential new and existing clients
Evaluation and recording of the current services of the prospective clientele
Investigating customer needs and quoting the most ideal solutions based on each customer's profile
Guidance and training of prospective clients in new technologies

Necessary qualifications:

High school graduate (preferred IEK, TEI, HEI)
Excellent communication and negotiation skills
Team spirit
Flexibility, organization and proper time management
Experience in sales will be an added advantage

Amenities:

Competitive remuneration package
Monthly goal achievement bonus
Continuous training and support on new products and technologies
Training and development of personal skills
Digital tools (professional tablet & mobile)
Privileges-discounts on the organization's services
Possibility of professional development within the organization
Recruitment will be through a partner.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168891
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352']","['http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/isco/C3322']",29,Network Development & Sales Manager,"What you will need to do:
The main duties of the position are sales, development, and customer management in Athens, Central Greece, Peloponnese, and Crete.
 
More specifically:

Clientele management and development
Building and managing strong customer relationships
Customer request management and order taking
Implementation of the company's commercial policy
Achieving set sales targets
Market and competition monitoring

 
What we're looking for:

A related degree in Business Administration or Marketing will be an advantage
Good knowledge of ERP & CRM systems (ideally Softone)
At least 2 years of experience in sales with a relevant product (food, pet supplies)
Driving license B- Category
Very good knowledge of the English language (oral and written)
Excellent communication and organizational skills
Customer-centric perception and approach
Decisiveness and initiative taking
Team spirit and consistency
Negotiation skills

 
Salary and benefits package:
Competitive salary package & bonus
 

👥 Recruitment stages include:
 
If this role interests you, please do not hesitate to apply directly. Our consultants will contact candidates who meet the above requirements to schedule an interview",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168881
,['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae'],[],34,Telefonischer Kundenberater (m/w/d) für Bestandskundenbindung!  Standort Athen !!!,"On behalf of our customer, kariera.group is looking for German-speaking customer advisors (m/f/d) for the Athens location to retain your existing customers.  
If you would like to get involved with a well-known provider and take customer relationships to the next level, then you have come to the right place!
 Your tasks – This is what awaits you:

💼 You are our expert in customer contact! With your specialist knowledge, you will take care of everything relating to tariffs and contract extensions - always professionally and with a smile.
🔍 Products and tariffs? You know them inside and out and explain them in a way that everyone can immediately understand.
🎯 Your goal: happy customers! Thanks to your solution-oriented advice, every inquiry will be a hit.

Your profile – This is what you bring with you:

🗣️ Excellent knowledge of German? Absolutely!
🇬🇧 You don’t need English with us – your German counts here!
💻 PC knowledge? If you have the basics down, you've come to the right place!
🗨️ Are you not only good at communicating, but also convincing? Perfect!
🤝 Reliability and team spirit? It goes without saying for you – you give your all as a team!

Our highlights – That’s why you want to work with us:

💰 Attractive fixed salary with 13th and 14th month salary - you deserve more than just applause.
🎁 On top: A lucrative bonus that is impressive!
🛡️ Permanent contract – we offer you security and a long-term perspective.
⏰ Flexible working hours: Choose between a 30 or 35 hour week, whatever suits you!
🤗 A great team that welcomes you with open arms.
🚇 Ideal transport connections – directly at the subway station.
🚀 Tired of career opportunities! Regardless of whether you are a career changer or a professional – with us all paths are open to you, right up to managerial level.

Curious? We look forward to receiving your CV in German or English!

Resume (CV) by email to: konstantinos.laskaridis@karieragroup.com
Curriculum vitae (CV) right here (Apply now button)
or by phone in advance at: +30 210 811 5364

#kariera_group_recruitment",No experience / No degree,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168878
,"['http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8', 'http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2', 'http://data.europa.eu/esco/skill/198f62a5-dadb-4653-80fe-0108e8af7cd3', 'http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68', 'http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/8c3ac8d1-5349-45bb-9006-e073ee3b5d16', 'http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b', 'http://data.europa.eu/esco/skill/b8ac179c-4a29-4467-9177-031daf1321d6']","['http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/79082f76-4b11-4594-8437-2db567331f41', 'http://data.europa.eu/esco/occupation/8de99659-5b10-4825-ac67-0c50189bcc3c', 'http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f', 'http://data.europa.eu/esco/occupation/bf367464-950a-416c-98b1-52b9d571550e', 'http://data.europa.eu/esco/isco/C9334']",70,SEPHORA: E-Store Warehouse Clerk,"SEPHORA GREECE
""E-Store Warehouse Clerk""
Sephora Greece belongs to the LVMH Moët Hennessy Louis Vuitton Group, the world leader in the category of luxury goods. Sephora is a ""beauty"" destination because of its unparalleled product variety, exceptional customer service from skilled and experienced staff, interactive experience and innovation.
SEPHORA Greece is interested in immediately hiring SEASONAL new colleagues for the period October 2024 - January 2025, so as to strengthen the E-Store team.
These people will report to the Head of E-Store & Warehouse.
The recruitment will concern Full-time employees - FULL EMPLOYMENT.
Place of Work: VRILISSIA
Basic responsibilities are: arranging items on the shelves, collecting, & packing customer orders.
Job Description:

Receiving, sorting and packaging of products
Arranging items from receipts or returns to shelves
Transport of the collected products to the inspection and shipment preparation area
Receipt of warehouse stock products and packaging materials (picking, unloading, marking, storage)
Ensuring cleanliness and safety of the workplace as well as optimal use of storage space for packaging materials
Cleanliness of storage areas and removal of waste outside the warehouse.

Other Skills:

Ability to work under pressure
Spirit of cooperation
Willingness to learn
Consistency & Accuracy

Technical knowledge

Good knowledge of English (important for product descriptions collected)
Previous experience in E-Store/ E-Shop will be considered an advantage
Getting familiar with using a PC",Entry / Junior,Full-time,"Vrilissia, Greece",EL,,,,2024-09-09,kariera.gr,168838
,['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b'],"['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471', 'http://data.europa.eu/esco/isco/C5131', 'http://data.europa.eu/esco/isco/C5132']",77,Baristas & Barmen/Barmaids & Waitresses,"Baristas & Barmen/Barmaids & Waitresses
                                                  Nicosia, Cyprus
Experienced Baristas/Bartenders with additional responsibilities are wanted for immediate recruitment, for a new interesting cafe/bar business in Faneromenis Square in old Nicosia in a restored 1909 pharmacy.
Waiters also wanted, with or without previous experience.  
A very attractive benefits package is offered.
Please send your CV to michaelhadjip@gmail.com and we will contact you.",Mid-level,Full-time / Part-time,"Nicosia, Greece",EL,,,,2024-09-09,kariera.gr,168820
,"['http://data.europa.eu/esco/skill/135192cb-84e4-4b70-8946-fbe5041b26cd', 'http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109', 'http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/8a98707e-b2ee-48fe-9f36-e47e3555ecf7', 'http://data.europa.eu/esco/skill/c881ddd2-9c0e-4743-bd24-36be650493dd', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7daa8fed-9a78-4fe2-afc2-153fc423040b', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']",87,HR Generalist (Payroll & Recruitment),"Perfect Pet, a leader in the companion animal industry, wishes to hire an ambitious and dynamic employee for the position of ``HR Generalist (Payroll & Recruitment)'' for its premises in Aspropyrgos.
Duties:

Preparation and control of payroll for the company's employees
Management of Employee Benefits - Compensation
Management of new employee recruitment processes
Use of the ERGANI system for staff changes, timekeeping, salary and leave changes, digital card, etc.
Analysis of educational needs and organization of trainings
Create and monitor an employee evaluation system
Coordination and communication with agencies and external partners
Generate reports for top management

 
Qualifications:

Degree in Business Administration or Human Resource Management
At least 2 years of experience in a similar HR role
Understanding of HR policies and procedures
Good knowledge of labor law
Excellent knowledge of MS Office
Good command of the English language
Ability to manage parallel and multiple projects
Good organizational skills, experience and time management skills
Confidentiality

 
Amenities:

Dynamic work environment in a constantly growing Greek company
Full-time employment contract with competitive remuneration commensurate with qualifications and experience
Additional private insurance",Mid-level,Full-time,"Aspropyrgos, Greece",EL,,,,2024-09-09,kariera.gr,168811
,"['http://data.europa.eu/esco/skill/263782c1-c65d-458a-ae67-8526ccf214f5', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/b3d9442d-1fb8-46cd-a947-154a42221f28', 'http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204', 'http://data.europa.eu/esco/isco/C1212']",88,HR Generalist,"In the team of kariera.gr | Hiring Solutions, we leverage our wealth of knowledge in staffing jobs covering all levels - mid-level and senior. We understand the diverse landscape of career opportunities and tailor our approach to meet your unique skills and aspirations.
In the team of kariera.gr | Hiring Solutions your every professional move is a step towards excellence. Choose us as the catalyst for your success, and let's plan your future together.
Kariera's Hiring Solutions team is looking for an HR Generalist on behalf of a client - a company active in the marketing and distribution of parapharmaceutical products and health food items. 
Key Responsibilities:

Preparation and issuance of payroll for the company's employees
Participating in the process of recruiting new employees, including creating job descriptions, interviews and financial offers
Management of staff hiring and leaving processes
Creation of organizational chart and job description for all staff
Use of the ERGANI system for personnel changes, licenses and digital card
Liaising with mobile service providers and leasing companies to process employee benefits agreements
Organization of the corporate trips of the company's sellers 
Organization of seminars and corporate events 

Required Qualifications:

3-5 years of previous experience in a similar role
University/Tei Degree in Business Administration, HR or Finance 
Excellent knowledge ERGANI
Familiarity with the recruitment process
Very good knowledge of English
Developed communication skills
Organizational skills

 
 #hiringsolutionsisrecruiting",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168807
,"['http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be', 'http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7']","['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/isco/C3322']",111,Store Clerk (Glyfada),"In the team kariera.gr | At Mass Recruitment, we don't just offer a job, we offer you the opportunity to become part of a constantly changing work environment. With years of expertise in crowdsourcing services, we bring together outstanding candidate talent with dynamic companies.
In the team of kariera.gr | Mass Recruitment your every professional move is a step towards excellence. Start a career with us where your skills meet unparalleled opportunities. 
The Mass Recruitment team of kariera.gr is looking for a Store Clerk on behalf of the Tailor company, which operates in the premium menswear sales area, to staff its central store in Glyfada.
Duties and Responsibilities:
Your daily routine will include:

Customer service
Registration of offers and orders
Maintaining order and organization of the store

Required Qualifications:

Experience in sales or customer service preferred
Flexibility in working hours
Result orientation, enthusiasm for achieving goals

We offer:



Stable job, five days full time
Competitive remuneration package
Continuous training and the possibility of professional advancement



#hiringsolutionsisrecruiting",Mid-level,Full-time,"Glyfada, Greece",EL,,,,2024-09-09,kariera.gr,168780
