skills,occupations,id,organization,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']",353,,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-07,kariera.gr,168517
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/798d427e-51b3-4cd4-8b24-1357015e9ae7', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57']",359,,Resourcing Consultant,"Company Overview:
Kariera Group is a leading multinational company specializing in HR services, operating across eight countries. We are committed to providing comprehensive HR solutions to our clients, ensuring efficiency, compliance, and employee satisfaction. As part of our dynamic team, you will have the opportunity to contribute to the success of our global operations and make a tangible impact in the field of human resources.
Position Overview:
The Resource Consultant assists Senior Recruiter and Head of Recruitment Services  to identify, select and recruit staff for Kariera Group Recruitment Services Energy Client’s Projects. 
The Resourcing Consultant role is the vital link between Candidates and clients it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities & Goals:

Proactively source candidates across various media platforms including but not limited to; OGJS Platform, LinkedIn & various social media platforms.
Manage the Job postings for all Project making sure all active projects are posted and live on all out platforms.
Initiate and manage candidate relationships, predominantly over the telephone, understanding their requirements and needs.
Complete pre-screening exercises to ensure applicants are appropriate for their role.
Maintain and oversee our speculative ATS pool and Talent Pipelines .
Oversee the recruitment inbox and respond to general queries from candidates.
Work towards set targets, deadlines, and Key Performance Indicators (KPIs).
Work collaboratively with the Senior Recruitment Consultants and Head of Recruitment Services to ensure a seamless process.

Qualifications:

BSc degree in Human Resources / Business etc. will be considered as a plus.
Excellent command of English and strong communication skills.
Minimum of 6 months experience in resourcing.
Ability to work effectively within a team.
Proactive attitude.
Confidence and results-driven personality.",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-09-07,kariera.gr,168430
"['http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/a8f2a095-9d03-43f0-980d-2b9fcc59a994']","['http://data.europa.eu/esco/occupation/719f101d-1866-49d3-8d5c-2256f606a8b9', 'http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75', 'http://data.europa.eu/esco/occupation/b06a1dde-e5a1-4219-9491-2bedd0282e4b', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb']",1537,,Talent Acquisition Professional,"Company DescriptionWe are Netcompany-Intrasoft, a member of Netcompany Group A/S, and a leading European IT Solutions and Services company with strong international presence and expertise, dedicated to responsible digitalisation. We offer innovative and added-value solutions of the highest quality to a wide range of public and private organizations, while being a key-player in the EU Institutions for the past 30 years. We hold an outstanding record of 500+ organizations in 70+ countries, that have chosen our solutions and services, to fulfil their business needs. Our team of 3500+ professionals is our driving force and our most valuable asset.Job DescriptionAre you ready to discover the role of a Talent Acquisition Professional in Netcompany-Intrasoft Athens?As a Talent Acquisition Professional, you will join a highly performing and experienced team, devoted in identifying and attracting the best IT talent in Greece, and creating a seamless candidate experience. You will be actively recruiting candidates for diverse technology roles, and you will be given the opportunity to become a valuable asset to the business, by building amazing technology teams. As a Talent Acquisition Professional you will:Be the first point of contact with the candidates, identifying their interests and expertise, communicating company's culture and roles requirements, with the aim to create a unique candidate journey Establish and maintain strong working relationships with management and key cross-functional stakeholders internally (e.g. HR Business Partners, Hiring Managers etc.)Monitor company's ATS (SmartRecruiters) and make sure all data is up-to-dateTake responsibility for writing and publishing detailed & inspiring job descriptions Proactively build effective candidate pipelines using different sourcing channels Think and use out of-the-box sourcing tools and methods Contribute, define, innovate, take out the most of events and employer branding strategies.QualificationsWhat would make you a fit for the role:Degree in HR, Business Administration or IT related fieldMinimum 1-3 years of recruitment experience in a multinational environment, ideally combining both agency and in-house roles, and excelling in fast-paced, high-growth environmentsProven work experience in a talent acquisition/recruitment function within the Technology domainClient-focused and commitment to continuous improvement; ability to proactively network and establish effective working relationships, continually seek new sourcing avenues, and develop creative approaches to delivering candidates to the customerClear understanding and hands on experience with the end to end recruitment lifecycle processesHands-on experience with Applicant Tracking Systems (ATS) and sourcing tools such as LinkedIn. Skilled in online sourcing methods, including social and professional networking platforms (e.g., LinkedIn Recruiter)Proactivity and passion about talent attraction with a strong sense of urgency and the ability to prioritize tasks and manage time effectivelyAbility to work in a team and collaborate effectively with colleaguesExcellent command of the English languageAdditional InformationBeing a part of the Netcompany-Ιntrasoft team, you will be provided with: The opportunity to work in a modern environment & in a hybrid working model A seamless onboarding experience and a buddy to support you on your first stepsA competitive compensation & benefits packageHealth and life insurance programMeal and commuting allowanceWell-being activities (on premises)Continuous learning opportunities using the most modern methods (unlimited access to Udemy Business, ad-hoc trainings)A personalized development plan for targeted career growthIf you are looking forward to be part of a diverse environment, and have the opportunity to work alongside well-experienced professionals, on challenging, large-scale projects that directly impact millions of citizens around the globe, then this is the place to be!By joining Netcompany-Intrasoft Athens, you will be part of a vivid team of 2000+ tech enthusiasts. When at the office you will have the chance to work at our brand-new, state-of-the-art, sustainable offices, located in 3 different spots in Athens!Our cultureOur people are the most important element of our success. Our work life is well defined by our set of fundamental Values: https://bit.ly/3SSbBzU  #BePartOfSomethingGreat!*Please submit your CV in EnglishAll applications will be treated as strictly confidential.We ensure equal opportunities, treatment, and consideration to all candidates. Discrimination based on sex, racial or ethnic origin, religion or belief, disability, age, sexual orientation or marital status, physical or mental disability, or any other factor protected by applicable laws and regulations is prohibited. As part of the Netcompany-Intrasoft culture, we respect human rights and focus on creating a positive workplace, where all employees are valued, and where diversity and inclusion are a vital part of our our everyday working experience.",,Full-time,"Marousi, Greece",EL,,,,2024-09-03,kariera.gr,162669
"['http://data.europa.eu/esco/skill/3bc08c26-2f98-4730-bbb6-ec4a8566e3cf', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/651d7458-ff97-4bee-9290-af375c7ff25f', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5', 'http://data.europa.eu/esco/skill/a8f2a095-9d03-43f0-980d-2b9fcc59a994', 'http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562', 'http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/occupation/cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25']",1868,,Recruitment Specialist,"Company DescriptionArchirodon, having earned its reputation as a reliable and respected international contractor for more than a half century in the Engineering, Procurement and Construction (EPC) market, continues to create value to its stakeholders by executing complex EPC projects worldwide, in recognition of its superior standards of performance. We are constantly growing and are currently looking for a full of potential and resourceful Recruitment Specialist to join our geographically dispersed Recruitment Team and help build the best possible teams for the business across the globe while based in our Athens Office.Do you have at least four (4) years' recruitment experience working either in an agency or inhouse? Do you want to work with international close-knit teams with adventurous mindset and a proud culture? Join our journey.What you will need to do:As we are growing fast in new countries, you will gain experience on international diverse recruitment projects across the Group, a member of a smart and resourceful team. That said, here are some of the things you will need to do:Manage the full-cycle recruitment process effectively and efficiently as per the Recruitment function's standards, policies and procedures; maintain the highest level of client and candidate satisfaction; aim to raise the quality-of-hire and reduce the time-to-fill; and provide guidance on recruitment market trendsLiaise with relevant functions to hand over for onboarding and monitors progress until the entry dateCollaborate closely with the hiring managers / teams to identify the right recruitment need by determining the job requirements and candidate specifications, define key priorities, timeline, any potential gaps in the job market, share frequent progress updates and solicit feedback on candidates to refine the search processRun job interviews using prescribed tools / frameworks, assesses the candidates' knowledge, experience and soft skills in relation to the recruitment and the company culture and prepare respective assessment reportsIdentify, engage and build a network with active and passive candidates from entry-level to senior-level to cover immediate hiring needs, as well as a supply of candidates on-demand for future needs (Candidate Communities)Maintain and update on a daily basis the online recruitment system / database (i.e. CV, candidate reviews, tagging etc.) and ensure a high degree of data integrity, completeness and accuracyPrepare appropriate Recruitment Reports on a weekly and ad hoc basis to keep track of recruitment progress and metricsPosition Archirodon as an employer of choice in the global marketplace; educate candidates on the culture, growth potential, compensation and benefits of working with us; and participate in recruitment events and job fairs to network in–personSupport a successful, positive, timely and consistent ""hiring experience"" across company, both to Hiring Managers and external candidates, and maintain the highest level of satisfactionWhat you will need to have:You've done full-cycle recruitment for at least four (4) years, working for a recruitment company or inhouse. If you possess technical recruiting experience with engineering degree candidates, even better!You are at least BSc holder; A related BSc degree in engineering to understand the technical side of things is gladly welcomed. On top, if you possess an MSc or equivalent degree in HR, Organizational Psychology, Business studies etc. you have a point in favorYou have experience in working with modern online recruitment systems (e.g., ATS) and sourcing tools (e.g., LinkedIn Recruiter) and you follow the latest recruitment trends and practicesYou are accustomed in approaching passive candidates and building talent pools ahead of demandYou are someone who:is solution-focused; you focus on the solution rather than the problem itself, using rigorous logic and analysisis a self-starter and result-driven; you will work with your manager to iterate on hiring processes, adding automation and efficiency improvements along the way. You don't mind a little ambiguity as we figure it out togetheris resourceful and ownership taker; you are willing to research and follow through any given option to find the answer and are fully accountable to get things done, to both the Hiring Managers and candidatesis a smooth team-player; you show collaborative spirit and care for the people you work withhas a positive attitude and is ready to step in with no ego to help wherever we need it mostprovides a positive and healthy candidate experience; You know that a job search is by nature a challenging project and by sweating the small thing you can provide a more positive experience for everyone involvedis organized and data driven; You are keen in laying out tasks in detail; you go back into data and metrics to set priorities, assess progress, refine tactics for ultimately meeting business expectationsenjoys travelling and working with different cultures; You may be required to travel to meet candidates, Hiring Managers and colleagues located in our country offices around the world ((think MENA countries and Asia to start with)What's in it for you:Competitive salary and benefits are part of the offering, yet the real joy comes from being a member of smart and passionate teams within an international leading EPC group that supports impactful for the local communities' mega infrastructure development projects - literally around the globe - and encompasses a productive and human-centric culture caring for its people and their development!Please note that you will be contacted only in case you are shortlisted for an interview. In the meantime, do not hesitate to stay in touch and keep monitoring our open vacancies and our LinkedIn page! Rest assured that your application will be treated with strict confidentiality and under all applicable data privacy regulations. Please note that you will be contacted only in case you are shortlisted for an interview. In the meantime, do not hesitate to stay in touch and keep monitoring our  open vacancies  and our  LinkedIn  page! Rest assured that your application will be treated with strict confidentiality and under all applicable data privacy regulations.",,Full-time,"Athens, Greece",EL,,,,2024-09-01,kariera.gr,162353
"['http://data.europa.eu/esco/skill/31b67516-af16-4b97-8430-a8a8e0f84190', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/6345d3a4-7d1a-40a9-9a82-6ed06beffe7b', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/f206e732-110c-47ce-a53f-f00c9d97c90d']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/isco/C34', 'http://data.europa.eu/esco/isco/C7543']",2047,,Recruiter,"Medwork, the major pharmacovigilance service provider in Greece, currently seeks to recruit a
                                                                                  Recruiter
                                                                             (Code: Recruiter)
Job Description
We are seeking an experienced Recruiter to join our team on a 4-month fixed-term, part-time basis, or as a freelancer providing recruitment services. The ideal candidate will have a strong background in talent acquisition, particularly in recruiting both managerial and non-managerial personnel.
Main responsibilities

Manage the full recruitment cycle, including sourcing, screening, interviewing, and onboarding.
Collaborate with hiring managers to understand the specific needs for each position.
Utilize structured recruitment processes, including assessment tests and in-depth personal interviews, to ensure the selection of top talent.
Develop and implement creative sourcing strategies to attract candidates from diverse pools, beyond traditional channels. This includes leveraging online job boards, social media platforms, industry-specific networks, and professional associations.
Maintain and manage a robust candidate database to streamline the hiring process.

Requirements

Minimum of 3 years of experience in recruitment, with proven success in hiring for both managerial and non-managerial roles.
Strong understanding of structured hiring processes, including the use of assessment tests and comprehensive interviews.
Proficient in using various recruitment platforms, including but not limited to LinkedIn, online job boards, social media, and industry networks.
Excellent communication and interpersonal skills, with the ability to build strong relationships with candidates and hiring managers.
Highly organized with strong attention to detail and the ability to manage multiple recruitment processes simultaneously.

The company offers

Excellent working environment
Competitive remuneration package

Flexible Engagement
We are open to working with experienced freelancers who can provide recruitment services on a project basis. If you are an independent professional recruiter who offers recruitment as a service, we would be happy to discuss a potential collaboration.
How to Apply
If you meet the above criteria and are excited about the opportunity to make a significant impact on our team, please submit your resume to hr@medwork.gr
All applications will be treated in strict confidentiality.Only suitable candidates will be contacted
 
Με την υποβολή του βιογραφικού σας και τη συμμετοχή σας στην παρούσα διαδικασία αξιολόγησης,  μας παρέχετε την ρητή και θετική συναίνεσή σας για την αποθήκευσή των πληροφοριών (προφορικών και γραπτών) που μας παρέχετε (π.χ. βιογραφικό, συμπληρωματικές πληροφορίες, γραπτών τεστ, κ.α.) και την μελλοντική επεξεργασία των προσωπικών σας δεδομένων για τους σκοπούς της αγγελίας, συμπεριλαμβανομένης της επικοινωνίας μαζί σας. Η αποθήκευση των παρεχόμενων πληροφοριών θα έχει μέγιστη διάρκεια 5 ετών. Σε κάθε περίπτωση, διατηρείτε το δικαίωμα της αίτησης για διαγραφή των παρεχόμενων πληροφοριών πριν την παρέλευση του καθορισμένου χρόνου.",Mid-level,Full-time / Part-time,"Argyroupoli, Greece",EL,,,,2024-08-31,kariera.gr,166624
"['http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0', 'http://data.europa.eu/esco/skill/3782a625-52c2-46c7-b585-35ba4ddc4a1d', 'http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363']","['http://data.europa.eu/esco/occupation/c85e39a4-2c40-413f-a171-45907ecdd599', 'http://data.europa.eu/esco/isco/C1212']",3271,,Talent Sourcer - German Department (Recruiter),"Have you just graduated or are you looking to make that 1st step in the recruitment business? Do you speak German?
Keep Reading!
If you see yourself working within a fast-paced environment, full of challenges and development opportunities, then the below position might be what you are looking for.
SpeakIt is a recruitment consulting company, searching for multilingual people around Europe and helping some of the biggest companies worldwide, hire them.
So, if searching for multilingual candidates sounds exciting and challenging, click below, send us your resume, and let's meet each other!
 
In this Talent Sourcer role you will have to:

Interact with potential candidates via phone, social media, and professional networks (eg. LinkedIn) in German or English
Craft and send recruiting emails
Identify qualified candidate profiles using various sourcing techniques (e.g. Boolean search)
Conduct the initial screening of each candidate, to make sure they match the basic requirements
Develop talent pipelines for future hiring needs
Promote our employer brand online and offline
Maintain candidate databases (e.g. via our Applicant Tracking System)
Communicate with past applicants regarding new job opportunities

Requirements
To become the talent sourcer we are looking for you should have:

Self-motivation and goal-oriented mentality 
Strong communication, negotiation, and interpersonal skills
Excellent English skills, both written and spoken 
Fluency in German is required
Hands-on experience with sourcing techniques (e.g. recruiting on social platforms and crafting Boolean search strings), will also be considered an asset
Ability to positively present our company and open roles to potential candidates
Effective time-management abilities
Bachelor in Business, HR, or any other related field

Benefits
If you manage to become the Talent Sourcer we are looking for, then you will have:

Excellent remuneration package
Monthly incentives, associated with bonus
Extra private medical insurance
Company laptop & mobile
Mobile plan
Hybrid working model (2 days from home - 3 days from office)
Extra 2 days off during the year
Early Friday leave during summer months
Great internal opportunities",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-08-26,kariera.gr,165147
"['http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/b6d14ab8-3441-4cbe-8a0e-5b4f7f994730']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77', 'http://data.europa.eu/esco/occupation/fd1c4e94-25aa-4020-b0ef-0cf5aaf2e4d2', 'http://data.europa.eu/esco/isco/C2']",4135,,Junior Recruitment Consultant,"Would you like to be part of a team focused on transforming an entire industry? At kariera.gr, we have a passion to connect employers with the right talent at the right time. We are focused on bringing speed and efficiency to our clients through cutting-edge technology and services.
The role
The Recruitment Consultant assists employers to identify, select and recruit staff for their vacancies, and help individuals find and gain appropriate employment. The consultant’s role is the vital link between candidates and clients; it involves attracting candidates by uploading job posts and using LinkedIn, screening candidates, interviewing them and selecting suitable professionals to put forward to client companies. Additionally, it requires building relationships with candidates, keeping in touch over the phone and in writing.
Responsibilities:

Publishing job posts
Finding additional advertising resources (Job Branding, direct emails etc)
Sourcing and screening candidates
Head-hunting for professionals of all levels
Interviewing and assessing prospective candidates and matching them with vacancies in client-companies
Drawing up short-lists
Getting to know how client companies operate and understanding their general ‘culture’.
Counselling candidates for their interview with the company
Maintaining the candidates’ database and promoting jobs to new and existing candidates

Requirements:

MSc degree in Human Resources / Business etc. will be considered as a plus
At least 1 year experience in Recruitment agencies or as an in-house Recruiter 
Proven experience in mass recruitment projects will be considered as a plus
Excellent communication skills
Organizational skills
Ability to work within a team
Proactivity
Confidence and results-driven personality

What makes us different:

Fun and friendly environment
Competitive salary, bonus and benefits
Challenging targets
Opportunities for personal and educational development",Entry / Junior,Full-time,"Gerakas, Greece",EL,,,,2024-08-22,kariera.gr,164478
"['http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77', 'http://data.europa.eu/esco/isco/C7513']",40757,,HR Recruiter,"Milkplan S.A headquartered in Thessaloniki, is a market leader in Greece and among top industrial manufacturers of dairy & farming solutions globally. With a 60% of its revenue coming from international sales and exporting activities in more than 100 countries. Proud and trusted partner of major food companies (i.e: Vivartia, Nestle, Olympos, Kri-Kri, Ipeiros, Dodoni) across the globe.
Milkplan is looking for a HR Recruiter to strengthen its HR Department.
In Milkplan, we have a plan - Your growth plan!
Responsibilities:

Delivering full-cycle recruitment from job posting and sourcing to candidate engagement & feedback
Organizing and participating in internal and external recruiting events, including university career fairs
Communicating with educational institutions
Updating Job Profiles and Descriptions
Assisting in designing the induction plan for new hires
Assists in various HR initiatives

Requirements:

BSc/ MSc will be preferred in Human Resources or other relevant field
Proficient in leveraging social media for recruitment
Up to 3 years of experience in HR department
Excellent command of MS Office
Eagerness to learn
Strong organizational and time-management skills

The Company offers:

Transportation from/to Thessaloniki & Kilkis with company bus
Company’s Private Insurance
Opportunities for further development
Continuous training
Friendly and Family first oriented working environment

 
Milkplan is an employer of equal opportunities",Mid-level,Full-time,"Lagkadas, Greece",EL,,,,2024-09-10,kariera.gr,168990
"['http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165', 'http://data.europa.eu/esco/skill/7e5786f8-1174-4f75-97e3-cfecfd95d797', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/2e46a2a3-4d33-469e-8d50-588cc17e6bed', 'http://data.europa.eu/esco/occupation/9422c30d-c5ef-4fcc-a493-d67ee42189c0']",43126,,Crew Coordinator & Recruiter,"Thalpis Hellas, a top-tier company in crew management and marine services, is looking for a dedicated and professional Crew Coordinator & Recruiter to join our Athens office team.
Key Qualifications:

University Degree in any discipline.
Excellent command of English (both written and spoken).
Proficiency in Microsoft Office applications.
Strong customer service orientation, with a courteous and professional demeanor.

Additional Advantage:

Fluency in Russian or Ukrainian is a plus.

This is an excellent entry-level opportunity for individuals looking to start a career in shipping. If you have a polite, detail-oriented approach to recruitment and are committed to providing exceptional customer service, we invite you to apply.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-11,kariera.gr,169174
"['http://data.europa.eu/esco/skill/2a2fa8e8-aaf3-4abf-a60b-af6415f1c6d4', 'http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb', 'http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/b78a32fd-e99b-4b65-a01e-4b43b3b90167', 'http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/f2d57f41-43b4-4f5b-8100-3df5c21eda50', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659', 'http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73', 'http://data.europa.eu/esco/isco/C4227']",45581,,Junior Recruiter - ALIMOS,"Main duties

Create and publish jobs.
Conduct and organize candidate interviews as needed
Liaising with the retail team to receive guidance from them on open positions
Consistency in role requirements and finding the right candidate 
Collaborate with managers to screen and identify suitable candidates
Complete administrative tasks as required, such as obtaining references from previous employers, obtaining background checks and paperwork such as employment status from applicants
Complete initial telephone screening of candidates
Implement and maintain an effective filing system

Candidate Profile

University/TEI graduate in economics or related field 
Knowledge of managing the Epsilon Net system
Communication ability and flexibility, teamwork spirit


Good knowledge of the English language, excellent knowledge of MS Office
Management with professionalism, confidentiality and discretion of all sensitive information.
Organizational and analytical skills, attention to detail 

Our Company
Pink Woman is one of the leading women's fashion retailers with a clear vision and a strong history of growth. We are dedicated to the professional development of our people and promise a modern and dynamic environment where challenges are daily! We offer a competitive salary and benefits package and advancement in a constantly growing company!
 
INTRAFASHION GROUP A.V.E. as a Data Processor, processes your personal data exclusively to the extent required during the interview and potential recruitment process and has taken all appropriate technical and organizational measures to protect your personal data in accordance with the applicable Greek legislation and the provisions of the General Protection Regulation of Personal Data (EU) 2016/679. The data you disclose to INTRAFASHION GROUP A.B.E.E.   through your application they will be kept for possible future use for a period of twelve months from their receipt for use in future recruitment. In order to fulfill the above-mentioned purposes of processing your personal data, INTRAFASHION GROUP A.B.E.  may disclose or transmit personal data that you have given us to subsidiaries or affiliates of INTRAFASHION GROUP A.B.E.E.  companies. You can at any time with your request to the Personal Data Protection Officer of INTRAFASHION GROUP A.B.E.  (dpo@pinkwoman-fashion.com) to exercise the rights provided for in the Regulation, including the right to information and access, correction, deletion, limitation of processing, portability and the right to object to processing, but also to address the Protection Authority of Personal Data (www.dpa.gr). To learn more about the protection of your personal data, see the INTRAFASHION GROUP SA Privacy Statement.   us at www.pinkwoman-fashion.com",Entry / Junior,Full-time,"Alimos, Greece",EL,,,,2024-09-13,kariera.gr,170058
