organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/1a6c7e0d-fc13-41d7-a5c0-8ca00606de89', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/f642d7ed-e8d7-4355-a747-b85094d4e2e3']","['http://data.europa.eu/esco/occupation/4c6b3657-316e-43b5-872a-ea763411190d', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d', 'http://data.europa.eu/esco/isco/C243', 'http://data.europa.eu/esco/isco/C44']",4,PPC Energy Consultant new Franchise store in N. Eritrea,"Nea Erythraia branch
The world of energy is constantly growing and evolving. PPC is looking for its franchise store in N. Eritrea, people with appetite and positive energy, who wish to take their career forward. With team spirit, trust and empathy, we take care of creating a workplace with equal opportunities and respect for everyone. Although you are interested in your personal and professional development in a modern environment with a pleasant climate and favorable benefits, we invite you to apply for the position of Sales Consultant in an energy store in the Nea Erythraia area
Role Responsibilities:

Reception and investigation of customer needs.
Promotion of energy products and services that are part of the company's commercial activity
Providing advice on energy solutions
Management of requests, in the context of excellent customer service
Maintaining the correct image of the store area

Candidate Requirements:

High school diploma or higher
Knowledge of the English language
Familiarity with Microsoft Office programs (excel, word, powerpoint) and

Employee Skills:

Communication skills
Customer-centric concept
Passion and self-motivation
Team spirit of cooperation
Initiative and problem solving
Adaptability
Responsibility and result orientation

Employer Benefits:

Competitive remuneration package
Continuous education
Flexible working hours
Pleasant working environment.
Bonus performance based on target setting plan

Find your position in the most dynamically developing energy sector and send your CV.  
Your future is here!",Entry / Junior,Full-time / Part-time,"Nea Erythraia, Greece",EL,,,,2024-09-09,kariera.gr,168912
,"['http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d', 'http://data.europa.eu/esco/skill/7e251454-2496-4f09-99fe-3da59bc4c10a', 'http://data.europa.eu/esco/skill/9f10e94b-a43d-4772-9f60-24e9bbbdedb7', 'http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']","['http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d', 'http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C2433']",5,KEY ACCOUNT MANAGER THESSALONIKI,"The company MICROLINK TECHNOLOGY & SECURITY was founded in 2000 and successfully operates in the field of import and wholesale trade of security systems as well as in the field of advanced technology products. It soon established itself as one of the leading companies in the Security Systems industry. 
It is looking for a Key Account manager to staff the sales department.
Duties and Responsibilities
Increase existing sales and search for new customers. Commercial customer evaluation. Creation and maintenance of good relations with old and new customers. Study of the competition and market trends, in order to evaluate the company's position commercially.
Candidate Profile
Previous experience of at least  (2) years in a corresponding position of sales of technology products. Very good knowledge of handling MS Office applications, ERP systems and e-commerce environment. Excellent knowledge of English. Communication skills. Experience in issuing relevant reports (reporting). Orientation towards achieving goals. Ability to travel.
Company Benefits
Excellent working conditions in a modern and pleasant environment. Development prospects in a steadily growing company. Attractive salary package Bonus Consistency in payroll Mobile Company car",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-09,kariera.gr,168911
,"['http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d', 'http://data.europa.eu/esco/skill/7e251454-2496-4f09-99fe-3da59bc4c10a', 'http://data.europa.eu/esco/skill/9f10e94b-a43d-4772-9f60-24e9bbbdedb7', 'http://data.europa.eu/esco/skill/a6532ae5-efc4-4ca4-b172-c11471940d09', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']","['http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d', 'http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C2433']",9,KEY ACCOUNT MANAGER ATHENS THESSALONIKI,"The company MICROLINK TECHNOLOGY & SECURITY was founded in 2000 and successfully operates in the field of import and wholesale trade of security systems as well as in the field of advanced technology products. It soon established itself as one of the leading companies in the Security Systems industry. 
It is looking for a Key Account manager to staff the sales department.
Duties and Responsibilities
Increase existing sales and search for new customers. Commercial customer evaluation. Creation and maintenance of good relations with old and new customers. Study of the competition and market trends, in order to evaluate the company's position commercially.
Candidate Profile
Previous experience of at least  (2) years in a corresponding position of sales of technology products. Very good knowledge of handling MS Office applications, ERP systems and e-commerce environment. Excellent knowledge of English. Communication skills. Experience in issuing relevant reports (reporting). Orientation towards achieving goals. Ability to travel.
Company Benefits
Excellent working conditions in a modern and pleasant environment. Development prospects in a steadily growing company. Attractive salary package Bonus Consistency in payroll Mobile Company car",Mid-level,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168906
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/aafb8d62-1592-4488-bd40-7bdfb751ff98', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/e1f2f22f-3248-4eb2-83a6-c6f7c4437c5c', 'http://data.europa.eu/esco/skill/ec66b111-d8d0-4516-88ba-ee0b6fe6f695', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C7222']",13,Logistics Coordinator,"FOURNARAKIS SA  
 
Do you want to work in one of the most dynamic companies in Greece?  
At FOURNARAKIS S.A. we develop, market and distribute the strongest brands of industrial tools and machinery. For the last 40 years we have held a leading position in the Greek market, being among the 17 most dynamic companies in Greece (GrowthAwards 2021). At the same time, we have a rapidly growing sales network throughout Europe, aiming to become one of the protagonists in the European market as well. For this reason, we constantly invest in the recruitment and development of new executives. In recent years, our human resources in all Departments and levels of the company have been increasing by 20% annually. As part of our continuous development, we are looking for the right candidate for the position: 
Logistics Coordinator
(Position Code: LoC)
Responsibilities:

Organizing and processing customer orders
Check and update product availability
Issue of documents
Communication with customers-suppliers for product deliveries
Track and manage loads
Returns management & supervision
Track transportation and delivery of orders

 
Necessary qualifications:

Higher or higher education degree, preferably in Logistics, Business Administration or Accounting
Experience of at least 6 years in a large company in a similar position
Very good knowledge of ERP software (Entersoft will be an added advantage) and WMS software
Good knowledge of MS Office (especially Excel)
Excellent knowledge of the English language
Excellent communication skills
Willingness and willingness to work in a demanding environment
Organizational spirit and cooperation within a team

Amenities:

Competitive remuneration package
Cooperation with professional development prospects in a large company with a leading position in its field, which is growing steadily and quickly
Excellent work environment, meritocracy where all outstanding executives are valued and rewarded
Continuous education and training",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168900
,[],"['http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e', 'http://data.europa.eu/esco/isco/C3322']",15,Salesmen/Saleswomen (No previous experience necessary),"We are looking for ambitious and dynamic salespeople to join our team!
What We Offer:

Specialized training - Develop your sales skills.
Flexible hours - Ability to adapt to your schedule.
Professional environment - Work in a dynamic team.

Required Qualifications:

Previous experience in sales is not necessary.
Excellent communication skills.
Determination and persistence in achieving goals.

Come help grow a successful sales company! Evaluations start 9/16",No experience / No degree,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168898
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9', 'http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/isco/C2']",18,VODAFONE Family Advisor,"At Vodafone we encourage the personal and professional development of our people, offering an environment that combines innovation with a human approach. We respect diversity and believe in the power of new ideas, constantly investing in education and skills development. We are a great team that seeks to make a difference for our customers and our community. We are looking for a Family Advisor to join our team, helping to expand our residential clientele and offering the best possible service to our clients.
 
Position description

Daily communication with new and existing customers in their area
Scheduling meeting with potential new and existing clients
Evaluation and recording of the current services of the prospective clientele
Investigating customer needs and quoting the most ideal solutions based on each customer's profile
Guidance and training of prospective clients in new technologies

Necessary qualifications:

High school graduate (preferred IEK, TEI, HEI)
Excellent communication and negotiation skills
Team spirit
Flexibility, organization and proper time management
Experience in sales will be an added advantage

Amenities:

Competitive remuneration package
Monthly goal achievement bonus
Continuous training and support on new products and technologies
Training and development of personal skills
Digital tools (professional tablet & mobile)
Privileges-discounts on the organization's services
Possibility of professional development within the organization
Recruitment will be through a partner.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168891
,"['http://data.europa.eu/esco/skill/136e0cab-0b19-48f7-9086-745d615f416b', 'http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582', 'http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562', 'http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2', 'http://data.europa.eu/esco/occupation/d5c4ab26-c293-4f4d-ad89-fe776f49a67f', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']",19,Retail CRM Team Leader (VLTs),"We are #OPAP
We are Greece’s leading gaming company, with 65 years of history and Top Employer in Greece for 2023 & 2024. Our vision is to provide best-in-class entertainment in both retail and online, as well as to give back to society.
OPAP’s Fast Forward strategy guides our aspirations of delivering affordable and personalized entertainment experiences, while building an agile and dynamic company that enjoys long-term success. Customer centricity, digital orientation, agility, people engagement and social contribution are part of our DNA!
 
So what’s the challenge...
 
Are you ready to drive the transformation of customer relationships and boost engagement? As CRM Team Leader, you'll turn our Retail CRM Strategy into a dynamic and impactful plan that enhances customer value and engagement throughout their lifecycle.
 
Your day to day will include:
 

Implementing the CRM strategy for Retail Games to boost customer value and engagement
Collaborating with Sales, Product, Loyalty, and Retail Experience teams to align on roadmap and plan
Reviewing and refining the Retail CRM plan for mass and targeted campaigns, recommending audience segments, reward value, mechanisms, and channels, and finalizing the plan for approval
Designing automated lifecycle journeys (welcome, upsell, cross-sell, retention & reactivation) and offering tailored promotions at each stage
Proposing CRM plans utilizing new reward mechanisms (real-time triggers & missions) and conducting A/B testing
Analyzing the cost/benefit of the monthly CRM plan, including communication and OPEX budgets, in relation to targets
Monitoring and presenting performance against KPIs providing insights and proposing automations 
Optimizing campaign management operations to reduce human error and increase efficiency, team capacity, and agility

 
What you need to succeed: 
 

BSc in Business Administration, Marketing, Mathematics, or other relevant field
6+ years of hands-on experience in a similar role within a fast-paced organization 
Understanding of sophisticated customer segmentation & experience on defining segmented campaigns
Ability to understand the CRM ecosystem and data infrastructure 
Knowledge of Salesforce Marketing Cloud or other CRM tools (Siebel CRM, Unica, Responsys, Optimove) is preferable
Team player with agility and adaptability 
Effective organizational and planning skills to deal with a variety of projects
People management skills
Business Acumen
Analytical skills with strong attention to detail 
Ability to work under pressure and deliver with high quality within strict timeframes
Strong communication and presentation skills both in Greek and English languages
Advanced MS Office skills, particularly in MS Excel 

What’s in it for you?

An award-winning working environment 🚀
State of the art facilities including gym & restaurant 🏢
Hybrid working model 💻
Competitive salary package and bonus scheme 💸
Health insurance coverage & Pension Plan 🙏
Monthly food allowance 🍴
Continuous learning with classroom/digital trainings by OpapAcademy 🎓
Internal Career Opportunities 💼
Well-Being Activities 💪

 
OPAP Group is an equal opportunity employer
 
Does this sound like you? If yes, we would love to meet you!",Senior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168894
,"['http://data.europa.eu/esco/skill/db27065e-3c06-4f89-aa55-48fd87dabf82', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/f9670490-8aa4-4540-b121-d440a8294aab']","['http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16', 'http://data.europa.eu/esco/occupation/8bbac392-3d62-4c46-a56e-3f244fdda216', 'http://data.europa.eu/esco/isco/C2433', 'http://data.europa.eu/esco/isco/C522']",21,SALES SUPPORT- Orthopedics,"He/she is responsible for compiling Daily Sales Reports and assembling the sales schedule (surgeries, doctor visits, presentations).
Records leave reports of the department's personnel and informs the supervisor.
Compiles and processes the Department Incident Charges, regarding non-billables.
He is responsible for opening new product codes in ERP
Sends sales/purchases statistics according to the needs of each sales department.
Corrects incident data in ERP. Match charges to invoices. On a weekly basis, he receives the data from the sellers regarding the sales, so that the necessary corrections can be made to the incidents (doctor's name, seller's name, category of operations, etc.)
Performs inventory control via ERP and informs vendors and supervisor of inventory and warehouse and overstock expiration dates. As for back orders and delays in receiving goods.
Notifies sellers of product descriptions approved by Product Manager and BUM.
Monitors sales prices, and matches products in the price watch, in collaboration with the Product Manager and BUM.
Communicates with hospital supply departments to inform them regarding delivery of backorders, vantage code project, etc.
Communicates with domestic suppliers to process Expense requests for surgical consumables.
Prepares and participates in monthly sales meetings.
He/she is responsible for extracting the records of the hospital records for processing their inventory and sending them to the involved/interested members of the B.U. as defined by the company based on the procedure (monthly and quarterly inventories of deposits with code, description, pieces, lot number, expiration date), as well as for the collection and formatting of the inventoried materials, data processing and sending them to invoicing.",Mid-level,Full-time,"Chalandri, Greece",EL,,,,2024-09-09,kariera.gr,138975
,"['http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']",[],24,Shipping Sales Secretarial Support,"For Shipping Sales Secretarial Support, people are wanted from a Shipping Chemicals Production Company in Aspropyrgos.
Organizational skills and very good knowledge of English and Microsoft Office are considered essential.  Knowledge of Softone will be an advantage.
Telephone: 6979119985 (Days and hours of contact: Monday to Friday, 10:00-16:00).",Mid-level,Full-time,"Aspropyrgos, Greece",EL,,,,2024-09-09,kariera.gr,168880
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352']","['http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/isco/C3322']",29,Network Development & Sales Manager,"What you will need to do:
The main duties of the position are sales, development, and customer management in Athens, Central Greece, Peloponnese, and Crete.
 
More specifically:

Clientele management and development
Building and managing strong customer relationships
Customer request management and order taking
Implementation of the company's commercial policy
Achieving set sales targets
Market and competition monitoring

 
What we're looking for:

A related degree in Business Administration or Marketing will be an advantage
Good knowledge of ERP & CRM systems (ideally Softone)
At least 2 years of experience in sales with a relevant product (food, pet supplies)
Driving license B- Category
Very good knowledge of the English language (oral and written)
Excellent communication and organizational skills
Customer-centric perception and approach
Decisiveness and initiative taking
Team spirit and consistency
Negotiation skills

 
Salary and benefits package:
Competitive salary package & bonus
 

👥 Recruitment stages include:
 
If this role interests you, please do not hesitate to apply directly. Our consultants will contact candidates who meet the above requirements to schedule an interview",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168881
