organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be', 'http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1', 'http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652', 'http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2', 'http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b']","['Office administrative and support activities', 'Activities of head offices', 'Public relations and communication activities']",237,Administrative Assistant,"Responsibilities:

Manage and coordinate administrative functions for the executive team.
Schedule meetings, handle correspondence, and manage communication on behalf of management.
Maintain and organize office records, documents, and reports.
Coordinate travel arrangements and accommodations for executives.
Assist in preparing presentations, reports, and other materials as needed.
Handle inquiries and interact professionally with clients, partners, and stakeholders.

Requirements:

Proven experience as an Administrative Secretary or similar role.
Proficiency in office software and strong computer skills.
Exceptional organizational and multitasking abilities.
Excellent verbal and written communication skills in English.
Ability to prioritize tasks and work efficiently in a fast-paced environment.
Discretion and confidentiality in handling sensitive information.

 
If you are a proactive individual with strong administrative skills and the ability to thrive in a collaborative environment, we encourage you to apply.
 
Join us and be part of a dynamic team dedicated to excellence.",Mid-level,Full-time,"Piraeus, Greece",EL,,,,2024-09-09,kariera.gr,168623
,"['http://data.europa.eu/esco/skill/3012a059-e062-4171-b37e-f9e7c7eb603e', 'http://data.europa.eu/esco/skill/74bb0643-a15f-48ea-b12c-d98bf49cb317', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/f9738fc9-4d67-43e8-bfda-954123e34d42']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9']","['Accommodation', 'Activities of head offices', 'Research and experimental development on social sciences and humanities', 'Investigation and private security activities']",325,Secretariat,"The Thesis
We are looking for a Secretary for Polygon's school to join our team and contribute to our development.  If you have communication skills and are interested in working in the field of customer service in education, we would be delighted to meet you.
 
 The Group
If you wish to join an acclaimed group in the education industry, awarded by the Education Leaders Awards for ""Innovation in Teaching"", ""Best Learning Experience"" and ""On-line Education"", as well as the ""Best Workplace"" award Award”, So Easy Education® is the ideal organization to achieve your professional goals. With 89 training centers throughout Greece and over 30 years of experience in the field of education, we guide more than 22,000 students to success every year.
 
Responsibilities

You undertake the observance and monitoring of the school's operating procedures, as defined by the central administration
You ensure the organization, management and coordination of meetings - appointments
You work directly with the teachers of the center, as well as with the external partners of the group
You ensure the smooth operation of the school

 
Necessary Qualifications

Good command of English
Computer use certification  
Organizational and communication skills

· Teamwork
· Effective prioritization
· Experience in a similar position will be appreciated
 
We offer
· A pleasant and supportive environment, dominated by team spirit
· Continuous training through attending the Group's seminars
· Opportunities for career advancement through our unique Career Vision program
· Satisfactory remuneration package with monthly salary and security",Mid-level,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-07,kariera.gr,168548
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/15d6d4e9-9b4b-4a93-aea5-a29a67b6d9e7', 'http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['General public administration activities', 'Research and experimental development on social sciences and humanities', 'Activities of head offices']",333,Administration Secretariat,"HR Solutions, on behalf of a growing commercial company based in Thessaloniki, is looking for a candidate for the position of Administrative Secretary.
Main Responsibilities:

Organize and manage the calendar, schedule meetings and organize business trips.
Monitor the progress of tenders and deadlines, ensuring timely completion.
Monitoring contracts, agreements and insurance policies.
Communication and correspondence management, both internal and external.
Prepare reports, presentations and other documents for meetings and administrative needs.
Collaborate with other departments and coordinate administrative processes to best support management.
Handle sensitive information with discretion and professionalism.

 
Required Qualifications:

Bachelor's degree in business administration or related field.
Previous experience in a similar position.
Excellent knowledge of Greek and English.
Excellent knowledge of MS Office (Word, Excel, PowerPoint).
Ability to work under pressure and manage multiple tasks.

 Amenities:

Competitive remuneration package.
Pleasant and dynamic work environment.
Professional development prospects.",Mid-level,Full-time,"Thessaloniki, Greece",EL,,,,2024-09-07,kariera.gr,168539
,[],['http://data.europa.eu/esco/occupation/27a88c48-1d09-4a8c-a82a-a61ea16476d9'],['Engineering activities and related technical consultancy'],616,REAL ESTATE AGENT - ΣΥΜΒΟΥΛΟΣ ΑΚΙΝΗΤΩΝ,"Καριέρα στο real estate; 
Θέλεις να εργάζεσαι με  πολλαπλές δυνατότητες εξέλιξης και με ποσοστό που φτάνει το 80% (!) των αμοιβών;Η μεγαλύτερη οικογένεια στον κόσμο σε καλωσορίζει! Ως σύμβουλος ακινήτων δουλεύεις για σένα, αλλά δεν είσαι μόνος. Στην οικογένεια της RE/MAX απολαμβάνεις τα οφέλη του ανεξάρτητου επαγγελματία και συγχρόνως, από το πρώτο σου βήμα, η RE/MAX Fidelity Brokers και το σύνολο των ανθρώπων του δικτύου είναι δίπλα σου για να σε στηρίξουν κάθε στιγμή.
Ποιοι είμαστε:
Η RE/MAX Fidelity Brokers, μέλος του Παγκόσμιου Δικτύου RE/MAX, με 2 γραφεία σε νευραλγικά σημεία ιδιαίτερου ενδιαφέροντος, ένα στο κέντρο της Αθήνας, στο Σύνταγμα και ένα στο κέντρο της Γλυφάδας, διαθέτει μια μεγάλη ομάδα έμπειρων και άρτια εκπαιδευμένων Συμβούλων, οι οποίοι παρέχουν υψηλού επιπέδου κτηματομεσιτικές υπηρεσίες.Εντάσσεται, κάθε χρόνο, στις πρώτες θέσεις της RE/MAX πανελλαδικά σε πωλήσεις. Βασικοί πυλώνες της επιτυχίας μας είναι η εξειδικευμένη εκπαίδευση και υποστήριξη που δίνουμε στην ανάπτυξη των συνεργατών/συμβούλων μας, εργαζόμενοι σε ένα οικογενειακό περιβάλλον και κλίμα επιτυχίας, με καθημερινές συνεργασίες που οδηγούν σε γρηγορότερη αποτελεσματικότητα (Οι πράξεις των συμβούλων ακινήτων της RE/MAX είναι διπλάσιες από αυτές των άλλων συμβούλων ακινήτων, σύμφωνα με την έρευνα Real Trends 500). Γιατί μαζί μας;
• Υψηλές Προμήθειες
Πιστεύουμε πως οι σύμβουλοί μας αξίζουν τα καλύτερα για αυτό και τους ανταμείβουμε μέχρι και με το 80% (!) των συνολικών αμοιβών. Έτσι, όλοι έχουν κίνητρο να πετύχουν και εξελιχθούν περισσότερο, χτίζοντας ταυτόχρονα μια καριέρα με υψηλά εισοδήματα.
• Συνεχής Εκπαίδευση: RE/MAX University Greece
Αξιοποιώντας τα σύγχρονα μέσα της digital εποχής και με εκπαιδευτικό περιεχόμενο που συμπυκνώνει τη γνώση και την εμπειρία του παγκόσμιου δικτύου, τo RE/MAX University δίνει πρόσβαση στις τεχνικές του επιτυχημένου συστήματος RE/MAX.Έτσι οι άνθρωποι της RE/MAX μπορούν να εξελιχθούν επαγγελματικά και να φτάσουν γρήγορα στο MAX των δυνατοτήτων τους.Σεμιναριακά μαθήματα, παιχνίδια ρόλων (role playing), παρακολούθηση έμπειρων συνεργατών (shadowing), σχεδιασμός και υποστήριξη των πρώτων σου ραντεβού .Τα ολοκληρωμένα προγράμματα κατάρτισης της RE/MAX Fidelity Brokers αποτελούν ευκαιρία εξειδικευμένης γνώσης του αντικειμένου, για επαγγελματίες του χώρου και μη. Για το λόγο αυτό οι Σύμβουλοι μας αποπνέουν επαγγελματισμό, κερδίζουν την εμπιστοσύνη των πελατών τους και κλείνουν πολλές συμφωνίες.
• Πλήρης Υποστήριξη
Φροντίζουμε να σου παρέχουμε ό,τι χρειαστείς για την καθημερινή διαχείριση της εργασίας σου: από χώρο εργασίας και γραμματειακή υποστήριξη, μέχρι καθοδήγηση στη διαφήμιση των ακινήτων, τη διαπραγμάτευση και τη διεκπεραίωση των συμβολαίων σου. Οπότε εσύ μπορείς να εστιάζεις στη πιο σημαντική ενέργεια: να γίνεσαι ο μοναδικός σύμβουλος ακινήτων των ανθρώπων που σκέφτονται να πουλήσουν ή εκμισθώσουν το ακίνητό τους.
• Πρωτοποριακό Marketing & Τεχνολογία
Με Βίντεο Παρουσίασης Ακινήτων, Επαγγελματική Φωτογράφιση, Drones, ενεργή παρουσία στα Social Media και πολλά άλλα, αποκτάς μεγάλο πλεονέκτημα στην ανάθεση ακινήτων.Στόχος μας να σε αναδείξουμε στον/στην ειδικό της περιοχής σου και να σε βοηθήσουμε να προωθήσεις τα ακίνητά σου σε ολόκληρο το αγοραστικό κοινό, χτίζοντας ένα δυνατό brand για το μέλλον. Ταυτόχρονα, επιλεγμένοι εξωτερικοί συνεργάτες (Δικηγόροι, Μηχανικοί, Συμβολαιογράφοι) βρίσκονται δίπλα σου για να σε βοηθήσουν να εξυπηρετήσεις ολοκληρωμένα τους πελάτες σου.
• Ανθρωποκεντρική Κουλτούρα
Χτίζουμε μια επιτυχημένη ομάδα συνεργατών που εστιάζει εξίσου στην παραγωγικότητα και τις ανθρώπινες σχέσεις. Το επιχειρηματικό κλίμα, η επιβράβευση της επιτυχίας, το εταιρικό όραμα και οι αξίες μας σου επιτρέπουν να εργάζεσαι σε ένα αναπτυξιακό εργασιακό περιβάλλον, με ξεκάθαρη κατεύθυνση & να αποδίδεις στο μέγιστο των δυνατοτήτων σου.
•  Πανελλαδικό Δίκτυο για την κάλυψη των αναγκών των πελατών σου μέσω συνεργειών•  Παροχή επί μέρους συναφών υπηρεσιών (νομικές, τεχνικές, δανείων κτλ.)•  Ευέλικτο ωράριο & ελευθερία κινήσεων, με αμοιβαία δέσμευση στην αποτελεσματικότητα•  Μεγάλες προοπτικές εξέλιξης και δημιουργίας ομάδων•  Αποτελεσματικά συστήματα και μοντέλα ανάπτυξης
 Τυπικά προσόντα:
• 2ετή εργασιακή Προϋπηρεσία (ανεξαρτήτως κλάδου)• Επικοινωνιακές Ικανότητες• Ήθος και Ακεραιότητα• Προϋπηρεσία στις Πωλήσεις και στην εξυπηρέτηση πελατών θα εκτιμηθεί
Αν είσαι μεσίτης/τρια ή έχεις εργαστεί σε μεσιτικό γραφείο στην εξυπηρέτηση πελατών, εάν έχεις προϋπηρεσία ως Πωλητής, Ελεύθερος Επαγγελματίας, Επιχειρηματίας, Ασφαλιστικός Σύμβουλος, Πολιτικός Μηχανικός, Αρχιτέκτονας, Τραπεζικός, τότε έχεις πλεονέκτημα αφού έχεις ήδη αποκτήσει δεξιότητες που θα σε βοηθήσουν στο χώρο μας.Εάν θέλεις τα εισοδήματά σου να εξαρτώνται από τις ενέργειές σου κι αν έχεις τη φιλοδοξία να δημιουργήσεις τη δική σου επιχείρηση και να φτάσεις ψηλά, μην χάνεις άλλο χρόνο.
Έλα μαζί μας και άρχισε να χτίζεις το μέλλον σου τώρα!
Η ιστοσελίδα μας:
remax-fb.gr
Τα γραφεία μας:
RE/MAX Fidelity Brokers | Syntagma, Athens, Greece
RE/MAX Fidelity Brokers 2 | Glyfada, Athens, Greece",Mid-level,Contract / Freelance / Self-employed,"Athens, Greece",EL,,,,2024-09-06,kariera.gr,152517
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/19bf4fdc-c0aa-40c5-b531-35ed408067a8', 'http://data.europa.eu/esco/skill/1ba59ce0-7fec-434b-8d5c-9b275250a26c', 'http://data.europa.eu/esco/skill/382ed835-8958-4d86-8471-cff55c6df3e7', 'http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/8c82dc9c-4e3c-4b22-b177-bf84abb14465', 'http://data.europa.eu/esco/skill/8d10ae08-3b0d-4bbb-86c5-25dd2c6858cd', 'http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92', 'http://data.europa.eu/esco/skill/ba45db8f-34e8-4f29-af0b-e6645e1d693f', 'http://data.europa.eu/esco/skill/d5d8e3e0-15a8-4cea-b877-7100363e36c7', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9', 'http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2', 'http://data.europa.eu/esco/occupation/71a98a24-e02b-4ba6-b4df-6556d7ae98cc', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/isco/C3332', 'http://data.europa.eu/esco/isco/C42']","['General public administration activities', 'Activities of head offices', 'Manufacture of paper stationery', 'Administration of the State and the economic, social and environmental policies of the community', 'Provision of services to the community as a whole']",841,Executive Assistant,"Telematic Medical Applications is a leading Healthcare System Integrator and Value-Added Solutions Provider in the field of Integrated Computer Science-based Healthcare Systems. We are looking for a competent Executive Secretary to provide essential support to our high-ranking officials. You will play a crucial role in organizing and maintaining the executive’s schedule, as well as performing various administrative tasks with the following qualifications:
 
Main Accountabilities

Maintaining the executive agenda and assisting in planning appointments, board meetings, conferences etc.
Attending meetings and keeping minutes.
Receiving and screening phone calls and redirecting them when appropriate.
Handle and prioritize all outgoing or incoming correspondence (e-mail, letters, packages etc.)
Make travel arrangements for executives.
Conduct research and prepare presentations or reports as assigned.
Ability to handle confidential documents and sensitive information with discretion, ensuring they remain secure.
Maintain electronic and paper records ensuring information is organized and easily accessible.
Ability to analyze information, anticipate needs and make informed decisions to support the team of executives in the most efficient way possible.
Provide valuable assistance/support to clients and stakeholders as needed.
Adhere to ethical standards and comply with corporate procedures and policies.

 
Skills & Qualifications

Degree in Business Administration or related field.
Proven experience as executive secretary to CEO or similar administrative role at least 5-7 years.
Proficient in MS Office and “back-office” software (e.g. ERP).
In-depth knowledge of office management procedures as well as technical vocabulary of relevant industry.
Excellent organizational and time-management skills.
Outstanding communication and negotiation abilities.
Integrity and confidentiality.
Critical thinking.
Customer service skills.
Fluency in communication in English (oral/written).
Knowledge of the French and German language will be a plus.

Benefits

Competitive compensation packages.
Healthcare (private insurance).
Interesting and challenging tasks within large-scale projects.
The opportunity to work in a diverse environment with talented colleagues.
Friendly environment.",Senior,Full-time,"Piraeus, Greece",EL,,,,2024-09-05,kariera.gr,167969
,[],"['http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271', 'http://data.europa.eu/esco/occupation/5d5fde2c-47ce-4dcd-99f0-ba651b7b908f']","['Office administrative and support activities', 'Hospital activities']",1012,TYPIST - SECRETARY,"A diagnostic center based in Ampelokipi is looking for an experienced secretary-typist to transcribe and type medical opinions for a five-day afternoon job (hours 16.30 - 21.00).
Previous experience in a similar position is required as well as excellent knowledge of PC and blind typing system.
Send resume to email: akalovidouris@windowslive.com",Senior,Part-time,"Athens, Greece",EL,,,,2024-09-04,kariera.gr,167666
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/1b957e3d-0017-42b0-9bfe-49a1cdd31de7', 'http://data.europa.eu/esco/skill/5a0bffcf-4ff6-49cf-a7db-4142e63f5f04', 'http://data.europa.eu/esco/skill/dc9a236c-c640-43c3-812f-269403591edb', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/e937449a-d9e0-4ab7-9ea5-4d3ac673be6d', 'http://data.europa.eu/esco/isco/C3221', 'http://data.europa.eu/esco/isco/C3253', 'http://data.europa.eu/esco/isco/C3344']","['Research and experimental development on social sciences and humanities', 'Non-life insurance']",1211,Medical Secretary,"Responsibilities

Answering phone calls
Managing requests for the provision of medical services
Handling each case with highly qualified patient satisfaction
Communicating and Corresponding with clients and insurance companies
Managing the customer database system (CRM)
Communicating with large clients (hotels)
Monitoring the progress of financial claims from insurance companies
Filing correspondence and expense invoices

 
Qualifications

Excellent knowledge of the English language
ECDL certification
Candidates with a degree in paramedical sciences, nursing, or health visitors will be preferred
Previous experience in a similar role is advantageous
Excellent verbal and written communication skills

Details:

Full-time, permanent position, on-site work.
Rotating 5-day work schedule, 7 days a week, with morning and afternoon shifts",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-04,kariera.gr,166672
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659', 'http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7']","['Tertiary education', 'Activities of call centres']",1255,SECRETARIAL SUPPORT-TELEPHONE CENTER,"Candidate Profile:



We are looking for a secretary for the reception of the company.
They are offered
●  Full Employment
●  Satisfactory remuneration
●  Possibility of development in a dynamic work environment
●  Continuing education
●  Group health insurance
Necessary qualifications
● University or TEI degree in economics will be appreciated
●  Good knowledge of MS Office applications
●  Very good knowledge of English
●  Responsibility
● Consistency
●  Zeal for work
Desirable qualifications  
● Good time management
● Previous experience in a call center
●  Customer service orientation
●  Cooperative team spirit",Mid-level,Full-time,"Vrilissia, Greece",EL,,,,2024-09-04,kariera.gr,167503
,"['http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']",[],[],1300,Secretary,"From a Publishing House in Goudi, a Secretary up to 35 years old is wanted, for 8-hour morning work (Monday-Friday 09:00-17:00).
With a fixed-term private law employment contract
Necessary qualifications
Knowledge of English language,
Ability to use PC, Word, excel,
Knowledge of ERP commercial management programs,
Excellent communication skills and teamwork spirit",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-04,kariera.gr,167116
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3']",['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7'],['Activities of call centres'],1310,SECRETARIAL SUPPORT - TELEPHONE CENTER,"KOLOSSOS SECURITY has many years of experience in the industry of security services and a high-demand clientele.
The purpose of KOLOSSOS SECURITY is to provide comprehensive high-level security solutions tailored to the needs of each client.
Our people are our company.
We are looking for a good-looking secretary aged 28-45 for the reception of the company.
They are offered
●  Full Employment
●  Satisfactory remuneration
●  Possibility of development in a dynamic work environment
Necessary qualifications
● University or TEI degree
●  Very good computer skills
●  Very good knowledge of English
●  Responsibility
● Consistency
●  Zeal for work
Desirable qualifications  
●  Knowledge of a second language
● Good time management
● Previous experience in a call center
●  Customer service orientation
●  Cooperative team spirit  
Please send us your CV with a recent photo (optional).
email: info@kolossosnet.gr",Mid-level,Full-time,"Marousi, Greece",EL,,,,2024-09-04,kariera.gr,27443
