organization,skills,occupations,sectors,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/25a7fc25-f2fc-4bfd-9999-943c03d53372', 'http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b', 'http://data.europa.eu/esco/skill/3c834f6e-523a-49ee-8ed1-e073e28ae6fe', 'http://data.europa.eu/esco/skill/3c8c9fe5-bbc6-4a0b-8cf2-a839aeef585c', 'http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/5330b70e-16f5-43a7-a6de-18fd6a4bd063', 'http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401', 'http://data.europa.eu/esco/skill/8c4b7305-4b83-4586-9d42-2817f96c60ea', 'http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31', 'http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282', 'http://data.europa.eu/esco/skill/b1ef509e-f191-405a-8419-51663b08922e', 'http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458', 'http://data.europa.eu/esco/skill/c5449667-9b40-4114-8d74-f51177669984', 'http://data.europa.eu/esco/skill/d39022ab-d102-4720-b689-540d6f056b17']","['http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2', 'http://data.europa.eu/esco/occupation/b55718eb-e8ff-4485-8ad0-bbac32cbd77b', 'http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8', 'http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc', 'http://data.europa.eu/esco/isco/C2432', 'http://data.europa.eu/esco/isco/C2642']","['Research and experimental development on social sciences and humanities', 'Accommodation', 'Activities of head offices', 'Market research and public opinion polling', 'Business and other management consultancy activities', 'Public relations and communication activities', 'Activities of advertising agencies', 'Administration of the State and the economic, social and environmental policies of the community', 'Provision of services to the community as a whole', 'Computing infrastructure, data processing, hosting and other information service activities']",2,Senior Manager (Corporate Communications & PR),"Job description


Senior Manager (Corporate Communications & PR)
 
Your role in summary
The Senior Manager is a pivotal role within our team, responsible for developing and executing communication strategies and action plans. In this capacity, you will act as the principal point of contact for our clients, ensuring their satisfaction and retention through dedicated service and the application of V+O principles and values. This role requires close collaboration with the Director/ Business Unit Director, and involves a strong focus on client advisory, especially in areas of corporate communications, public affairs, policy research and analysis.
Key Responsibilities:

Develop and manage corporate communication strategies and action plans under the direction of the Director/ Business Unit Director.
Advise clients on public affairs and stakeholder engagement in coordination with the Director/ Business Unit Director.
Build, manage, and nurture existing client relationships, ensuring continual deepening of these relationships through client satisfaction, development, and retention.
Serve as the project owner for the portfolio, maintaining client KPIs and reports, and proposing actionable recommendations based on outcomes.
Proactively anticipate client needs and provide relevant, timely recommendations.
Responsible for creating all copywriting materials (Press Releases, Q&A documents, interviews, speeches) in line with agreed strategy.
Build and maintain strong relationships and networks with the media and other stakeholders per client needs.
Oversee client’s press office activities under the supervision of Director/ Business Unit Director.
Organize and ensure the timely, budget-compliant completion of all project deliverables.
Support crisis communications under the supervision of Director/ Business Unit Director.
Conduct research on policy issues at national, European, and international levels, and monitor legislation and regulations relevant to client’s business interests.
Undertake the people manager role, managing, training, guiding, and developing team members in accordance with company values and management processes.
Cooperate with external providers, ensuring performance and compliance with company policies.
Manage the completion of all client-related administrative tasks (databases, ISO files, etc.) on time and in accordance with company policies and procedures.

QUALIFICATIONS AND STANDARDS: 
Education & Experience 
 
Essential
- University degree in Business Administration, Media Communications, Public Relations, Journalism, or Political Science
- Excellent written and verbal communication skills in both Greek and English
- Minimum 5 years of relevant working experience in a PR firm or in a Corporate Communication Department
Desirable 
- A master's or advanced degree in a relevant field, demonstrating a higher level of expertise.
- Advanced experience in crisis communications
Join us for a challenging career! 
We offer an exciting business framework for you to accelerate professionally as well as a competitive remuneration package and benefits both numerical and non-numerical. We work with great clients, from SMB to global corporations, on a variety of communication challenges, to create compelling and persuasive experiences through insightful planning, innovative thinking, and seamless execution.
If you want to become a member of our team, please send us your CV at careers@vando.gr 
 
Your application will be handled with the utmost confidentiality!",Senior,Full-time / Part-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168914
,"['http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/b0288eea-74b3-460a-8ac5-edc4ba70b75c']","['http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224', 'http://data.europa.eu/esco/occupation/c66b4569-09aa-4d8d-93d9-ac9b9176655d', 'http://data.europa.eu/esco/occupation/d84bf1d7-ef99-40c4-a407-3791d6531b44', 'http://data.europa.eu/esco/isco/C334']","['Manufacture of electronic components and boards', 'Manufacture of computers and peripheral equipment', 'Manufacture of communication equipment', 'Manufacture of consumer electronics', 'Manufacture of instruments and appliances for measuring, testing and navigation', 'Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus', 'Manufacture of wiring devices', 'Manufacture of other electrical equipment', 'Manufacture of electrical and electronic equipment for motor vehicles', 'Manufacture of railway locomotives and rolling stock', 'Engineering activities and related technical consultancy', 'Technical testing and analysis', 'Investigation and private security activities', 'Other telecommunication activities', 'Computer programming, consultancy and related activities']",6,Installer of security systems,"COMPANY importing technological equipment and security systems with a leading position in the Greek market is looking for an experienced Security Systems Installer Technician with a central role in the telephone technical support of its clientele internally. Position Duties:
The suitable candidate will further strengthen the professional installers of our clientele in matters of technical consulting and at the same time will inform about the points of excellence of the company's products.
 
Necessary qualifications:
Studies in Electronics fields
5 years professional experience in security systems, CCTV, fire detection.
Experience in organization and continuous communication support
Knowledge of PC and English is desirable
Passenger car driver's license
Positive and pleasant personality
Responsibility and consistency
Six days.
Amenities:
Competitive remuneration package
Development prospects
Excellent and constantly evolving work environment
Continuous education.
, fee 1,600€ NET
 
, IEK Degree, minimum work experience: 36 months, full time, in the workplace",Senior,Full-time,"Peristeri, Greece",EL,,,,2024-09-09,kariera.gr,168910
,[],"['http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5', 'http://data.europa.eu/esco/isco/C2642']",['Photographic activities'],10,Journalist,"A tourism organization is looking for a Journalist (part time/partially remote/full time-on site) to write and edit travel content text, support and upload content to the company page, social media and edit travel programs.",Senior,Contract / Freelance / Self-employed,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168904
,"['http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d', 'http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec', 'http://data.europa.eu/esco/skill/714eebcb-569a-4f1b-b592-28f70b59a9ba', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ac802765-4098-4466-ac1e-4791f192c667', 'http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b', 'http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c', 'http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/d00b4607-c4fe-4f3e-8974-29401e23223c', 'http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']","['Accounting, bookkeeping and auditing activities; tax consultancy', 'Business and other management consultancy activities', 'Employment activities', 'Manufacture of luggage, handbags, saddlery and harness of any material', 'Accommodation', 'Activities of head offices', 'Research and experimental development on social sciences and humanities', 'Compulsory social security activities']",16,HR Manager,"The Role:
We are seeking a talented and experienced HR Manager to join our team and contribute to our commitment to excellence in hospitality. As the HR Manager, you will play a crucial role in the success of our organisation by overseeing and managing various human resources functions. You will be responsible for implementing HR policies and procedures, fostering a positive workplace culture, and ensuring compliance with employment laws and regulations. 
 
Responsibilities:

Develop and implement HR strategies and policies that align with the hotel's goals and objectives.
Manage the entire recruitment process, from sourcing and interviewing to onboarding new employees.
Support the successful implementation of the Performance Management process and provide guidance on performance improvement.
Manage learning and development initiatives to enhance employee skills and competencies.
Manage and resolve employee relations issues, including disciplinary action and conflict resolution as per relevant employment laws and regulations.
Administer employee benefits programs and manage compensation structures.
Ensure compliance with labor laws and regulations, including health and safety standards.
Maintain accurate and up-to-date employee records and time keeping systems.
Support the administration of payroll in cooperation with the accounting department. 
Provide support and advice to managers and employees on HR matters.
Coaching support of Managers on employee relation matters
Foster a positive and inclusive workplace culture that aligns with the hotel's commitment to excellence.
Stay up to date with industry trends and best practices in HR management.

 
Requirements:

Degree in Human Resources, Business Administration, or related field.
At least 3 years experience in a similar role. 
In-depth knowledge of Greek employment laws and regulations.
Strong interpersonal and communication skills.
Excellent organizational and time-management abilities.
Ability to handle confidential information with discretion.
A passion for fostering a positive work environment and delivering exceptional guest experiences.
Excellent verbal and written communication skills in Greek and English.
Working knowledge of an HRM Software.
Very good knowledge of MS Office Suite.
Outstanding problem-solving and conflict resolution skills.

 
Type of employment: Full time, permanent
Location: Athens, Greece
Submit your application at work@gatsbyathens.com 
All applications will be treated with strict confidentiality!",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168897
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9', 'http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/isco/C2']","['Business and other management consultancy activities', 'Employment activities']",18,VODAFONE Family Advisor,"At Vodafone we encourage the personal and professional development of our people, offering an environment that combines innovation with a human approach. We respect diversity and believe in the power of new ideas, constantly investing in education and skills development. We are a great team that seeks to make a difference for our customers and our community. We are looking for a Family Advisor to join our team, helping to expand our residential clientele and offering the best possible service to our clients.
 
Position description

Daily communication with new and existing customers in their area
Scheduling meeting with potential new and existing clients
Evaluation and recording of the current services of the prospective clientele
Investigating customer needs and quoting the most ideal solutions based on each customer's profile
Guidance and training of prospective clients in new technologies

Necessary qualifications:

High school graduate (preferred IEK, TEI, HEI)
Excellent communication and negotiation skills
Team spirit
Flexibility, organization and proper time management
Experience in sales will be an added advantage

Amenities:

Competitive remuneration package
Monthly goal achievement bonus
Continuous training and support on new products and technologies
Training and development of personal skills
Digital tools (professional tablet & mobile)
Privileges-discounts on the organization's services
Possibility of professional development within the organization
Recruitment will be through a partner.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168891
,"['http://data.europa.eu/esco/skill/11747665-0e98-4f27-bd0d-536862cd5746', 'http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8', 'http://data.europa.eu/esco/skill/292549e6-08ec-456c-b008-eba7a0a68428', 'http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/6c97d04d-7239-4dc7-90ef-3e812ba2b124', 'http://data.europa.eu/esco/skill/7ee9fb56-91b1-4363-b51f-ea54ae1b5761', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/d8567009-7c6f-43fb-82fb-7154ed8ebca9']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442']","['Accommodation', 'Activities of head offices', 'Computing infrastructure, data processing, hosting and related activities', 'Research and experimental development on social sciences and humanities']",20,Junior Buyer (Fixed-Term),"Do you want to make a dynamic start in the purchasing industry and gain experience in procurement processes? 🎓
Are you familiar with the use of ERP systems and Excel?💻
Are you looking for a position where communication, persistence and targeted search play a leading role?📈

            If so, then the position of Junior Buyer is exactly what you are looking for!
ManpowerGroup Greece, on behalf of a Group of companies, with commercial, technical and industrial activity, is looking for the next Junior Buyer, who will join the team.
    📌 Location: Athens (Easy access by public transport)
    📍 Working model: For life
    📢​ Working hours: Monday-Friday, 09:00 – 16:00
    🎯 ​Duration of contract: Initial contract of 3 months, with the prospect of renewal
What the role includes:

International market research and analysis to find and evaluate new suppliers
Negotiating prices, terms and contracts with suppliers to secure the best possible deals
Management and maintenance of relationships with existing suppliers
Monitor and analyze market trends and prices
Data entry into company systems

What we're looking for:

University/Technical Degree
Previous experience in a similar role or office positions will be valued (profiles without experience will also be evaluated)
Excellent knowledge of the English Language
Good use of MS Office programs
Communication skills & negotiation skills
Team spirit

Salary and benefits package:
✔️    Competitive salary package
📖 Ongoing training and support for professional development in a fast-paced team environment
🚀 Development prospects in a dynamic environment
👥 Assessment stages include:

If this role interests you, please do not hesitate to apply directly. Our consultants will contact candidates who meet the above requirements to schedule an interview.
As for the next steps, there will be 1 more interview with the company/client.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168893
,"['http://data.europa.eu/esco/skill/db27065e-3c06-4f89-aa55-48fd87dabf82', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/f9670490-8aa4-4540-b121-d440a8294aab']","['http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16', 'http://data.europa.eu/esco/occupation/8bbac392-3d62-4c46-a56e-3f244fdda216', 'http://data.europa.eu/esco/isco/C2433', 'http://data.europa.eu/esco/isco/C522']","['Warehousing and storage', 'Retail sale of medical and orthopaedic goods']",21,SALES SUPPORT- Orthopedics,"He/she is responsible for compiling Daily Sales Reports and assembling the sales schedule (surgeries, doctor visits, presentations).
Records leave reports of the department's personnel and informs the supervisor.
Compiles and processes the Department Incident Charges, regarding non-billables.
He is responsible for opening new product codes in ERP
Sends sales/purchases statistics according to the needs of each sales department.
Corrects incident data in ERP. Match charges to invoices. On a weekly basis, he receives the data from the sellers regarding the sales, so that the necessary corrections can be made to the incidents (doctor's name, seller's name, category of operations, etc.)
Performs inventory control via ERP and informs vendors and supervisor of inventory and warehouse and overstock expiration dates. As for back orders and delays in receiving goods.
Notifies sellers of product descriptions approved by Product Manager and BUM.
Monitors sales prices, and matches products in the price watch, in collaboration with the Product Manager and BUM.
Communicates with hospital supply departments to inform them regarding delivery of backorders, vantage code project, etc.
Communicates with domestic suppliers to process Expense requests for surgical consumables.
Prepares and participates in monthly sales meetings.
He/she is responsible for extracting the records of the hospital records for processing their inventory and sending them to the involved/interested members of the B.U. as defined by the company based on the procedure (monthly and quarterly inventories of deposits with code, description, pieces, lot number, expiration date), as well as for the collection and formatting of the inventoried materials, data processing and sending them to invoicing.",Mid-level,Full-time,"Chalandri, Greece",EL,,,,2024-09-09,kariera.gr,138975
,"['http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2']",[],[],24,Shipping Sales Secretarial Support,"For Shipping Sales Secretarial Support, people are wanted from a Shipping Chemicals Production Company in Aspropyrgos.
Organizational skills and very good knowledge of English and Microsoft Office are considered essential.  Knowledge of Softone will be an advantage.
Telephone: 6979119985 (Days and hours of contact: Monday to Friday, 10:00-16:00).",Mid-level,Full-time,"Aspropyrgos, Greece",EL,,,,2024-09-09,kariera.gr,168880
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']",['http://data.europa.eu/esco/isco/C251'],[],25,Office Coordinator – Code Position R2024,"You will deal with:

Management of electronic learning platform (LMS) and its users
Organization, preparation and coordination of educational programs
Data entry in the company's CRM & reporting
Technical support of virtual trainings 

Necessary qualifications

Degree of HEI-TEI
1-3  years of experience in secretarial support
Excellent computer skills (MS Office) and especially the use of spreadsheets (Excel) and professional presentations (Power point)
Familiarity with online collaboration platforms (MS Teams, Webex) is desirable
Excellent knowledge and use of the Greek and English languages ​​(written and spoken)
Knowledge of CRM management (Salesforce) desired

We expect you to show through your work:

Customer-centric behavior aimed at providing quality services
Ability to meet schedules with quality and reliable output
Focus and initiative in managing problems or changes in a timely manner
Mood for cooperation and teamwork

We offer you:

competitive salary, depending on your experience and qualifications
productivity bonus
medical care etc.

You can send your CV to jobs@response.gr by writing in the Subject: R2024
Our team looks forward to meeting you!",Entry / Junior,Full-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168887
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/6bf6b5bd-6658-4338-b0ee-dc143e68e6d3', 'http://data.europa.eu/esco/skill/d669af41-756c-48d9-a286-1443253f54b1', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']",['http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa'],['Raising of other animals'],26,ACCOUNTING OFFICER/ASSISTANT ACCOUNTANT,"ARKADIKI MELISSOCOMIA ABEE, one of the largest companies in the field of beekeeping, is interested in hiring a full-time Accounting Clerk/Assistant Accountant/Accountant with the following qualifications:
Responsibilities:

Control, categorization and registration of Purchases, Imports, Fixed Assets, Expenses and other documents in a commercial program (GALAXY SINGULARLOGIC)
Agreement of customer - supplier records
Check My Data - Provider epsilon net 
Participation in the issuance - submission of VAT-VIES-INTRASTAT declarations
Updating of diploma books
Support monthly closing and financial results tasks

Necessary qualifications:

Graduated from AEI TEI in Financial Accounting
At least 5 years of experience in an organized accounting office
Excellent knowledge of ELP and tax legislation
Experience in computerized record keeping
Excellent use of PC (Ms Office) and erp systems 
Excellent knowledge of the English language
Good organizational skills
Professional behavior
Ease of communication
Experience in GALAXY software will be considered

What we offer:
• Pleasant working environment • Development and growth prospects • Possibility of continuous training • Competitive remuneration package depending on qualifications
 
Please send the resumes to the email hr@arkmel.gr with the reference ΙΛ924
All resumes will be strictly confidential. Only eligible nominations will be responded to.",Mid-level,Full-time,"Mandra, Greece",EL,,,,2024-09-09,kariera.gr,168884
