microskill,job_frequency,number_of_connections,weighted_degree,degree_centrality
Σαφής και συνοπτική επικοινωνία,521,43,699,0.7543859649122806
Ενεργητική ακρόαση,272,12,429,0.21052631578947367
Διαχείριση προσοχής και συγκέντρωσης,201,17,392,0.2982456140350877
Διαχείριση χρόνου,205,27,384,0.47368421052631576
Οργάνωση ψηφιακού χώρου εργασίας,197,12,345,0.21052631578947367
Σύνταξη επαγγελματικών email,66,18,164,0.3157894736842105
Αυτοματοποίηση επαναλαμβανόμενων εργασιών,57,9,100,0.15789473684210525
Επιβεβαίωση οδηγιών και απαιτήσεων,44,7,83,0.12280701754385964
Οργάνωση και διαχείριση ροών εργασίας,7,8,31,0.14035087719298245
Παρακολούθηση και έλεγχος αιτημάτων και παραπόνων πελατών,6,10,30,0.17543859649122806
Τεκμηρίωση και βελτίωση ροών εργασίας,6,7,29,0.12280701754385964
Συντονισμός και προτεραιοποίηση ροών εργασίας,6,7,29,0.12280701754385964
Ανάλυση και αξιολόγηση ροών εργασίας,6,7,29,0.12280701754385964
Παρακολούθηση και έλεγχος ροών εργασίας,6,7,29,0.12280701754385964
Αποτελεσματική χρήση GPT,8,8,26,0.14035087719298245
Τεκμηρίωση και βελτίωση εργασιακών διαδικασιών,7,8,23,0.14035087719298245
Παρακολούθηση και έλεγχος τεχνικών ζητημάτων,4,6,20,0.10526315789473684
Παρακολούθηση και έλεγχος επαγγελματικής αλληλογραφίας,4,6,20,0.10526315789473684
Αποτελεσματική αναζήτηση στο διαδίκτυο,14,6,20,0.10526315789473684
Ανάλυση και αξιολόγηση αιτημάτων και παραπόνων πελατών,4,10,20,0.17543859649122806
Παρακολούθηση και έλεγχος δεδομένων σε υπολογιστικά φύλλα,4,6,20,0.10526315789473684
Παρακολούθηση και έλεγχος αναφορών προόδου,4,6,20,0.10526315789473684
Τεκμηρίωση και βελτίωση ημερολογίων εργασίας,3,7,15,0.12280701754385964
Ανάλυση και αξιολόγηση ημερολογίων εργασίας,3,7,15,0.12280701754385964
Οργάνωση και διαχείριση ημερολογίων εργασίας,3,7,15,0.12280701754385964
Παρακολούθηση και έλεγχος ημερολογίων εργασίας,3,7,15,0.12280701754385964
Παρακολούθηση και έλεγχος πρακτικών συναντήσεων,3,5,15,0.08771929824561403
Παρακολούθηση και έλεγχος προτεραιοτήτων εργασίας,2,5,10,0.08771929824561403
Συντονισμός και προτεραιοποίηση ημερολογίων εργασίας,2,6,10,0.10526315789473684
Ανάλυση και αξιολόγηση δεδομένων σε υπολογιστικά φύλλα,2,5,10,0.08771929824561403
Τεκμηρίωση και βελτίωση αιτημάτων και παραπόνων πελατών,2,5,10,0.08771929824561403
Ανάλυση και αξιολόγηση πρακτικών συναντήσεων,2,5,10,0.08771929824561403
Οργάνωση και διαχείριση αιτημάτων και παραπόνων πελατών,3,5,10,0.08771929824561403
Συντονισμός και προτεραιοποίηση αιτημάτων και παραπόνων πελατών,2,5,10,0.08771929824561403
Ανάλυση και αξιολόγηση προτεραιοτήτων εργασίας,2,5,10,0.08771929824561403
Οργάνωση και διαχείριση προτεραιοτήτων εργασίας,2,5,10,0.08771929824561403
Ανάλυση και αξιολόγηση αναφορών προόδου,2,5,10,0.08771929824561403
Τεκμηρίωση και βελτίωση προτεραιοτήτων εργασίας,2,5,10,0.08771929824561403
Ανάλυση και αξιολόγηση επαγγελματικής αλληλογραφίας,2,5,10,0.08771929824561403
Ανάλυση και αξιολόγηση τεχνικών ζητημάτων,2,5,10,0.08771929824561403
Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών,5,3,7,0.05263157894736842
Ανάλυση και αξιολόγηση εργασιακών διαδικασιών,2,6,6,0.10526315789473684
Παρακολούθηση και έλεγχος αναγκών και απαιτήσεων χρηστών,3,3,6,0.05263157894736842
Τεκμηρίωση και βελτίωση εσωτερικών ανακοινώσεων,1,5,5,0.08771929824561403
Παρακολούθηση και έλεγχος παρουσιάσεων,1,5,5,0.08771929824561403
Συντονισμός και προτεραιοποίηση εσωτερικών ανακοινώσεων,1,5,5,0.08771929824561403
Οργάνωση και διαχείριση εσωτερικών ανακοινώσεων,1,5,5,0.08771929824561403
Ανάλυση και αξιολόγηση εσωτερικών ανακοινώσεων,1,5,5,0.08771929824561403
Οργάνωση και διαχείριση παρουσιάσεων,1,5,5,0.08771929824561403
Ανάλυση και αξιολόγηση παρουσιάσεων,1,5,5,0.08771929824561403
Παρακολούθηση και έλεγχος εσωτερικών ανακοινώσεων,1,5,5,0.08771929824561403
Τεκμηρίωση και βελτίωση παρουσιάσεων,1,5,5,0.08771929824561403
Οργάνωση και διαχείριση εργασιακών διαδικασιών,2,3,5,0.05263157894736842
Ανάλυση και αξιολόγηση δεικτών απόδοσης,1,4,4,0.07017543859649122
Ανάλυση και αξιολόγηση δεδομένων αγοράς,4,1,3,0.017543859649122806
Παρακολούθηση και έλεγχος ανατροφοδότησης ομάδας,1,1,1,0.017543859649122806
Παρακολούθηση και έλεγχος δεικτών απόδοσης,1,0,0,0.0
Παρακολούθηση και έλεγχος εργασιακών διαδικασιών,4,0,0,0.0
